iso3,year,value,wb_indicator,canonical_name,var_year
BEL,2018,542638913427.921,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BLZ,2024,3203631800.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BLZ,2023,3052362650.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BLZ,2022,2846604350.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BLZ,2021,2428606250.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BLZ,2020,2047284600.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BLZ,2019,2381187850.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BLZ,2018,2285915050.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BEN,2024,21482643706.4249,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BEN,2023,19673291004.1444,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BEN,2022,17425405090.862,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BEN,2021,17687623530.3355,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BEN,2020,15686741883.934,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BEN,2019,14391686313.4641,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BEN,2018,14262408089.9261,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BMU,2024,9233600000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BMU,2023,8579242000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BMU,2022,7874381000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BMU,2021,7290037000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BMU,2020,6887364000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BMU,2019,7423465000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BMU,2018,7225977000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BTN,2023,3012896789.24928,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BTN,2022,2898227743.75576,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BTN,2021,2768802960.11204,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BTN,2020,2457604333.90927,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BTN,2019,2735683570.46155,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BTN,2018,2583335721.85904,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BOL,2024,54881327452.9667,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BOL,2023,52340206946.4544,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BOL,2022,50959081953.6903,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BOL,2021,47877892402.3155,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BOL,2020,42313784081.042,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BOL,2019,49056643589.0014,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BOL,2018,48414038842.2576,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BIH,2024,29613572022.8993,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BIH,2023,27592361498.4057,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BIH,2022,24534663636.1778,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BIH,2021,23672712121.2671,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BIH,2020,20226038369.9191,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BIH,2019,20482608984.3316,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BIH,2018,20484058033.1144,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BWA,2024,19402063512.9066,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BWA,2023,19411266967.1044,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BWA,2022,20321150599.1523,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BWA,2021,18750182236.2211,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BWA,2020,14960251607.8135,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BWA,2019,16725908148.5481,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BWA,2018,17031943186.1353,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BRA,2024,2185821648943.86,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BRA,2023,2191131869706.02,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
