Country,Skills Diffusion Index (AI Engineering skills),Skills Diffusion Index (AI Literacy skills),Year
Mexico,9.77911,,2021
Mexico,10.78901,,2022
Mexico,19.92447,1.23059,2023
Mexico,37.86489,17.04538,2024
Mexico,59.70553,64.84035,2025
Netherlands,1.73037,,2016
Netherlands,2.36625,,2017
Netherlands,3.23408,,2018
Netherlands,4.43622,,2019
Netherlands,5.79695,,2020
Netherlands,6.84495,,2021
Netherlands,7.99609,,2022
Netherlands,13.50619,3.80925,2023
Netherlands,19.14065,26.46208,2024
Netherlands,25.0228,64.43503,2025
New Zealand,2.18887,,2016
New Zealand,3.56084,,2017
New Zealand,5.71761,,2018
New Zealand,8.81881,,2019
New Zealand,11.75378,,2020
New Zealand,13.44437,,2021
New Zealand,16.16109,,2022
New Zealand,27.89336,,2023
New Zealand,46.40839,3.78386,2024
New Zealand,71.31244,15.47951,2025
Norway,2.59247,,2016
Norway,4.42883,,2017
Norway,6.73846,,2018
Norway,9.87219,,2019
Norway,12.52643,,2020
Norway,14.84308,,2021
Norway,16.97833,,2022
Norway,26.04778,,2023
Norway,36.12967,2.55892,2024
Norway,45.31301,5.82391,2025
Poland,1.48101,,2016
Poland,1.86974,,2017
Poland,2.54965,,2018
Poland,3.40026,,2019
Poland,4.29751,,2020
Poland,4.6418,,2021
Poland,5.14524,,2022
Poland,8.09549,5.01468,2023
Poland,12.42177,27.80818,2024
Poland,18.99088,84.40914,2025
Portugal,2.05685,,2016
Portugal,2.77009,,2017
Portugal,3.49394,,2018
Portugal,4.92745,,2019
Portugal,6.24599,,2020
Portugal,7.11297,,2021
Portugal,8.14147,,2022
Portugal,15.34683,,2023
Portugal,24.48194,9.7479,2024
Portugal,35.40697,25.34958,2025
Romania,1.63056,,2016
Romania,2.34406,,2017
Romania,3.58503,,2018
Romania,5.55894,,2019
Romania,7.1838,,2020
Romania,8.25373,,2021
Romania,8.94196,,2022
Romania,14.27818,,2023
Romania,22.98275,6.79817,2024
Romania,36.69726,18.35337,2025
Saudi Arabia,1.44864,,2016
Saudi Arabia,2.07098,,2017
Saudi Arabia,3.18764,,2018
Saudi Arabia,5.33223,,2019
Saudi Arabia,8.9642,,2020
Saudi Arabia,11.17982,,2021
Saudi Arabia,13.10217,,2022
Saudi Arabia,23.10583,,2023
Saudi Arabia,40.24219,5.4908,2024
Saudi Arabia,63.60107,16.15637,2025
Singapore,2.64044,,2016
Singapore,3.87724,,2017
Singapore,5.77877,,2018
