Region,quarter,flow_type,flow_n
India,7/1/23,Outflow,366.6388867
India,10/1/23,Inflow,92.44444333
India,10/1/23,Outflow,336.0555567
India,1/1/24,Inflow,88.08333333
India,1/1/24,Outflow,305.3333333
India,4/1/24,Inflow,83.58333333
India,4/1/24,Outflow,270.25
India,7/1/24,Inflow,68.94444333
India,7/1/24,Outflow,220.1666667
India,10/1/24,Inflow,59.33333333
India,10/1/24,Outflow,177.11111
Middle East and North Africa,1/1/16,Inflow,13.61111167
Middle East and North Africa,1/1/16,Outflow,14.569445
Middle East and North Africa,4/1/16,Inflow,13.55555667
Middle East and North Africa,4/1/16,Outflow,15.03703556
Middle East and North Africa,7/1/16,Inflow,13.37037
Middle East and North Africa,7/1/16,Outflow,15.69444444
Middle East and North Africa,10/1/16,Inflow,13.06481444
Middle East and North Africa,10/1/16,Outflow,16.46296222
Middle East and North Africa,1/1/17,Inflow,13.36111
Middle East and North Africa,1/1/17,Outflow,16.62037111
Middle East and North Africa,4/1/17,Inflow,14.12037
Middle East and North Africa,4/1/17,Outflow,16.47222111
Middle East and North Africa,7/1/17,Inflow,14.74999889
Middle East and North Africa,7/1/17,Outflow,16.80555556
Middle East and North Africa,10/1/17,Inflow,15.14814778
Middle East and North Africa,10/1/17,Outflow,17.60185222
Middle East and North Africa,1/1/18,Inflow,15.22222222
Middle East and North Africa,1/1/18,Outflow,18.07407333
Middle East and North Africa,4/1/18,Inflow,15.70370444
Middle East and North Africa,4/1/18,Outflow,19.05555556
Middle East and North Africa,7/1/18,Inflow,16.50925889
Middle East and North Africa,7/1/18,Outflow,19.65740556
Middle East and North Africa,10/1/18,Inflow,17.25925778
Middle East and North Africa,10/1/18,Outflow,19.74074
Middle East and North Africa,1/1/19,Inflow,18.40740889
Middle East and North Africa,1/1/19,Outflow,20.36111222
Middle East and North Africa,4/1/19,Inflow,18.34259333
Middle East and North Africa,4/1/19,Outflow,20.28703667
Middle East and North Africa,7/1/19,Inflow,18.50926
Middle East and North Africa,7/1/19,Outflow,20.81481556
Middle East and North Africa,10/1/19,Inflow,18.53703778
Middle East and North Africa,10/1/19,Outflow,20.92592444
Middle East and North Africa,1/1/20,Inflow,17.78703556
Middle East and North Africa,1/1/20,Outflow,19.62037111
Middle East and North Africa,4/1/20,Inflow,16.60185111
Middle East and North Africa,4/1/20,Outflow,18.71296333
Middle East and North Africa,7/1/20,Inflow,14.25925889
Middle East and North Africa,7/1/20,Outflow,16.34259111
Middle East and North Africa,10/1/20,Inflow,13.65740778
Middle East and North Africa,10/1/20,Outflow,15.28703667
Middle East and North Africa,1/1/21,Inflow,13.59259333
Middle East and North Africa,1/1/21,Outflow,15.15740778
Middle East and North Africa,4/1/21,Inflow,14.36111222
Middle East and North Africa,4/1/21,Outflow,15.38888667
Middle East and North Africa,7/1/21,Inflow,16.09259222
Middle East and North Africa,7/1/21,Outflow,16.67592444
Middle East and North Africa,10/1/21,Inflow,17.04629667
Middle East and North Africa,10/1/21,Outflow,16.97222222
Middle East and North Africa,1/1/22,Inflow,16.69444556
Middle East and North Africa,1/1/22,Outflow,17.18518556
Middle East and North Africa,4/1/22,Inflow,16.94444444
Middle East and North Africa,4/1/22,Outflow,16.90740889
Middle East and North Africa,7/1/22,Inflow,16.39814778
Middle East and North Africa,7/1/22,Outflow,15.88889111
Middle East and North Africa,10/1/22,Inflow,15.23148111
Middle East and North Africa,10/1/22,Outflow,14.86111111
Middle East and North Africa,1/1/23,Inflow,15.20370333
Middle East and North Africa,1/1/23,Outflow,14.07407444
Middle East and North Africa,4/1/23,Inflow,14.63888889
Middle East and North Africa,4/1/23,Outflow,13.77777667
Middle East and North Africa,7/1/23,Inflow,14.60185222
Middle East and North Africa,7/1/23,Outflow,12.57407333
Middle East and North Africa,10/1/23,Inflow,14.50000222
Middle East and North Africa,10/1/23,Outflow,12.06481444
Middle East and North Africa,1/1/24,Inflow,13.87036889
Middle East and North Africa,1/1/24,Outflow,11.15740889
Middle East and North Africa,4/1/24,Inflow,13.45370222
Middle East and North Africa,4/1/24,Outflow,10.40740667
Middle East and North Africa,7/1/24,Inflow,12.40740778
Middle East and North Africa,7/1/24,Outflow,9.453703333
Middle East and North Africa,10/1/24,Inflow,13.194445
Middle East and North Africa,10/1/24,Outflow,8.916665
United States,1/1/16,Inflow,546.25
United States,1/1/16,Outflow,294.83333
United States,4/1/16,Inflow,567.1944433
United States,4/1/16,Outflow,306.36111
United States,7/1/16,Inflow,588.9722233
United States,7/1/16,Outflow,323.11111
United States,10/1/16,Inflow,603.4722233
United States,10/1/16,Outflow,334.1666667
United States,1/1/17,Inflow,611.9722233
United States,1/1/17,Outflow,342.7222233
United States,4/1/17,Inflow,628.4166667
United States,4/1/17,Outflow,352.4444467
United States,7/1/17,Inflow,644.88889
United States,7/1/17,Outflow,366.9722233
United States,10/1/17,Inflow,652.25
United States,10/1/17,Outflow,379.4722233
United States,1/1/18,Inflow,649.1388867
United States,1/1/18,Outflow,391.66667
United States,4/1/18,Inflow,642.72222
United States,4/1/18,Outflow,402.3055567
United States,7/1/18,Inflow,643.7222233
United States,7/1/18,Outflow,409.8611133
United States,10/1/18,Inflow,639.2222233
United States,10/1/18,Outflow,412.9444467
United States,1/1/19,Inflow,638
United States,1/1/19,Outflow,411.8333333
United States,4/1/19,Inflow,636.7222233
United States,4/1/19,Outflow,404.9722233
United States,7/1/19,Inflow,638.5555567
United States,7/1/19,Outflow,406.13889
United States,10/1/19,Inflow,646.0555567
United States,10/1/19,Outflow,407.5
United States,1/1/20,Inflow,644.2222233
United States,1/1/20,Outflow,399.75
United States,4/1/20,Inflow,610.0555567
United States,4/1/20,Outflow,378.4444467
United States,7/1/20,Inflow,527.8055567
United States,7/1/20,Outflow,344.1111133
United States,10/1/20,Inflow,462.9722233
United States,10/1/20,Outflow,327.36111
United States,1/1/21,Inflow,430.1388867
United States,1/1/21,Outflow,322.8055533
United States,4/1/21,Inflow,435.75
United States,4/1/21,Outflow,332.38889
United States,7/1/21,Inflow,481
United States,7/1/21,Outflow,340.4999967
United States,10/1/21,Inflow,542.9166667
United States,10/1/21,Outflow,340.3333333
United States,1/1/22,Inflow,579.3888867
United States,1/1/22,Outflow,331.9444433
United States,4/1/22,Inflow,619.47222
United States,4/1/22,Outflow,324.5833333
United States,7/1/22,Inflow,638.25
United States,7/1/22,Outflow,318.8333333
United States,10/1/22,Inflow,626.63889
United States,10/1/22,Outflow,304.25
United States,1/1/23,Inflow,613.4722233
United States,1/1/23,Outflow,296.6388867
United States,4/1/23,Inflow,581.8611133
United States,4/1/23,Outflow,292.0555567
United States,7/1/23,Inflow,541.0555567
