iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,ai_adoption_rate,adoption_period,ai_readiness_score,readiness_year,gii_score,gii_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,rd_expenditure,rd_expenditure_year,internet_penetration,internet_penetration_year,tertiary_education,tertiary_education_year,regulatory_quality,regulatory_quality_year,rule_of_law,rule_of_law_year,government_effectiveness,government_effectiveness_year,control_of_corruption,control_of_corruption_year,ict_service_exports_pct,ict_service_exports_pct_year,high_tech_exports_pct,high_tech_exports_pct_year,population,gdp_current_usd,oecd_member,region,ai_investment_vc_proxy,vc_proxy_year,ai_publications_frac,ai_publications_frac_year,has_gdpr_like_law,gdpr_similarity_level,dp_law_year,has_dpa,eu_status,enforcement_active,fh_total_score,fh_status,fh_pr_score,fh_cl_score,fh_democracy_level,fh_year,legal_origin,is_common_law,year_enacted_ok,complete_principal,complete_extended,complete_confounded,complete_digital,complete_regime,complete_legal_tradition,complete_strict,has_ai_readiness_score,has_ai_adoption_rate,has_ai_investment_usd_bn_cumulative,has_ai_startups_cumulative,has_has_ai_law,has_regulatory_approach,has_regulatory_intensity,has_enforcement_level,has_thematic_coverage,has_gdp_per_capita_ppp,has_internet_penetration,has_gii_score,has_oecd_member,has_region,has_rd_expenditure,has_tertiary_education,has_regulatory_quality,has_rule_of_law,has_has_gdpr_like_law,has_gdpr_similarity_level,has_ict_service_exports_pct,has_high_tech_exports_pct,has_fh_total_score,has_fh_democracy_level,has_legal_origin,has_is_common_law,has_ai_patents_per100k,has_ai_investment_usd_bn_2024,has_ai_startups_2024,has_government_effectiveness,has_control_of_corruption,has_ai_investment_vc_proxy
BLZ,0,none,0,,none,0,no_framework,IAPP,,0.0265,,1.0,,,2024.0,2024.0,,,22.68,2025,,,14346.5188049737,2024.0,,,80.00582262,2024.0,24.8098643151325,2024.0,-0.493012699999999,2023.0,-0.4007135,2023.0,-0.0642292,2023.0,-0.115986499999999,2023.0,10.0027782148162,2024.0,0.0001910876991115,2024.0,417072.0,3203631800.0,0,Latin America and the Caribbean,,,,,1,2,2021,0,none,0,86,F,36,50,2,2025,English,1,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
BRA,0,strategy_led,5,,medium,10,strategy_only,IAPP,0.023680888,2.184213152,0.689429072,85.0,17.0,2023.0,2024.0,2024.0,17.1,H2_2025,69.55,2025,32.8689996973019,2025.0,22338.4765640635,2024.0,1.14526,2020.0,84.4635,2024.0,60.3906211853027,2022.0,-0.29647821187973,2023.0,-0.308802843093872,2023.0,-0.546764314174652,2023.0,-0.503643155097961,2023.0,12.8530444076812,2024.0,11.1103644206652,2024.0,211998573.0,2185821648943.86,0,Latin America and the Caribbean,,,1904.432398,2023.0,1,2,2018,1,none,1,72,F,31,41,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
BRB,0,none,0,,none,0,no_framework,IAPP,,0.0015,,1.0,,,2024.0,2024.0,,,23.33,2025,25.1250313227345,2025.0,24822.5343309908,2024.0,,,70.36470032,2024.0,53.5815662047086,2024.0,0.429255,2023.0,0.7343145,2023.0,0.6052291,2023.0,1.2089543,2023.0,,,19.9263557583818,2024.0,282467.0,7498050000.0,0,Latin America and the Caribbean,,,,,1,2,2019,1,none,1,94,F,39,55,2,2025,English,1,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
CAN,0,strategy_led,5,,medium,11,strategy_only,IAPP,0.174573338,15.30599504,2.887230487,481.0,51.0,2023.0,2024.0,2024.0,35.0,H2_2025,74.66,2025,51.0643545243557,2025.0,64610.3795171971,2024.0,1.70133,2023.0,93.9564,2023.0,76.2586212158203,2023.0,1.64471042156219,2023.0,1.47300565242767,2023.0,1.51680326461792,2023.0,1.67150104045868,2023.0,14.4447899140379,2024.0,16.7779029827711,2024.0,41288599.0,2243636826633.76,1,Northern America,0.1997550408090543,2024.0,3226.030132,2023.0,1,3,2000,1,adequacy,1,97,F,39,58,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHE,0,light_touch,3,,low,7,soft_framework,IAPP,0.191267126,3.897936818,0.428615762,154.0,22.0,2023.0,2024.0,2024.0,34.8,H2_2025,66.95,2025,65.9619514450125,2025.0,96497.6947971323,2024.0,3.30645,2021.0,97.3444,2023.0,74.0060882568359,2023.0,1.72938001155853,2023.0,1.76172566413879,2023.0,2.13492703437805,2023.0,2.02199912071228,2023.0,12.7476065696781,2024.0,29.6239015157944,2024.0,9005582.0,936564198048.516,1,Europe,0.117463048022678,2024.0,880.8768682,2023.0,1,3,2023,1,adequacy,1,96,F,39,57,2,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHL,0,strategy_led,4,,low,8,strategy_only,IAPP,0.005086771,0.68210051,0.009,17.0,,2023.0,2024.0,2024.0,20.8,H2_2025,59.3,2025,33.0660923295208,2025.0,36181.156616977,2024.0,0.36041,2021.0,94.4574,2023.0,104.734062194824,2023.0,0.925731718540192,2023.0,0.625093758106232,2023.0,0.71755576133728,2023.0,0.968603789806366,2023.0,5.66245224602403,2024.0,8.31650307450688,2024.0,19764771.0,330267137371.592,1,Latin America and the Caribbean,,,236.7133338,2023.0,1,2,2024,1,none,0,94,F,38,56,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
CHN,1,comprehensive,9,2021.0,high,13,binding_regulation,IAPP,6.08154759,119.3198229,9.290337909,1605.0,98.0,2023.0,2024.0,2024.0,16.3,H2_2025,76.27,2025,56.5551447506996,2025.0,27104.8702677463,2024.0,2.55518,2022.0,92.0,2024.0,76.8757843123403,2024.0,-0.356507807970047,2023.0,-0.0401299707591534,2023.0,0.679014027118683,2023.0,-0.0053701046854257,2023.0,16.9375279540385,2024.0,26.2777380479223,2024.0,1408975000.0,18743803170827.2,0,"South East Asia, East Asia, and Oceania",,,66938.41471,2023.0,1,2,2021,1,none,1,9,NF,-2,11,0,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CMR,0,none,0,,none,0,no_framework,IAPP,,0.005,0.005,1.0,1.0,,2024.0,2024.0,7.8,H2_2025,34.91,2025,18.1843870946301,2025.0,5588.98645861945,2024.0,,,41.9088,2023.0,16.6614294830602,2024.0,-0.913473010063171,2023.0,-1.03819787502289,2023.0,-0.906262576580048,2023.0,-1.16255974769592,2023.0,10.479456496953,2024.0,2.10363029161033,2023.0,29123744.0,53296694320.2057,0,Sub-Saharan Africa,,,,,0,1,2010,0,none,0,14,NF,7,7,0,2025,French,0,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
COL,0,strategy_led,3,,low,7,strategy_only,IAPP,0.001911273,0.07194705,0.01,10.0,2.0,2023.0,2024.0,2024.0,22.0,H2_2025,56.02,2025,28.4802835988839,2025.0,22349.436440123,2024.0,0.2894,2020.0,77.3369,2023.0,59.2901382446289,2022.0,0.101034268736839,2023.0,-0.458272933959961,2023.0,-0.075877919793129,2023.0,-0.309191286563873,2023.0,11.4407204434867,2024.0,9.02469704912672,2024.0,52886363.0,418818154879.271,1,Latin America and the Caribbean,,,330.6340637,2023.0,1,2,2012,1,none,1,67,PF,32,35,1,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CRI,0,strategy_led,2,,low,4,strategy_only,IAPP,,0.005932492,0.004332492,2.0,1.0,,2024.0,2024.0,26.5,H2_2025,45.92,2025,28.3589014854175,2025.0,31106.7643556729,2024.0,0.33789,2022.0,85.3951,2023.0,55.0202903747559,2019.0,0.543547570705414,2023.0,0.389316648244858,2023.0,0.260196477174759,2023.0,0.653749406337738,2023.0,14.2776211889662,2024.0,22.8587994049653,2024.0,5129910.0,95350423176.5962,1,Latin America and the Caribbean,,,16.48861738,2023.0,1,2,2011,1,none,1,91,F,37,54,2,2025,French,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
