pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Namibia,2021,0-100,3_pillars_10_dims,33.13770727,30.49499514,22.96894607,45.94918059,0.0,25.8139125,41.6095225,54.55654556,16.17000353,29.84548648,22.8913482,32.12897513,32.65417668,73.06438997
United Republic of Tanzania,2021,0-100,3_pillars_10_dims,32.69103588,39.90270021,22.98932404,35.18108337,0.0,46.65321,50.0784375,62.87915333,8.924085926,42.9060092,17.137877,23.39625383,33.87615612,48.27084018
Togo,2021,0-100,3_pillars_10_dims,32.67579787,32.66993468,20.71119437,44.64626458,0.0,42.17368229,40.21755522,48.2885012,8.80658651,35.96046743,17.36652916,41.9358901,44.18095215,47.82195148
El Salvador,2021,0-100,3_pillars_10_dims,32.41093072,26.1608566,23.68641565,47.38551991,0.0,22.59398,28.95787975,53.09156667,16.65218699,33.22192062,21.18513933,32.31512814,53.944502,55.89692958
Belize,2021,0-100,3_pillars_10_dims,32.27647959,27.9709974,22.56850821,46.28993318,0.0,34.6060635,23.37070008,53.907226,20.59330847,28.67565623,18.43655992,28.86540394,47.38801708,62.61637852
Guatemala,2021,0-100,3_pillars_10_dims,32.25324754,24.2979924,23.28008407,49.18166615,0.0,13.00315,30.91088625,53.27793333,16.1352874,37.70219862,16.00276618,30.50130536,64.012162,53.03153111
Burkina Faso,2021,0-100,3_pillars_10_dims,32.24337189,35.70797369,21.31261674,39.70952525,0.0,45.47294,36.66751143,60.69144333,7.791472638,37.60693364,18.53944394,18.67653185,57.59270067,42.85934324
Nepal,2021,0-100,3_pillars_10_dims,31.92381466,33.27806125,24.4664062,38.02697654,0.0,44.5364425,33.0744125,55.50139,9.529374387,38.55375167,25.31609253,26.72907375,38.111,49.24085587
Cameroon,2021,0-100,3_pillars_10_dims,31.88317068,34.57563333,23.77342706,37.30045164,0.0,46.45304,34.4586,57.39089333,10.63419087,37.27268003,23.41341027,22.10796207,29.30412,60.48927285
Uganda,2021,0-100,3_pillars_10_dims,31.75694309,35.96645479,22.19552307,37.10885141,0.0,38.7121725,43.30287,61.85077667,5.722548827,39.05604251,21.80797787,22.38221422,29.30510205,59.63923795
Bolivia,2021,0-100,3_pillars_10_dims,31.62091026,23.49901573,21.49053223,49.87318283,0.0,8.1183325,31.40768708,54.47004333,15.47949406,27.70075607,21.29134657,29.11733121,55.58833877,64.91387852
Nicaragua,2021,0-100,3_pillars_10_dims,31.57349015,30.40754044,22.45148964,41.86144037,0.0,34.355005,32.22236675,55.05279,16.59170672,31.90716769,18.85559449,26.96965938,39.53933582,59.0753259
