iso3,entity_type,pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,dim_size_maturity,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail
STP,pais,Sao Tome and Principe,2024,0-100,3_pillars_10_dims,29.63431198,24.82046335,23.69224659,40.39022601,0.0,41.48873396,21.88444821,35.90867121,10.19961121,,10.19961121,34.12347966,26.7536489,24.31712549,31.3495041,65.50404844,
MWI,pais,Malawi,2024,0-100,3_pillars_10_dims,29.31673864,27.84723617,23.78700918,36.31597057,0.0,53.50863384,28.16209915,29.71821168,7.868445834,,7.868445834,36.72498761,26.76759411,16.69881238,30.76816982,61.48092949,
BFA,pais,Burkina Faso,2024,0-100,3_pillars_10_dims,29.27660868,25.69119633,21.21836595,40.92026377,0.0,47.84673234,30.31900209,24.5990509,5.452759546,,5.452759546,31.58827633,26.61406198,19.32119775,54.40734778,49.03224578,
VEN,pais,"Venezuela, Bolivarian Republic of",2024,0-100,3_pillars_10_dims,29.20533246,15.49877954,26.0014182,46.11579964,0.0,11.19598799,24.25660051,26.54252966,12.8685063,,12.8685063,35.23114803,29.90460026,21.43956361,41.255784,75.65205131,
MDG,pais,Madagascar,2024,0-100,3_pillars_10_dims,28.80438299,25.29606193,21.19296443,39.9241226,0.0,41.27001041,29.12523583,30.78900146,6.131418787,,6.131418787,28.78690231,28.66057219,17.7642124,31.98898204,70.01917338,
NIC,pais,Nicaragua,2024,0-100,3_pillars_10_dims,28.53113047,20.07329212,21.88264401,43.63745528,0.0,32.81923513,24.96399669,22.50993665,13.30146511,,13.30146511,26.50766046,25.83880648,23.03249594,37.31245106,70.56741885,
LSO,pais,Lesotho,2024,0-100,3_pillars_10_dims,28.21246421,24.66286577,21.07745587,38.89707098,0.0,43.84651405,23.9497742,30.85517484,9.714080415,,9.714080415,38.07079586,15.44749133,13.65685754,35.88209471,67.1522607,
GNQ,pais,Equatorial Guinea,2024,0-100,3_pillars_10_dims,27.09253188,19.28270036,25.6812007,36.31369458,0.0,29.68424265,14.27316421,33.17339459,16.04874525,,16.04874525,37.3008436,23.69401324,18.67549071,20.81037619,69.45521684,
GMB,pais,Gambia (Republic of The),2024,0-100,3_pillars_10_dims,26.94732127,23.253201,19.67077236,37.91799046,0.0,49.61770801,17.45244737,25.94264861,1.280335171,,1.280335171,30.77666991,26.95531199,22.82193633,36.54227903,54.38975602,
AGO,pais,Angola,2024,0-100,3_pillars_10_dims,26.90798042,19.7326763,15.86558667,45.1256783,0.0,40.77319437,22.59661708,15.56089378,8.691081657,,8.691081657,27.45800788,11.44767046,16.6825532,41.61425127,77.08023043,
COM,pais,Comoros,2024,0-100,3_pillars_10_dims,26.64694936,17.22351605,23.74953795,38.96779408,0.0,18.25565113,19.26951903,31.36889403,11.97147355,,11.97147355,34.12347966,25.15366064,21.36914771,48.3061407,47.22809382,
NER,pais,Niger,2024,0-100,3_pillars_10_dims,25.74480776,24.21976233,17.14671665,35.86794431,0.0,41.21929416,22.13067054,33.52908462,3.591416108,,3.591416108,31.69702417,16.15170967,16.82533633,35.52941618,55.24908043,
GNB,pais,Guinea Bissau,2024,0-100,3_pillars_10_dims,25.70947239,14.65190088,20.46294771,42.01356857,0.0,13.53243963,17.22678948,27.8483744,7.261041611,,7.261041611,30.28637146,23.84143007,23.47333633,31.36429621,71.20307318,
SLE,pais,Sierra Leone,2024,0-100,3_pillars_10_dims,25.33586896,21.95526898,17.72473624,36.32760166,0.0,35.36035934,21.55240758,30.90830901,2.276452122,,2.276452122,25.40139657,25.49636002,13.60840114,30.72190444,64.65249941,
SOM,pais,Somalia,2024,0-100,3_pillars_10_dims,25.32030544,19.05225951,20.36463977,36.54401702,0.0,30.468567,21.82159651,23.91887455,5.830808779,,5.830808779,28.32501362,26.93809692,16.53353633,35.30833636,57.79017838,
COG,pais,Congo,2024,0-100,3_pillars_10_dims,25.11623832,22.4009496,22.70723092,30.24053445,0.0,33.9878642,22.80606946,32.80986474,11.02750693,,11.02750693,36.72459478,20.36959106,19.84714771,19.30680053,51.56765511,
SDN,pais,Sudan,2024,0-100,3_pillars_10_dims,24.62888147,13.32060728,24.28553347,36.28050365,0.0,14.17657913,15.16444077,23.94140922,3.21667315,,3.21667315,35.35767689,34.28225038,20.07781359,27.72932897,61.0343684,
MOZ,pais,Mozambique,2024,0-100,3_pillars_10_dims,24.22293552,20.86370912,18.23382502,33.57127243,0.0,27.19071082,28.10085938,28.16326629,5.835819853,,5.835819853,33.12495671,15.74069849,15.38123093,19.89090627,65.44168008,
LBR,pais,Liberia,2024,0-100,3_pillars_10_dims,23.12197991,16.57606519,20.89076206,31.89911246,0.0,20.66022575,18.7702977,26.87373731,5.830808779,,5.830808779,30.98646071,25.8550167,15.95157533,17.23013909,62.51562297,
TCD,pais,Chad,2024,0-100,3_pillars_10_dims,22.65971835,20.94211574,18.22186653,28.81517279,0.0,37.11922712,23.83532599,22.81390986,5.068858489,,5.068858489,33.57510048,16.0216406,15.21322855,21.52005892,49.71223091,
ERI,pais,Eritrea,2024,0-100,3_pillars_10_dims,22.19695954,8.304993963,23.07075446,35.21513021,0.0,0.1142006962,7.849032131,25.25674303,5.830808779,,5.830808779,31.67482873,31.70662587,16.70667919,29.54778809,59.39092335,
COD,pais,Democratic Republic of the Congo,2024,0-100,3_pillars_10_dims,22.09794558,17.96264516,15.99372206,32.33746951,0.0,38.90182687,15.77751686,17.17123691,0.7678839022,,0.7678839022,32.2115013,15.00178098,11.87954271,23.88274199,61.25012384,
BDI,pais,Burundi,2024,0-100,3_pillars_10_dims,21.13442437,16.61896912,18.94768825,27.83661575,0.0,11.69599141,25.26338835,29.5164967,2.489405742,,2.489405742,30.91729513,23.43636388,14.32973633,24.53920184,44.64090909,
CAF,pais,Central African Republic,2024,0-100,3_pillars_10_dims,20.26173459,12.06920737,19.94503949,28.7709569,0.0,7.744959343,14.85358149,25.67828866,5.649724313,,5.649724313,30.85637146,23.32902271,13.66873633,15.57643448,57.06769989,
