pais_original,year,scale,framework,rank,total_score,policy_capacity,ai_infrastructure,governance_2025,public_sector_adoption,development_diffusion,resilience,policy_vision,policy_commitment,compute_capacity,enabling_technical_infrastructure,data_quality,governance_principles,regulatory_compliance,government_digital_policy,e_government_delivery,human_capital_2025,ai_sector_maturity,ai_technology_diffusion,societal_transition,safety_security
Netherlands,2025,0-100,6_pillars_14_dims,4.0,77.18,92.0,69.85,94.19,94.01,62.5,66.61,80.0,100.0,39.17,81.49,88.87,100.0,88.38,90.0,98.03,78.49,46.51,67.82,66.55,66.67
New Zealand,2025,0-100,6_pillars_14_dims,37.0,62.7,92.0,57.24,71.88,64.32,49.33,64.3,80.0,100.0,12.18,71.42,88.12,73.75,70.0,80.0,48.63,57.24,32.49,63.88,68.93,59.67
Nicaragua,2025,0-100,6_pillars_14_dims,163.0,22.23,7.5,28.9,41.66,19.75,11.9,20.64,0.0,12.5,4.16,38.39,44.15,39.5,43.82,3.27,36.23,21.54,0.68,17.23,41.27,0.0
Niger,2025,0-100,6_pillars_14_dims,184.0,17.44,0.0,18.43,38.92,16.35,9.19,22.46,0.0,0.0,0.0,17.72,37.58,44.5,33.33,0.0,32.71,16.96,2.18,10.78,33.91,11.0
Nigeria,2025,0-100,6_pillars_14_dims,70.0,50.79,80.5,39.1,78.13,47.46,39.45,42.66,70.0,87.5,9.27,63.67,44.36,86.25,70.0,40.0,54.93,48.9,28.79,44.23,18.66,66.67
North Macedonia,2025,0-100,6_pillars_14_dims,107.0,37.57,34.5,41.12,45.0,46.55,24.85,38.98,30.0,37.5,6.24,52.18,64.95,48.76,41.23,10.0,83.1,37.22,12.16,29.39,44.62,33.33
Norway,2025,0-100,6_pillars_14_dims,10.0,74.84,88.0,65.67,94.02,84.17,60.57,77.5,70.0,100.0,18.92,86.09,92.01,100.0,88.05,70.54,97.79,79.77,38.45,70.87,88.33,66.67
Oman,2025,0-100,6_pillars_14_dims,61.0,56.29,88.5,47.22,72.0,71.0,40.29,41.09,90.0,87.5,8.31,71.44,61.91,74.0,70.0,55.31,86.69,50.29,20.83,56.25,48.85,33.33
Pakistan,2025,0-100,6_pillars_14_dims,81.0,45.38,61.5,41.23,61.25,36.51,36.95,50.21,60.0,62.5,9.99,56.2,57.49,62.5,60.0,13.92,59.1,51.25,17.91,48.02,33.75,66.67
Palau,2025,0-100,6_pillars_14_dims,151.0,23.8,4.0,41.48,5.53,22.37,20.0,38.46,10.0,0.0,0.0,59.22,65.21,9.52,1.54,4.51,40.22,14.61,13.3,34.33,61.39,15.53
Panama,2025,0-100,6_pillars_14_dims,102.0,39.3,23.0,53.03,41.75,61.33,20.84,30.73,20.0,25.0,8.67,67.14,83.27,43.5,40.0,60.65,62.01,28.19,3.65,36.43,39.46,22.0
Papua New Guinea,2025,0-100,6_pillars_14_dims,135.0,27.98,15.5,31.23,27.81,43.01,19.33,31.7,20.0,12.5,2.08,44.39,47.22,29.0,26.61,56.78,29.23,24.5,11.67,24.37,30.06,33.33
Paraguay,2025,0-100,6_pillars_14_dims,111.0,36.84,12.0,46.38,55.29,50.05,19.15,34.6,30.0,0.0,5.84,61.25,72.04,57.25,53.33,33.32,66.78,26.84,0.72,36.03,40.19,29.0
Peru,2025,0-100,6_pillars_14_dims,60.0,56.52,72.5,45.52,72.5,90.4,31.57,55.57,50.0,87.5,8.12,64.58,63.86,75.0,70.0,84.86,95.94,38.12,14.83,47.35,44.48,66.67
Philippines,2025,0-100,6_pillars_14_dims,43.0,60.51,84.5,49.5,83.34,69.17,43.96,58.17,80.0,87.5,10.39,63.02,75.1,87.5,79.18,43.21,95.14,64.65,17.32,58.79,49.68,66.67
Poland,2025,0-100,6_pillars_14_dims,24.0,69.14,96.0,64.79,85.0,74.84,47.18,75.73,90.0,100.0,33.27,73.22,87.87,100.0,70.0,54.59,95.09,52.98,36.11,56.14,55.79,95.67
Portugal,2025,0-100,6_pillars_14_dims,28.0,66.09,57.5,55.38,93.55,81.87,52.86,69.68,50.0,62.5,11.67,72.11,82.36,100.0,87.11,69.05,94.69,66.16,37.3,60.32,72.69,66.67
Qatar,2025,0-100,6_pillars_14_dims,54.0,58.61,80.5,57.95,77.5,62.82,44.54,38.95,70.0,87.5,7.45,78.27,88.12,75.0,80.0,52.51,73.14,55.95,25.1,59.04,44.56,33.33
Republic of Korea,2025,0-100,6_pillars_14_dims,5.0,76.89,96.0,68.21,90.73,79.23,65.88,82.71,90.0,100.0,40.81,78.56,85.27,100.0,81.45,66.96,91.5,70.07,50.65,82.0,65.42,100.0
Republic of Moldova,2025,0-100,6_pillars_14_dims,71.0,50.59,61.5,47.55,56.67,82.33,22.4,61.06,60.0,62.5,5.84,57.19,79.62,50.0,63.33,80.0,84.66,32.62,11.14,27.19,55.46,66.67
Romania,2025,0-100,6_pillars_14_dims,57.0,56.73,84.0,55.23,71.72,55.66,38.06,59.05,60.0,100.0,12.56,69.51,83.6,75.0,68.43,28.45,82.87,52.54,17.05,51.6,58.44,59.67
Russian Federation,2025,0-100,6_pillars_14_dims,49.0,59.57,65.5,57.23,74.14,69.78,49.64,47.13,70.0,62.5,21.43,66.6,83.67,75.0,73.29,66.15,73.42,59.58,38.55,54.48,44.25,50.0
Rwanda,2025,0-100,6_pillars_14_dims,74.0,48.54,73.0,33.92,78.75,53.62,29.36,55.62,70.0,75.0,4.16,52.7,44.9,87.5,70.0,40.98,66.27,37.61,11.94,44.34,44.57,66.67
Saint Kitts and Nevis,2025,0-100,6_pillars_14_dims,170.0,20.85,11.5,33.72,29.62,5.43,12.84,27.99,10.0,12.5,0.0,55.44,45.73,38.75,20.48,3.27,7.6,17.95,5.1,18.04,46.98,9.0
Saint Lucia,2025,0-100,6_pillars_14_dims,142.0,26.66,4.0,40.16,34.38,37.0,13.0,22.66,10.0,0.0,0.0,51.52,68.97,38.75,30.0,28.43,45.57,18.5,5.1,18.04,45.31,0.0
Saint Vincent and the Grenadines,2025,0-100,6_pillars_14_dims,166.0,21.5,11.5,32.59,16.99,25.27,13.01,26.16,10.0,12.5,0.0,50.16,47.61,33.5,0.48,3.27,47.27,18.51,5.1,18.04,45.31,7.0
Samoa,2025,0-100,6_pillars_14_dims,154.0,23.46,4.0,37.27,9.39,25.55,17.48,41.33,10.0,0.0,0.0,57.88,53.93,7.25,11.54,4.51,46.59,6.18,13.3,34.33,61.66,21.0
San Marino,2025,0-100,6_pillars_14_dims,112.0,35.89,27.0,41.18,45.65,23.86,33.26,41.5,30.0,25.0,0.0,54.37,69.16,53.25,38.05,30.54,17.19,49.6,17.01,38.59,72.0,11.0
Sao Tome and Principe,2025,0-100,6_pillars_14_dims,180.0,18.37,0.0,29.52,27.86,15.63,10.03,19.58,0.0,0.0,0.0,41.92,46.65,35.5,20.23,0.87,30.39,15.08,3.25,14.03,32.16,7.0
Saudi Arabia,2025,0-100,6_pillars_14_dims,15.0,71.57,92.0,62.93,93.21,88.62,54.48,57.39,80.0,100.0,25.94,75.02,87.83,100.0,86.41,85.99,91.25,69.52,36.2,63.82,48.12,66.67
Senegal,2025,0-100,6_pillars_14_dims,96.0,40.64,61.0,37.03,63.38,28.47,31.39,36.54,40.0,75.0,6.24,46.48,58.37,66.75,60.0,20.0,36.95,43.25,15.06,41.3,39.75,33.33
Serbia,2025,0-100,6_pillars_14_dims,40.0,60.96,100.0,52.75,78.64,83.92,35.78,44.42,100.0,100.0,7.91,67.63,82.7,75.0,82.29,80.0,87.85,41.44,23.42,46.62,55.5,33.33
Seychelles,2025,0-100,6_pillars_14_dims,140.0,27.24,8.0,43.75,39.66,26.98,11.77,25.67,20.0,0.0,2.08,59.8,69.38,45.75,33.56,0.87,53.1,22.49,2.37,13.6,40.34,11.0
Sierra Leone,2025,0-100,6_pillars_14_dims,175.0,19.68,27.5,25.64,15.92,15.28,10.91,31.16,50.0,12.5,0.0,32.83,44.08,18.5,13.33,21.01,9.56,30.81,3.25,1.21,29.0,33.33
Singapore,2025,0-100,6_pillars_14_dims,7.0,76.42,85.0,74.46,78.3,92.5,64.15,76.42,100.0,75.0,41.99,86.39,95.01,75.0,81.6,93.92,91.08,85.17,44.31,69.59,52.85,100.0
Slovakia,2025,0-100,6_pillars_14_dims,73.0,48.55,19.0,55.8,72.5,62.12,31.39,46.62,10.0,25.0,7.91,75.51,83.98,75.0,70.0,40.0,84.24,40.35,8.13,53.43,59.91,33.33
Slovenia,2025,0-100,6_pillars_14_dims,36.0,62.71,84.0,57.98,72.5,76.44,45.52,60.99,60.0,100.0,12.96,76.6,84.39,75.0,70.0,56.28,96.6,63.78,22.26,58.27,71.97,50.0
Solomon Islands,2025,0-100,6_pillars_14_dims,162.0,22.28,4.0,33.69,12.64,20.97,20.46,33.05,10.0,0.0,2.08,42.29,56.72,13.75,11.54,4.51,37.42,16.11,13.3,34.33,55.1,11.0
Somalia,2025,0-100,6_pillars_14_dims,164.0,21.82,15.0,25.1,25.29,11.21,22.33,29.85,0.0,25.0,2.08,36.35,36.87,37.25,13.33,15.0,7.43,19.19,13.25,37.58,26.36,33.33
South Africa,2025,0-100,6_pillars_14_dims,65.0,53.94,43.0,60.05,76.58,64.93,37.28,40.81,70.0,25.0,29.64,75.14,75.36,75.0,78.17,41.19,88.68,41.09,21.3,54.78,38.63,43.0
South Sudan,2025,0-100,6_pillars_14_dims,194.0,12.2,0.0,24.39,4.63,1.88,11.43,22.73,0.0,0.0,0.0,32.29,40.88,9.25,0.0,0.0,3.76,19.73,3.25,14.03,27.79,17.67
Spain,2025,0-100,6_pillars_14_dims,13.0,74.22,92.0,65.72,87.98,78.21,61.98,81.7,80.0,100.0,25.03,80.4,91.73,87.5,88.45,67.28,89.14,80.32,47.4,63.08,63.41,100.0
Sri Lanka,2025,0-100,6_pillars_14_dims,80.0,45.6,72.5,44.09,56.63,43.99,33.31,39.09,50.0,87.5,3.29,62.44,66.53,73.25,40.0,24.25,63.73,46.1,17.08,42.16,35.18,43.0
State of Palestine,2025,0-100,6_pillars_14_dims,115.0,35.54,42.5,43.53,17.42,44.58,37.58,17.1,50.0,37.5,2.08,56.44,72.06,11.5,23.33,17.0,72.16,37.1,26.9,52.3,34.2,0.0
Sudan,2025,0-100,6_pillars_14_dims,186.0,16.21,0.0,24.5,17.36,14.55,11.97,23.02,0.0,0.0,2.08,37.47,33.95,14.5,20.23,0.87,28.23,19.75,3.25,15.82,19.72,26.33
Suriname,2025,0-100,6_pillars_14_dims,181.0,18.37,0.0,34.91,19.62,7.65,13.6,21.53,0.0,0.0,3.29,51.79,49.64,38.75,0.48,3.27,12.03,20.48,5.1,18.04,39.72,3.33
Sweden,2025,0-100,6_pillars_14_dims,23.0,69.45,89.04,67.49,81.52,73.81,57.03,61.17,72.61,100.0,34.06,79.12,89.29,75.0,88.05,50.54,97.09,52.6,47.24,74.5,89.01,33.33
Switzerland,2025,0-100,6_pillars_14_dims,26.0,66.95,39.0,68.97,89.2,73.93,61.41,59.84,60.0,25.0,31.63,83.77,91.52,100.0,78.4,72.84,75.02,60.33,51.77,75.34,86.35,33.33
Syrian Arab Republic,2025,0-100,6_pillars_14_dims,165.0,21.72,4.0,33.2,30.13,6.77,16.83,32.74,10.0,0.0,0.0,54.82,44.78,39.5,20.76,5.87,7.67,24.42,6.9,22.47,32.14,33.33
Taiwan,2025,0-100,6_pillars_14_dims,31.0,64.81,79.15,57.03,68.98,69.45,57.45,75.07,60.0,91.91,22.2,69.14,79.75,56.43,81.53,77.15,61.74,76.45,38.76,63.38,55.76,94.39
Tajikistan,2025,0-100,6_pillars_14_dims,130.0,29.08,54.0,20.68,38.79,23.69,21.23,38.34,60.0,50.0,0.0,42.31,19.73,34.25,43.33,2.94,44.44,34.11,0.78,35.63,40.34,36.33
Thailand,2025,0-100,6_pillars_14_dims,34.0,63.22,88.0,56.38,70.44,85.86,52.58,37.35,70.0,100.0,21.34,70.85,76.96,75.0,65.88,77.69,94.03,68.01,36.24,58.94,41.36,33.33
Timor-Leste,2025,0-100,6_pillars_14_dims,179.0,18.39,4.0,24.39,3.39,22.65,22.53,23.56,10.0,0.0,0.0,53.41,19.77,3.5,3.28,11.78,33.51,25.4,11.67,34.13,41.8,5.33
Togo,2025,0-100,6_pillars_14_dims,124.0,30.59,16.0,32.13,55.0,41.04,12.04,35.37,40.0,0.0,3.29,45.33,47.75,50.0,60.0,45.91,36.18,23.05,2.95,13.16,37.41,33.33
Tonga,2025,0-100,6_pillars_14_dims,156.0,23.11,4.0,32.5,7.39,27.91,24.07,32.69,10.0,0.0,0.0,59.64,37.84,3.25,11.54,14.51,41.3,35.4,13.3,27.09,58.38,7.0
Trinidad and Tobago,2025,0-100,6_pillars_14_dims,120.0,32.73,23.0,46.63,40.5,41.09,12.66,33.67,20.0,25.0,4.83,64.19,70.87,31.0,50.0,21.43,60.75,23.08,4.73,12.79,37.35,30.0
Tunisia,2025,0-100,6_pillars_14_dims,88.0,42.23,19.5,43.61,59.0,51.19,36.68,36.76,30.0,12.5,4.83,56.95,69.05,48.0,70.0,50.0,52.38,53.54,15.64,47.88,40.18,33.33
Türkiye,2025,0-100,6_pillars_14_dims,53.0,58.91,77.0,52.76,68.18,77.59,45.7,47.27,80.0,75.0,13.29,70.07,74.92,75.0,61.37,57.12,98.06,74.52,12.69,60.89,44.53,50.0
Turkmenistan,2025,0-100,6_pillars_14_dims,159.0,22.5,11.5,32.61,23.79,8.13,22.51,27.83,10.0,12.5,0.0,57.75,40.07,34.25,13.33,10.0,6.27,31.03,4.85,37.53,29.33,26.33
Tuvalu,2025,0-100,6_pillars_14_dims,169.0,20.87,0.0,39.47,2.02,9.69,25.0,29.97,0.0,0.0,0.0,52.15,66.26,2.5,1.54,14.51,4.86,17.94,23.3,34.33,56.6,3.33
Uganda,2025,0-100,6_pillars_14_dims,113.0,35.76,12.0,33.92,45.75,70.84,20.91,33.65,30.0,0.0,4.83,52.84,44.09,41.5,50.0,60.0,81.67,25.59,1.61,41.99,33.97,33.33
Ukraine,2025,0-100,6_pillars_14_dims,41.0,60.84,73.5,52.4,83.0,80.24,40.34,58.21,90.0,62.5,10.99,66.37,79.84,73.75,92.25,60.84,99.63,45.88,27.6,51.81,56.76,59.67
United Arab Emirates,2025,0-100,6_pillars_14_dims,19.0,69.86,73.0,73.77,72.5,97.27,57.34,43.15,70.0,75.0,40.49,86.75,94.06,75.0,70.0,96.63,97.91,71.72,38.61,67.95,52.98,33.33
United Kingdom of Great Britain and Northern Ireland,2025,0-100,6_pillars_14_dims,3.0,77.75,100.0,72.49,92.27,68.93,68.46,83.3,100.0,100.0,50.34,70.57,96.55,100.0,84.55,85.02,52.84,70.05,61.7,75.9,66.59,100.0
United Republic of Tanzania,2025,0-100,6_pillars_14_dims,93.0,41.45,15.5,34.68,66.25,69.24,29.23,35.98,20.0,12.5,7.45,50.97,45.62,62.5,70.0,60.0,78.48,21.86,20.96,47.63,38.64,33.33
United States of America,2025,0-100,6_pillars_14_dims,1.0,88.36,92.5,91.77,82.5,92.87,88.16,78.28,100.0,87.5,90.92,89.61,94.77,75.0,90.0,87.9,97.84,74.56,100.0,85.96,56.55,100.0
Uruguay,2025,0-100,6_pillars_14_dims,55.0,58.47,61.5,56.52,84.5,83.22,31.19,52.35,60.0,62.5,7.19,76.44,85.94,99.0,70.0,77.85,88.58,38.56,13.94,46.84,54.71,50.0
Uzbekistan,2025,0-100,6_pillars_14_dims,62.0,56.11,80.5,47.05,79.13,64.42,43.83,38.04,70.0,87.5,5.84,62.26,73.06,74.0,84.25,63.97,64.87,72.95,21.01,45.14,42.75,33.33
Vanuatu,2025,0-100,6_pillars_14_dims,132.0,28.55,15.5,40.73,18.64,29.47,20.56,44.65,20.0,12.5,0.0,60.97,61.22,15.75,21.54,9.51,49.42,16.46,13.3,34.33,55.96,33.33
"Venezuela, Bolivarian Republic of",2025,0-100,6_pillars_14_dims,145.0,25.55,15.5,39.65,19.78,27.36,12.77,38.22,20.0,12.5,5.84,53.21,59.89,25.75,13.82,8.27,46.44,24.99,0.58,16.79,43.1,33.33
Viet Nam,2025,0-100,6_pillars_14_dims,45.0,59.98,53.5,57.41,88.05,73.21,47.03,43.28,40.0,62.5,10.66,77.94,83.62,100.0,76.09,62.22,84.2,66.53,22.12,60.74,53.23,33.33
Yemen,2025,0-100,6_pillars_14_dims,191.0,14.48,0.0,19.82,15.76,17.16,15.37,7.46,0.0,0.0,0.0,46.15,13.3,30.75,0.76,5.87,28.44,26.95,6.9,15.08,14.92,0.0
Zambia,2025,0-100,6_pillars_14_dims,82.0,43.9,53.5,35.25,61.25,53.49,30.08,50.11,40.0,62.5,4.16,53.01,48.56,62.5,60.0,48.84,58.15,34.12,21.26,37.79,33.54,66.67
Zimbabwe,2025,0-100,6_pillars_14_dims,126.0,29.53,12.0,29.37,53.0,27.63,23.0,31.45,30.0,0.0,4.16,29.39,54.56,56.0,50.0,20.0,35.25,23.17,13.27,35.79,36.56,26.33
