iso3,entity_type,pais_original,year,scale,framework,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services
SUR,pais,Suriname,2019,0-10,4_clusters,1.0,0.0,,,0.4773,,,,,0.2917,,,1.0,0.0,0.0,0.0,0.4773,0.0,0.0,0.0,0.2917,0.0,0.0,1.769,0.5,0.1591,0.0,0.0972333333333333
IRQ,pais,Iraq,2019,0-10,4_clusters,1.0,0.0,,,0.3376,,,,,0.3194,,,1.0,0.0,0.0,0.0,0.3376,0.0,0.0,0.0,0.3194,0.0,0.0,1.657,0.5,0.1125333333333333,0.0,0.1064666666666666
STP,pais,Sao Tome and Principe,2019,0-10,4_clusters,1.0,0.0,,,0.3424,,,,,0.1389,,,1.0,0.0,0.0,0.0,0.3424,0.0,0.0,0.0,0.1389,0.0,0.0,1.4813,0.5,0.1141333333333333,0.0,0.0463
UZB,pais,Uzbekistan,2019,0-10,4_clusters,0.0,0.0,,,0.6207,,,,,0.7917,,,0.0,0.0,0.0,0.0,0.6207,0.0,0.0,0.0,0.7917,0.0,0.0,1.4124,0.0,0.2069,0.0,0.2638999999999999
MMR,pais,Myanmar,2019,0-10,4_clusters,0.0,0.0,1.0,2.775196815,0.3328,,,,,0.2292,,2.917232041,0.0,0.0,0.01,0.3964566878571429,0.3328,0.0,0.0,0.0,0.2292,0.0,0.4167474344285714,1.3852041222857143,0.0,0.2464188959523809,0.0,0.2153158114761904
SLE,pais,Sierra Leone,2019,0-10,4_clusters,0.0,0.0,,,0.2717,3.2,,,26.8,0.3472,,,0.0,0.0,0.0,0.0,0.2717,0.4571428571428572,0.0,0.268,0.3472,0.0,0.0,1.344042857142857,0.0,0.0905666666666666,0.2417142857142857,0.1157333333333333
GNQ,pais,Equatorial Guinea,2019,0-10,4_clusters,1.0,0.0,,,0.2298,,,,,0.0486,,,1.0,0.0,0.0,0.0,0.2298,0.0,0.0,0.0,0.0486,0.0,0.0,1.2784,0.5,0.0766,0.0,0.0162
TGO,pais,Togo,2019,0-10,4_clusters,0.0,0.0,,,0.3989,,0.0,,,0.5556,18.47,,0.0,0.0,0.0,0.0,0.3989,0.0,0.0,0.0,0.5556,0.1846999999999999,0.0,1.1391999999999998,0.0,0.1329666666666666,0.0,0.2467666666666666
COG,pais,Congo (the),2019,0-10,4_clusters,0.0,0.0,,,0.3024,3.1,,,18.1,0.1667,,,0.0,0.0,0.0,0.0,0.3024,0.4428571428571429,0.0,0.181,0.1667,0.0,0.0,1.092957142857143,0.0,0.1008,0.2079523809523809,0.0555666666666666
GRD,pais,Grenada,2019,0-10,4_clusters,0.0,0.0,,,0.593,,,,,0.4931,,,0.0,0.0,0.0,0.0,0.593,0.0,0.0,0.0,0.4931,0.0,0.0,1.0861,0.0,0.1976666666666666,0.0,0.1643666666666666
MDV,pais,Maldives,2019,0-10,4_clusters,0.0,0.0,,,0.5615,,,,,0.4931,,,0.0,0.0,0.0,0.0,0.5615,0.0,0.0,0.0,0.4931,0.0,0.0,1.0546,0.0,0.1871666666666666,0.0,0.1643666666666666
TON,pais,Tonga,2019,0-10,4_clusters,0.0,0.0,,,0.5237,,,,,0.4722,,,0.0,0.0,0.0,0.0,0.5237,0.0,0.0,0.0,0.4722,0.0,0.0,0.9959,0.0,0.1745666666666666,0.0,0.1574
FJI,pais,Fiji,2019,0-10,4_clusters,0.0,0.0,,,0.5348,,,,,0.4583,,,0.0,0.0,0.0,0.0,0.5348,0.0,0.0,0.0,0.4583,0.0,0.0,0.9931,0.0,0.1782666666666666,0.0,0.1527666666666666
VUT,pais,Vanuatu,2019,0-10,4_clusters,0.0,0.0,,,0.399,,,,,0.4375,,,0.0,0.0,0.0,0.0,0.399,0.0,0.0,0.0,0.4375,0.0,0.0,0.8365,0.0,0.133,0.0,0.1458333333333333
PLW,pais,Palau,2019,0-10,4_clusters,0.0,0.0,,,0.5024,,,,,0.3264,,,0.0,0.0,0.0,0.0,0.5024,0.0,0.0,0.0,0.3264,0.0,0.0,0.8288,0.0,0.1674666666666666,0.0,0.1088
WSM,pais,Samoa,2019,0-10,4_clusters,0.0,0.0,,,0.4236,,,,,0.3403,,,0.0,0.0,0.0,0.0,0.4236,0.0,0.0,0.0,0.3403,0.0,0.0,0.7639,0.0,0.1412,0.0,0.1134333333333333
BLZ,pais,Belize,2019,0-10,4_clusters,0.0,0.0,,,0.4115,,,,,0.3333,,,0.0,0.0,0.0,0.0,0.4115,0.0,0.0,0.0,0.3333,0.0,0.0,0.7447999999999999,0.0,0.1371666666666666,0.0,0.1110999999999999
CUB,pais,Cuba,2019,0-10,4_clusters,0.0,0.0,,,0.4101,,,,,0.2986,,,0.0,0.0,0.0,0.0,0.4101,0.0,0.0,0.0,0.2986,0.0,0.0,0.7087,0.0,0.1367,0.0,0.0995333333333333
TLS,pais,Timor-Leste,2019,0-10,4_clusters,0.0,0.0,,,0.3816,,,,,0.3125,,,0.0,0.0,0.0,0.0,0.3816,0.0,0.0,0.0,0.3125,0.0,0.0,0.6940999999999999,0.0,0.1272,0.0,0.1041666666666666
AFG,pais,Afghanistan,2019,0-10,4_clusters,0.0,0.0,12.0,,0.2585,,,,,0.3056,,,0.0,0.0,0.12,0.0,0.2585,0.0,0.0,0.0,0.3056,0.0,0.0,0.6840999999999999,0.0,0.1261666666666666,0.0,0.1018666666666666
SYR,pais,Syrian Arab Republic (the),2019,0-10,4_clusters,0.0,0.0,,,0.3459,,,,,0.2986,,,0.0,0.0,0.0,0.0,0.3459,0.0,0.0,0.0,0.2986,0.0,0.0,0.6445,0.0,0.1153,0.0,0.0995333333333333
KIR,pais,Kiribati,2019,0-10,4_clusters,0.0,0.0,,,0.345,,,,,0.2986,,,0.0,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.2986,0.0,0.0,0.6436,0.0,0.1149999999999999,0.0,0.0995333333333333
TUV,pais,Tuvalu,2019,0-10,4_clusters,0.0,0.0,,,0.3779,,,,,0.2222,,,0.0,0.0,0.0,0.0,0.3779,0.0,0.0,0.0,0.2222,0.0,0.0,0.6001000000000001,0.0,0.1259666666666666,0.0,0.0740666666666666
MHL,pais,Marshall Islands (the),2019,0-10,4_clusters,0.0,0.0,,,0.3543,,,,,0.2292,,,0.0,0.0,0.0,0.0,0.3543,0.0,0.0,0.0,0.2292,0.0,0.0,0.5835,0.0,0.1181,0.0,0.0764
PNG,pais,Papua New Guinea,2019,0-10,4_clusters,0.0,0.0,,,0.2787,,,,,0.2708,,,0.0,0.0,0.0,0.0,0.2787,0.0,0.0,0.0,0.2708,0.0,0.0,0.5495,0.0,0.0929,0.0,0.0902666666666666
DJI,pais,Djibouti,2019,0-10,4_clusters,0.0,0.0,,,0.2401,,,,,0.2917,,,0.0,0.0,0.0,0.0,0.2401,0.0,0.0,0.0,0.2917,0.0,0.0,0.5318,0.0,0.0800333333333333,0.0,0.0972333333333333
SLB,pais,Solomon Islands,2019,0-10,4_clusters,0.0,0.0,,,0.2816,,,,,0.2431,,,0.0,0.0,0.0,0.0,0.2816,0.0,0.0,0.0,0.2431,0.0,0.0,0.5247,0.0,0.0938666666666666,0.0,0.0810333333333333
TKM,pais,Turkmenistan,2019,0-10,4_clusters,0.0,0.0,,,0.3652,,,,,0.1319,,,0.0,0.0,0.0,0.0,0.3652,0.0,0.0,0.0,0.1319,0.0,0.0,0.4971,0.0,0.1217333333333333,0.0,0.0439666666666666
LBY,pais,Libya,2019,0-10,4_clusters,0.0,0.0,,,0.3833,,,,,0.0972,,,0.0,0.0,0.0,0.0,0.3833,0.0,0.0,0.0,0.0972,0.0,0.0,0.4805,0.0,0.1277666666666666,0.0,0.0324
COD,pais,Democratic Republic of the Congo (the),2019,0-10,4_clusters,0.0,0.0,,,0.2612,,,,,0.2083,,,0.0,0.0,0.0,0.0,0.2612,0.0,0.0,0.0,0.2083,0.0,0.0,0.4695,0.0,0.0870666666666666,0.0,0.0694333333333333
NRU,pais,Nauru,2019,0-10,4_clusters,0.0,0.0,,,0.3324,,,,,0.1319,,,0.0,0.0,0.0,0.0,0.3324,0.0,0.0,0.0,0.1319,0.0,0.0,0.4642999999999999,0.0,0.1108,0.0,0.0439666666666666
FSM,pais,Micronesia (Federated States of),2019,0-10,4_clusters,0.0,0.0,,,0.3155,,,,,0.1458,,,0.0,0.0,0.0,0.0,0.3155,0.0,0.0,0.0,0.1458,0.0,0.0,0.4613,0.0,0.1051666666666666,0.0,0.0486
SDN,pais,Sudan (the),2019,0-10,4_clusters,0.0,0.0,,,0.2394,,,,,0.1528,,,0.0,0.0,0.0,0.0,0.2394,0.0,0.0,0.0,0.1528,0.0,0.0,0.3922,0.0,0.0798,0.0,0.0509333333333333
CAF,pais,Central African Republic (the),2019,0-10,4_clusters,0.0,0.0,,,0.1584,,,,,0.2083,,,0.0,0.0,0.0,0.0,0.1584,0.0,0.0,0.0,0.2083,0.0,0.0,0.3667,0.0,0.0528,0.0,0.0694333333333333
COM,pais,Comoros (the),2019,0-10,4_clusters,0.0,0.0,,,0.2336,,,,,0.0972,,,0.0,0.0,0.0,0.0,0.2336,0.0,0.0,0.0,0.0972,0.0,0.0,0.3308,0.0,0.0778666666666666,0.0,0.0324
GNB,pais,Guinea-Bissau,2019,0-10,4_clusters,0.0,0.0,,,0.1887,,,,,0.0764,,,0.0,0.0,0.0,0.0,0.1887,0.0,0.0,0.0,0.0764,0.0,0.0,0.2651,0.0,0.0629,0.0,0.0254666666666666
SSD,pais,South Sudan,2019,0-10,4_clusters,0.0,0.0,,,0.1214,,,,,0.1111,,,0.0,0.0,0.0,0.0,0.1214,0.0,0.0,0.0,0.1111,0.0,0.0,0.2324999999999999,0.0,0.0404666666666666,0.0,0.0370333333333333
ERI,pais,Eritrea,2019,0-10,4_clusters,0.0,0.0,,,0.1337,,,,,0.0833,,,0.0,0.0,0.0,0.0,0.1337,0.0,0.0,0.0,0.0833,0.0,0.0,0.217,0.0,0.0445666666666666,0.0,0.0277666666666666
PRK,pais,Democratic People's Republic of Korea (the),2019,0-10,4_clusters,0.0,0.0,,,0.2159,,,,,0.0,,,0.0,0.0,0.0,0.0,0.2159,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.0,0.0719666666666666,0.0,0.0
SOM,pais,Somalia,2019,0-10,4_clusters,0.0,0.0,,,0.0566,,,,,0.1111,,,0.0,0.0,0.0,0.0,0.0566,0.0,0.0,0.0,0.1111,0.0,0.0,0.1677,0.0,0.0188666666666666,0.0,0.0370333333333333
