pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Greece,2024,0-100,3_pillars_10_dims,57.69792651,59.0,50.66443858,46.54961935,75.8797216,0.0,87.84038176,58.82748541,55.98988716,34.76814922,52.9252794,51.95542944,55.68744934,81.34480252,90.60691293
Peru,2024,0-100,3_pillars_10_dims,57.11155994,60.0,68.60202113,34.02980339,68.70285532,100.0,78.63215645,52.15147523,43.62445284,19.27457216,39.67343668,43.14140132,50.16181483,75.91112978,80.03562135
Costa Rica,2024,0-100,3_pillars_10_dims,56.85007591,61.0,68.45779037,34.73770853,67.35472884,100.0,83.48130678,43.13315549,47.2166992,26.08160292,41.31704026,36.81448242,37.41228591,78.67472479,85.97717581
Argentina,2024,0-100,3_pillars_10_dims,56.40407736,62.0,64.65383311,37.08563876,67.47276022,100.0,71.34380001,48.86003359,38.41149884,24.3038251,43.88824832,43.06484285,39.95998262,88.34653468,74.11176335
Republic of Moldova,2024,0-100,3_pillars_10_dims,56.03414931,63.0,69.37868523,29.93851947,68.78524325,100.0,75.04551461,46.02737649,56.44184981,19.18921469,34.61081739,36.01552632,36.50900809,78.90122028,90.94550137
Liechtenstein,2024,0-100,3_pillars_10_dims,55.90597714,64.0,43.6996513,49.18810577,74.83017434,0.0,65.1960364,45.52529084,64.07727796,38.77471202,49.44127087,59.34833443,61.49046412,67.93694877,95.06311014
Egypt,2024,0-100,3_pillars_10_dims,55.62588551,65.0,68.9843581,42.12676138,55.76653707,100.0,70.02051421,58.34293655,47.57398163,17.833751,61.21267154,47.3338616,30.60895455,54.89562918,81.79502747
Brunei Darussalam,2024,0-100,3_pillars_10_dims,55.44955575,66.0,45.85409618,45.87483248,74.61973858,0.0,54.62534747,56.07709182,72.71394544,28.03545967,52.39386437,57.19517339,54.6909004,81.69830831,87.47000704
Andorra,2024,0-100,3_pillars_10_dims,54.4360374,67.0,47.34146198,41.05697375,74.90967646,0.0,86.82800306,39.55399363,62.98385124,36.40055244,52.03034202,34.74002679,60.13906412,69.52685511,95.06311014
Bahrain,2024,0-100,3_pillars_10_dims,54.32835116,68.0,45.62063539,37.60941773,79.75500036,0.0,57.07137304,63.67167352,61.739495,29.55904273,43.46062757,39.80858288,62.73785722,84.10556726,92.4215766
Mauritius,2024,0-100,3_pillars_10_dims,53.94349686,69.0,65.30883779,32.70741304,63.81423976,100.0,68.32734441,45.9867326,46.92127414,22.17803843,38.40520478,37.53899592,45.39837278,69.96843529,76.07591121
Uzbekistan,2024,0-100,3_pillars_10_dims,53.45247202,70.0,64.70968247,33.5033404,62.1443932,100.0,58.57243034,53.10459337,47.16170618,15.78094381,40.97646738,43.75261001,40.00303443,84.04801599,62.38212918
Mexico,2024,0-100,3_pillars_10_dims,53.28576348,71.0,43.5246465,42.26674885,74.06589509,0.0,76.12917443,50.1996239,47.76978766,29.39620131,47.26935175,50.13469348,45.40065857,87.18652007,89.61050663
South Africa,2024,0-100,3_pillars_10_dims,52.91180045,72.0,54.30148714,39.15089994,65.28301427,50.0,80.70546303,51.0419145,35.45857105,25.55666161,53.67726596,38.21877227,43.05330773,66.74559825,86.05013683
Dominican Republic,2024,0-100,3_pillars_10_dims,52.69157831,73.0,69.03886351,24.76701863,64.26885278,100.0,57.97609318,55.5710162,62.60834467,12.34935448,39.51816184,22.43353957,44.00881378,69.20373798,79.59400657
Croatia,2024,0-100,3_pillars_10_dims,51.62288743,74.0,40.86261266,39.72296473,74.2830849,0.0,63.87893804,49.27858904,50.29292355,25.41347972,46.19545765,47.55995681,59.84350698,67.95373821,95.05200951
San Marino,2024,0-100,3_pillars_10_dims,51.59379335,75.0,38.65028509,42.14249179,73.98860315,0.0,56.0476819,37.5339829,61.01947556,36.48852557,49.8296893,40.10926051,60.66006412,66.2426352,95.06311014
Kazakhstan,2024,0-100,3_pillars_10_dims,51.40653433,76.0,54.75332237,33.53520534,65.93107529,50.0,53.98756412,54.73175336,60.293972,17.17458331,40.46097962,42.97005308,36.26627655,75.54376408,85.98318525
Kuwait,2024,0-100,3_pillars_10_dims,51.25970098,77.0,46.49395976,36.92892292,70.35622027,50.0,50.50311863,43.3429927,42.12972769,33.48194648,37.48549618,39.81932608,58.64137465,62.27528274,90.15200341
Rwanda,2024,0-100,3_pillars_10_dims,51.25257164,78.0,71.43819993,30.29506431,52.02445068,100.0,75.61628671,60.10909353,50.02741948,7.384135323,46.13333921,37.36771838,24.35896,59.96022511,71.75416693
Montenegro,2024,0-100,3_pillars_10_dims,47.42969132,79.0,39.40605982,33.39878236,69.48423176,0.0,58.72827025,44.7831497,54.11281935,25.55057896,37.8844483,36.76131982,52.06320809,66.97671303,89.41277417
Bangladesh,2024,0-100,3_pillars_10_dims,47.11916395,80.0,58.51580282,26.2564749,56.58521415,100.0,41.75235298,53.26748315,39.04337514,9.620103353,40.72048205,28.4288393,30.07675523,72.84711168,66.83177552
Georgia,2024,0-100,3_pillars_10_dims,46.91902495,81.0,43.41362,34.53211601,62.81133885,0.0,63.02774789,44.10461334,66.52211876,19.98712007,44.90017995,38.709048,37.74371859,71.91169495,78.77860301
