pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Senegal,2020,0-100,3_pillars_10_dims,36.93644097,35.17615267,24.91550177,50.71766847,0.0,44.75409023,47.98,47.97052047,11.69183013,38.1543989,24.90027628,38.04578039,50.61222501,63.495
Serbia,2020,0-100,3_pillars_10_dims,53.43131781,62.50589765,32.83900018,64.9490556,100.0,52.00478219,49.76666667,48.25214174,18.09448151,42.21090077,38.21161826,42.23550012,69.18166668,83.43
Seychelles,2020,0-100,3_pillars_10_dims,45.11696962,41.82884316,31.942577,61.57948871,0.0,45.76141081,61.76,59.79396184,19.53704166,41.01333934,35.27735001,45.80379965,77.35517777,
Sierra Leone,2020,0-100,3_pillars_10_dims,26.45187084,21.33203546,18.50541338,39.51816368,0.0,12.46238869,37.5275,35.33825317,2.682928173,31.74045444,21.09285753,27.0484466,33.88104444,57.625
Singapore,2020,0-100,3_pillars_10_dims,78.70445636,93.82877729,64.68084527,77.60374653,100.0,91.58461487,93.82,89.91049429,44.94526619,68.70443472,80.3928349,65.66123958,83.5,83.65
Slovakia,2020,0-100,3_pillars_10_dims,58.15951208,62.59998007,39.59310581,72.28545035,100.0,53.64962389,48.78333333,47.96696307,32.68367288,47.25155538,38.84408918,54.07788781,77.27346323,85.505
Slovenia,2020,0-100,3_pillars_10_dims,55.98646971,52.78341372,43.25621217,71.91978322,50.0,54.71596184,51.12,55.29769306,24.17209513,53.81966071,51.77688067,58.30003211,72.81431757,84.645
Solomon Islands,2020,0-100,3_pillars_10_dims,24.82111056,15.84583333,23.93612222,34.68137612,0.0,2.033333333,32.35,29.0,4.636616213,55.3,11.87175043,26.65256335,42.71018889,
South Africa,2020,0-100,3_pillars_10_dims,48.2496896,36.87982515,35.64683845,72.22240521,0.0,51.90986916,50.59333333,45.01609809,15.60227275,47.28709871,44.05114389,74.83665732,67.55555833,74.275
Spain,2020,0-100,3_pillars_10_dims,68.04127646,68.1666029,50.48215724,85.47506924,100.0,58.48289659,59.85333333,54.33018168,45.36364377,47.78340739,58.29942055,81.99431431,85.20089341,89.23
Sri Lanka,2020,0-100,3_pillars_10_dims,36.24239982,24.01070977,27.98203933,56.73445037,0.0,16.65,37.69333333,41.69950574,16.4393603,37.04209409,30.46466359,29.90376777,63.61458334,76.685
Sudan,2020,0-100,3_pillars_10_dims,26.35366016,19.90880846,21.62507064,37.52710136,0.0,16.31279136,35.03113095,28.29131153,2.657192897,30.96378648,31.25423256,28.43171797,40.96458612,43.185
Suriname,2020,0-100,3_pillars_10_dims,35.45630679,19.26909983,23.44345786,63.65636269,0.0,11.94039037,30.78666667,34.34934229,10.63623209,32.11553842,27.57860306,67.43880475,62.12778333,61.4025
Sweden,2020,0-100,3_pillars_10_dims,78.77185699,78.26153643,65.44033645,92.61369808,100.0,62.21754694,79.48,71.34859877,42.01716855,79.29338216,75.01045864,93.76898724,90.03710701,94.035
Switzerland,2020,0-100,3_pillars_10_dims,69.21928355,51.59125008,65.15480698,90.91179357,0.0,59.8237309,67.58,78.96126944,44.9167672,75.90333046,74.64432328,92.69064125,85.88973947,94.155
Syrian Arab Republic,2020,0-100,3_pillars_10_dims,19.32991694,13.52520473,17.35296728,27.11157882,0.0,9.601470618,25.25666667,19.24268164,4.630671305,19.78900824,27.63922228,24.34098648,27.59874999,29.395
Tajikistan,2020,0-100,3_pillars_10_dims,35.00657888,32.79517444,24.31583541,47.9087268,0.0,42.5351448,43.40333333,45.24221961,4.090057142,37.36019968,31.4972494,34.29173595,51.26444445,58.17
Thailand,2020,0-100,3_pillars_10_dims,48.15556385,38.69853699,40.75564827,65.0125063,0.0,43.35301311,59.00333333,52.43780152,21.33215965,52.42964703,48.50513813,48.57696058,64.43055833,82.03
Timor-Leste,2020,0-100,3_pillars_10_dims,33.35090245,26.96914623,22.40037286,50.68318827,0.0,25.61226345,44.18055556,38.0837659,5.127035382,34.90857898,27.16550421,31.9153529,56.02778333,64.10642857
Togo,2020,0-100,3_pillars_10_dims,30.31833945,25.95578546,21.72987651,43.26935637,0.0,23.68738869,43.9975,36.13825317,5.027121768,35.12684259,25.03566516,27.55376078,40.48930833,61.765
Tonga,2020,0-100,3_pillars_10_dims,33.9968729,24.34583333,32.45056005,45.19422532,0.0,6.933333333,37.65,52.8,14.72117754,61.4,21.2305026,37.81160621,52.57684443,
Trinidad and Tobago,2020,0-100,3_pillars_10_dims,41.24250672,30.1234814,24.11217127,69.49186748,0.0,36.73167121,44.28,39.48225441,12.77090803,30.18735472,29.37825106,75.54616075,59.76944168,73.16
Tunisia,2020,0-100,3_pillars_10_dims,44.38582431,44.88157739,34.09404458,54.18185095,50.0,47.49960966,39.58333333,42.44336659,20.95135533,38.83153198,42.49924644,44.10721119,61.55334168,56.885
Turkey,2020,0-100,3_pillars_10_dims,46.010238,43.02539619,35.46456476,59.54075307,0.0,58.71816265,61.90416667,51.47925545,17.62635636,42.40562631,46.3617116,47.2618342,63.185425,68.175
Uganda,2020,0-100,3_pillars_10_dims,30.90189558,31.8136013,19.46646176,41.42562367,0.0,36.74217334,48.06666667,42.44556521,1.924343235,36.80185028,19.67319177,27.98283766,38.55403334,57.74
Ukraine,2020,0-100,3_pillars_10_dims,48.90066262,47.0743219,35.59682765,64.03083831,50.0,51.26935707,47.40333333,39.6245972,22.87074035,41.52613699,42.39360561,41.35306493,66.56445,84.175
United Arab Emirates,2020,0-100,3_pillars_10_dims,72.39516242,82.53429302,51.88065702,82.77053723,100.0,63.31201193,88.248,78.57716017,30.99236962,63.7003207,60.94928075,88.8611906,78.00542108,81.445
United Kingdom,2020,0-100,3_pillars_10_dims,81.12392339,83.25363588,65.64208452,94.47604977,100.0,89.48203737,75.94666667,67.58583949,57.23872764,66.46175103,73.22577489,91.3581493,98.695,93.375
United Republic of Tanzania,2020,0-100,3_pillars_10_dims,32.77809792,33.07706874,20.56835097,44.68887407,0.0,40.05820951,47.80333333,44.44673211,0.6980016777,38.44616699,22.56088423,24.92218053,42.01944167,67.125
United States of America,2020,0-100,3_pillars_10_dims,85.47916278,89.18199516,77.55153282,89.70396034,100.0,92.65674454,88.83333333,75.23790277,81.64574981,79.90191216,71.1069365,90.40688103,89.545,89.16
Uruguay,2020,0-100,3_pillars_10_dims,55.56530745,63.84158035,27.13472872,75.71961328,100.0,54.10168086,54.62,46.64464054,15.92140724,34.25537373,31.2274052,78.14272316,77.96111668,71.055
Uzbekistan,2020,0-100,3_pillars_10_dims,37.17078668,38.03919785,27.66210382,45.81105838,0.0,52.99523327,56.40833333,42.75322479,9.444141176,39.2357555,34.30641479,35.17998347,45.02319167,57.23
Vanuatu,2020,0-100,3_pillars_10_dims,28.11128001,19.24916667,25.06568351,40.01898986,0.0,3.266666667,33.53,40.2,8.377813083,61.1,5.719237435,33.71391307,46.32406666,
Venezuela,2020,0-100,3_pillars_10_dims,26.27039998,9.945672924,18.12190931,50.74361769,0.0,12.53396193,14.45,12.79872977,5.450147806,22.17273901,26.74284111,29.89848642,50.56736667,71.765
Viet Nam,2020,0-100,3_pillars_10_dims,42.82388161,39.00429986,29.76706185,59.70028312,0.0,53.10434702,53.21333333,49.69951908,20.16445471,41.2928003,27.84393053,42.64418267,62.54166668,73.915
Yemen,2020,0-100,3_pillars_10_dims,19.07215615,15.17353806,16.26680991,25.77612049,0.0,29.15147062,18.0,13.54268164,3.922118931,17.23908851,27.63922228,19.22348648,28.70987499,29.395
Zambia,2020,0-100,3_pillars_10_dims,32.05329986,30.02713565,22.97654959,43.15621434,0.0,44.59492491,36.38,39.1336177,4.874245229,36.59210948,27.46329406,29.56600136,38.54764166,61.355
Zimbabwe,2020,0-100,3_pillars_10_dims,27.3212745,17.88797071,22.22714513,41.84870766,0.0,23.45615552,21.72,26.37572734,9.03012654,28.98530952,28.66599933,30.910298,40.27582499,54.36
