iso3,entity_type,pais_original,year,scale,framework,total_score,rank,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail,policy_capacity,ai_infrastructure,governance_2025,public_sector_adoption,development_diffusion,resilience,policy_vision,policy_commitment,compute_capacity,enabling_technical_infrastructure,data_quality,governance_principles,regulatory_compliance,government_digital_policy,e_government_delivery,human_capital_2025,ai_sector_maturity,ai_technology_diffusion,societal_transition,safety_security,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet,rank_global,score_global,rank_asia_pacific,score_asia_pacific,rank_africa,score_africa,rank_latam,score_latam,rank_north_america,score_north_america,rank_eastern_europe,score_eastern_europe,rank_australasia,score_australasia,rank_western_europe,score_western_europe,region_pertenece
LUX,pais,Luxembourg,2022,0-100,3_pillars_10_dims,67.90883906,,,,75.30247222,,,,,,,,,,,,,,,,,,,,,,,,,82.5719618,43.32012009,77.83443529,100.0,71.00276546,86.58319667,72.70188508,,36.15098395,48.99388671,44.8154896,67.66666667,75.30247222,90.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,pais,Spain,2022,0-100,3_pillars_10_dims,67.82500746,,,,79.35438856,,,,,,,,,,,,,,,,,,,,,,,,,71.81627569,48.69740576,82.96134094,100.0,62.61042929,72.45277,52.20190347,,37.74843927,51.80473331,56.53904472,83.01,79.35438856,86.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,pais,New Zealand,2022,0-100,3_pillars_10_dims,67.81782093,,,,88.28887679,,,,,,,,,,,,,,,,,,,,,,,,,63.23320591,50.45177683,89.76848005,50.0,66.3241314,74.32697,62.28172223,,31.69927278,57.22440326,62.43165446,84.486,88.28887679,96.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,pais,Malaysia,2022,0-100,3_pillars_10_dims,67.37403813,,,,74.11008333,,,,,,,,,,,,,,,,,,,,,,,,,77.69845964,50.26213028,74.16152446,100.0,62.99820577,78.47102667,69.32460612,,34.41451929,53.38010013,62.99177142,79.03,74.11008333,69.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,pais,Czech Republic,2022,0-100,3_pillars_10_dims,67.05055789,,,,78.83044685,,,,,,,,,,,,,,,,,,,,,,,,,70.5043067,48.61077863,82.03658835,100.0,57.49247035,66.76231,57.76244646,,34.29874046,52.0312786,59.50231683,81.64066667,78.83044685,85.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,pais,Thailand,2022,0-100,3_pillars_10_dims,64.63063705,,,,76.96216667,,,,,,,,,,,,,,,,,,,,,,,,,76.77014929,38.70472434,78.41703751,100.0,72.90010704,77.20139,56.97910013,,25.58285953,48.25019662,42.28111687,79.312,76.96216667,78.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,pais,India,2022,0-100,3_pillars_10_dims,63.66522524,,,,59.44709876,,,,,,,,,,,,,,,,,,,,,,,,,75.58427727,48.57987038,66.83152807,100.0,81.7215783,69.44262333,51.17290746,,32.64935823,54.00699136,59.08326153,65.396,59.44709876,75.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,pais,Malta,2022,0-100,3_pillars_10_dims,62.75184823,,,,61.86072844,,,,,,,,,,,,,,,,,,,,,,,,,80.64994351,38.80482915,68.80077203,100.0,82.75777147,76.58826,63.25374256,,33.07879269,39.90947349,43.42622128,61.352,61.86072844,83.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,pais,Poland,2022,0-100,3_pillars_10_dims,62.65072579,,,,66.11638889,,,,,,,,,,,,,,,,,,,,,,,,,68.72363189,45.05237013,74.17617534,100.0,59.43011428,65.46811667,49.99629661,,29.96698863,46.06588316,59.1242386,75.62,66.11638889,80.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,pais,Chile,2022,0-100,3_pillars_10_dims,62.51743318,,,,73.98741667,,,,,,,,,,,,,,,,,,,,,,,,,71.27418214,39.31002131,76.96809609,100.0,57.92390876,66.00994,61.16287978,,31.1655976,38.02253172,48.74193462,78.968,73.98741667,77.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,pais,Qatar,2022,0-100,3_pillars_10_dims,62.37304734,,,,69.60233333,,,,,,,,,,,,,,,,,,,,,,,,,69.34169436,41.69938513,76.07806254,100.0,57.18577487,71.40765,48.77335257,,30.99125613,41.14219903,52.96470024,61.182,69.60233333,97.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,pais,Brazil,2022,0-100,3_pillars_10_dims,62.36663855,,,,72.15826846,,,,,,,,,,,,,,,,,,,,,,,,,69.62159774,43.43316724,74.04515065,100.0,57.13220186,72.02013,49.33405912,,33.07591139,46.24513937,50.97845095,73.318,72.15826846,76.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,pais,Lithuania,2022,0-100,3_pillars_10_dims,62.20182711,,,,61.50675,,,,,,,,,,,,,,,,,,,,,,,,,74.38544179,43.94614952,68.27389,100.0,64.89006586,72.09971,60.55199131,,30.371486,51.85574733,49.61121523,61.468,61.50675,81.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,pais,Saudi Arabia,2022,0-100,3_pillars_10_dims,61.96247066,,,,74.67725478,,,,,,,,,,,,,,,,,,,,,,,,,73.8104046,42.82828195,69.24872541,100.0,46.60518043,87.51431,61.12212798,,29.65129665,39.78293861,59.0506106,62.992,74.67725478,70.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,pais,Russian Federation,2022,0-100,3_pillars_10_dims,61.48426081,,,,73.23808333,,,,,,,,,,,,,,,,,,,,,,,,,76.21026672,43.8794013,64.36311441,100.0,74.83123399,71.38691667,58.62291622,,23.49074905,46.17446997,61.97298487,36.588,73.23808333,83.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,pais,Slovenia,2022,0-100,3_pillars_10_dims,61.4463947,,,,75.13440698,,,,,,,,,,,,,,,,,,,,,,,,,71.14770746,41.61680906,71.5746676,100.0,58.39744776,70.48838,55.70500206,,27.67089353,50.9013787,46.27815495,60.75466667,75.13440698,78.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,pais,Hungary,2022,0-100,3_pillars_10_dims,61.43939487,,,,71.18747571,,,,,,,,,,,,,,,,,,,,,,,,,69.22115865,39.44536155,75.6516644,100.0,57.80896898,65.57966667,53.49599896,,32.27681876,41.83496197,44.22430392,75.966,71.18747571,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,pais,Indonesia,2022,0-100,3_pillars_10_dims,60.89255185,,,,60.8605,,,,,,,,,,,,,,,,,,,,,,,,,73.84687089,41.51322073,67.31756391,100.0,61.1958863,72.50501,61.68658726,,26.12496591,45.18795245,53.22674383,71.948,60.8605,69.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,pais,Bulgaria,2022,0-100,3_pillars_10_dims,60.33310733,,,,74.8212441,,,,,,,,,,,,,,,,,,,,,,,,,65.69509824,37.56411861,77.74010513,100.0,53.65984719,62.24156333,46.87898245,,26.52978837,41.5536786,44.60888885,76.876,74.8212441,81.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,pais,Iceland,2022,0-100,3_pillars_10_dims,59.84295226,,,,83.23414675,,,,,,,,,,,,,,,,,,,,,,,,,50.63279518,49.43944747,79.45661414,0.0,63.92522425,73.19647,65.40948647,,34.36120492,62.45012535,51.50701216,65.45466667,83.23414675,89.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,pais,Latvia,2022,0-100,3_pillars_10_dims,59.84242562,,,,68.9112961,,,,,,,,,,,,,,,,,,,,,,,,,70.60740077,39.19491064,69.72496547,100.0,60.7833801,63.62632667,58.01989629,,28.85170564,40.12600492,48.60702136,59.33266667,68.9112961,80.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,pais,Colombia,2022,0-100,3_pillars_10_dims,59.37944898,,,,61.19308333,,,,,,,,,,,,,,,,,,,,,,,,,74.27162593,35.05240683,68.81431419,100.0,71.33949158,67.71278333,58.0342288,,20.94329187,37.10881416,47.10511447,69.834,61.19308333,75.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,pais,Cyprus,2022,0-100,3_pillars_10_dims,59.14788556,,,,64.65847222,,,,,,,,,,,,,,,,,,,,,,,,,68.34832321,40.90838899,68.18694447,100.0,59.91544539,58.98399667,54.49385077,,32.02784948,45.17043257,45.52688493,57.62666667,64.65847222,82.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,pais,Turkey,2022,0-100,3_pillars_10_dims,58.97375556,,,,65.49957568,,,,,,,,,,,,,,,,,,,,,,,,,75.48372128,39.93284532,61.50470008,100.0,75.97795899,73.43290667,52.52401944,,28.38499463,40.94470223,50.46883908,51.146,65.49957568,67.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,pais,Greece,2022,0-100,3_pillars_10_dims,58.56101347,,,,73.02129191,,,,,,,,,,,,,,,,,,,,,,,,,54.37046412,44.70627718,76.60629913,50.0,58.27976131,60.41139333,48.79070184,,32.93679059,42.4676456,58.71439534,72.552,73.02129191,84.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,pais,Uruguay,2022,0-100,3_pillars_10_dims,58.2470919,,,,73.22508333,,,,,,,,,,,,,,,,,,,,,,,,,71.1020602,32.2010208,71.43819469,100.0,59.88457245,69.22754667,55.29612168,,24.89078869,27.55689055,44.15538317,57.07,73.22508333,84.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,pais,Oman,2022,0-100,3_pillars_10_dims,57.83051152,,,,71.38725,,,,,,,,,,,,,,,,,,,,,,,,,69.2773661,34.74233619,69.47183227,100.0,56.9796802,74.08539333,46.04439086,,20.60205634,34.97904066,48.64591156,56.478,71.38725,80.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,pais,Argentina,2022,0-100,3_pillars_10_dims,57.38681671,,,,75.39916667,,,,,,,,,,,,,,,,,,,,,,,,,65.56243864,33.56401642,73.03399508,100.0,50.89962497,63.78267,47.56745957,,24.23108286,33.42866678,43.03229963,72.338,75.39916667,71.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,pais,Philippines,2022,0-100,3_pillars_10_dims,55.41679531,,,,58.68466667,,,,,,,,,,,,,,,,,,,,,,,,,65.02223707,36.33095569,64.89719318,100.0,53.68211009,58.39002333,48.01681483,,26.44473314,40.20903783,42.3390961,69.522,58.68466667,66.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,pais,Viet Nam,2022,0-100,3_pillars_10_dims,53.96052747,,,,66.59175,,,,,,,,,,,,,,,,,,,,,,,,,66.77174652,39.18355431,55.92628157,100.0,52.31665738,66.45079,48.3195387,,27.27330789,38.91541276,51.36194227,33.724,66.59175,67.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,pais,Bahrain,2022,0-100,3_pillars_10_dims,53.59440928,,,,73.39333333,,,,,,,,,,,,,,,,,,,,,,,,,45.14264383,36.86687947,78.77370455,0.0,51.95842874,73.39108667,55.22105991,,30.09586744,37.10412932,43.40064164,77.41,73.39333333,85.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,pais,Mauritius,2022,0-100,3_pillars_10_dims,53.38242963,,,,59.70275,,,,,,,,,,,,,,,,,,,,,,,,,68.65330186,31.15803804,60.33594897,100.0,61.1243642,63.63887333,49.84996992,,23.46012424,40.13096986,29.88302002,49.787,59.70275,71.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,pais,Romania,2022,0-100,3_pillars_10_dims,53.29633,,,,67.49197789,,,,,,,,,,,,,,,,,,,,,,,,,50.96338485,36.62351692,72.30208822,50.0,57.9507189,52.94634,42.95648051,,28.56416708,34.5828996,46.72348406,78.568,67.49197789,70.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,pais,Serbia,2022,0-100,3_pillars_10_dims,52.96174925,,,,55.76524867,,,,,,,,,,,,,,,,,,,,,,,,,68.69780694,35.43763432,54.74980648,100.0,56.20923404,67.98256667,50.59942706,,21.57595053,38.82095313,45.9159993,33.406,55.76524867,75.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,pais,Ukraine,2022,0-100,3_pillars_10_dims,52.79602255,,,,66.33683333,,,,,,,,,,,,,,,,,,,,,,,,,68.96089823,34.68382593,54.7433435,100.0,51.28673061,66.06691333,58.48994896,,28.92596148,33.73288853,41.39262778,31.62,66.33683333,66.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,pais,Peru,2022,0-100,3_pillars_10_dims,51.97236356,,,,63.98950654,,,,,,,,,,,,,,,,,,,,,,,,,64.50761812,29.87368963,61.53578294,100.0,48.6736596,62.78035667,46.57645623,,18.23185918,28.74872379,42.64048591,47.942,63.98950654,72.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,pais,Mexico,2022,0-100,3_pillars_10_dims,51.78355316,,,,70.6679502,,,,,,,,,,,,,,,,,,,,,,,,,43.05477115,38.84596967,73.44991865,0.0,55.3603631,66.15553,50.70319149,,26.26612884,39.57887861,50.69290155,71.252,70.6679502,78.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,pais,Jordan,2022,0-100,3_pillars_10_dims,51.76399042,,,,52.52235489,,,,,,,,,,,,,,,,,,,,,,,,,67.54379962,36.19691228,51.55125937,100.0,61.35566697,64.16418333,44.65534817,,20.85194814,42.22005518,45.51873352,28.148,52.52235489,73.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,pais,Slovakia,2022,0-100,3_pillars_10_dims,51.22626911,,,,77.719,,,,,,,,,,,,,,,,,,,,,,,,,41.70612339,39.20411097,72.76857297,0.0,60.46912475,57.58268333,48.77268547,,32.92370336,41.90005797,42.78857159,58.86466667,77.719,81.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,pais,Egypt,2022,0-100,3_pillars_10_dims,49.41720556,,,,43.9803633,,,,,,,,,,,,,,,,,,,,,,,,,63.4604206,36.0745064,48.71668969,100.0,51.4176637,61.10474333,41.31927538,,16.82808336,40.97524523,50.42019061,29.242,43.9803633,72.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,pais,Croatia,2022,0-100,3_pillars_10_dims,48.58505521,,,,57.57764663,,,,,,,,,,,,,,,,,,,,,,,,,40.70324542,36.12006008,68.93186012,0.0,56.67370832,60.88303333,45.25624005,,26.21444751,38.23271732,43.91301539,75.70266667,57.57764663,73.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,pais,Brunei Darussalam,2022,0-100,3_pillars_10_dims,48.05568313,,,,63.8279,,,,,,,,,,,,,,,,,,,,,,,,,37.8120077,42.63062801,63.72441366,0.0,24.98437565,61.39172933,64.87192583,,30.25581669,44.96527546,52.67079188,46.07733333,63.8279,81.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,pais,South Africa,2022,0-100,3_pillars_10_dims,47.74442738,,,,57.355,,,,,,,,,,,,,,,,,,,,,,,,,37.89559783,37.60370819,67.73397613,0.0,57.33388488,55.62073333,38.6277731,,26.06393529,41.50121923,45.24597003,74.418,57.355,71.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,pais,Kuwait,2022,0-100,3_pillars_10_dims,47.67990454,,,,71.12458333,,,,,,,,,,,,,,,,,,,,,,,,,37.39529874,34.71754862,70.92686626,0.0,51.09088986,54.91257333,43.57773176,,31.85846447,29.80293384,42.49124754,55.298,71.12458333,86.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,pais,Tunisia,2022,0-100,3_pillars_10_dims,46.80606294,,,,58.74068608,,,,,,,,,,,,,,,,,,,,,,,,,48.63096255,36.91763116,54.8695951,50.0,55.27408186,55.66795667,33.58181169,,21.27129095,39.73257125,49.7490313,26.25,58.74068608,79.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,pais,North Macedonia,2022,0-100,3_pillars_10_dims,46.10847621,,,,49.86031935,,,,,,,,,,,,,,,,,,,,,,,,,50.66259277,32.0454817,55.61735416,50.0,55.21072993,51.87222333,45.5674178,,22.39542454,28.98981872,44.75120186,48.948,49.86031935,68.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,pais,Kazakhstan,2022,0-100,3_pillars_10_dims,45.78086433,,,,74.10500564,,,,,,,,,,,,,,,,,,,,,,,,,48.40344777,29.21669903,59.72244619,0.0,54.18830781,75.67039,63.75509326,,15.47775451,33.62597692,38.54636566,30.8,74.10500564,74.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,pais,Lebanon,2022,0-100,3_pillars_10_dims,45.71549399,,,,54.81400672,,,,,,,,,,,,,,,,,,,,,,,,,51.09230569,33.99203086,52.06214542,100.0,40.14201063,39.48011667,24.74709548,,22.0425214,32.51623853,47.41733266,25.088,54.81400672,76.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,pais,Azerbaijan,2022,0-100,3_pillars_10_dims,45.55120353,,,,48.72483548,,,,,,,,,,,,,,,,,,,,,,,,,56.85394497,30.58488893,49.21477668,50.0,53.7546611,66.53855333,57.12256546,,13.90358976,37.45134723,40.39972981,35.67,48.72483548,63.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,pais,Iran,2022,0-100,3_pillars_10_dims,45.29521769,,,,52.571,,,,,,,,,,,,,,,,,,,,,,,,,45.07807283,34.10237904,56.7052012,50.0,47.91255071,53.37808333,29.02165726,,18.39479289,37.18405727,46.72828697,49.372,52.571,68.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,pais,Montenegro,2022,0-100,3_pillars_10_dims,45.19895959,,,,64.83656061,,,,,,,,,,,,,,,,,,,,,,,,,39.26106084,33.13110654,63.20471139,0.0,50.15659721,53.9527,52.93494616,,27.57755339,29.64005271,42.17571354,54.276,64.83656061,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,pais,Andorra,2022,0-100,3_pillars_10_dims,45.15885579,,,,64.38212774,,,,,,,,,,,,,,,,,,,,,,,,,38.57243067,32.58229083,64.32184587,0.0,49.90149327,40.8304832,63.55774622,,36.94057597,46.40246789,14.40382863,42.36266667,64.38212774,86.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,pais,Costa Rica,2022,0-100,3_pillars_10_dims,44.96926052,,,,69.81558333,,,,,,,,,,,,,,,,,,,,,,,,,40.3749866,33.02285101,61.50994396,0.0,56.54442238,56.15604333,48.7994807,,26.7478699,30.62851525,41.69216788,33.90766667,69.81558333,80.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,pais,Uzbekistan,2022,0-100,3_pillars_10_dims,44.50639995,,,,59.61240312,,,,,,,,,,,,,,,,,,,,,,,,,49.90068196,24.44894346,59.16957444,50.0,46.39491874,62.21581,40.99199911,,15.38078248,26.03522864,31.93081926,47.19533333,59.61240312,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,pais,Bangladesh,2022,0-100,3_pillars_10_dims,43.62840762,,,,58.17828203,,,,,,,,,,,,,,,,,,,,,,,,,58.4836569,24.80179892,47.59976704,100.0,30.76691052,63.90799,39.25972708,,10.21996343,30.47504559,33.71038773,21.628,58.17828203,62.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,pais,Dominican Republic,2022,0-100,3_pillars_10_dims,42.15738701,,,,53.79943386,,,,,,,,,,,,,,,,,,,,,,,,,42.67410553,24.49444042,59.30361507,0.0,54.2731941,59.23108,57.19214804,,15.43250407,22.63328704,35.41753015,47.714,53.79943386,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,pais,Albania,2022,0-100,3_pillars_10_dims,42.0977979,,,,64.93964801,,,,,,,,,,,,,,,,,,,,,,,,,41.98351276,30.65768329,53.65219765,0.0,52.38493335,61.63351,53.91560768,,17.18516264,30.00851956,44.77936766,25.514,64.93964801,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,pais,Republic of Moldova,2022,0-100,3_pillars_10_dims,42.03558654,,,,66.02359726,,,,,,,,,,,,,,,,,,,,,,,,,41.75492243,28.26273496,56.08910224,0.0,52.81891211,63.49645667,50.70432093,,18.76295621,26.31720559,39.70804308,28.604,66.02359726,73.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,pais,Armenia,2022,0-100,3_pillars_10_dims,41.91047934,,,,53.72554241,,,,,,,,,,,,,,,,,,,,,,,,,43.59290679,31.07471288,51.06381836,0.0,50.36243889,66.47527,57.53391826,,20.14038133,29.14180259,43.94195473,32.998,53.72554241,66.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
