pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Panama,2022,0-100,3_pillars_10_dims,41.48689612,38.2939505,29.13833111,57.02840673,0.0,47.46010897,58.54193333,47.17375972,24.71027164,25.12678697,37.57793473,31.05,58.65691667,81.38
Morocco,2022,0-100,3_pillars_10_dims,41.31130191,34.80676446,33.99854277,55.12859851,0.0,52.51812757,45.06245,41.64648028,19.96394417,39.52255246,42.50913168,48.224,49.04325,68.12
Georgia,2022,0-100,3_pillars_10_dims,40.79056687,41.2319953,29.35037138,51.78933392,0.0,56.59282596,53.31195462,55.02320064,18.0855264,30.15795794,39.80762978,33.13092308,53.23208333,69.0
Bahamas,2022,0-100,3_pillars_10_dims,40.74236429,33.95495095,30.54416661,57.72797531,0.0,44.85347978,49.95255889,41.01376514,28.89897728,24.84200856,37.89151399,35.034,55.94253229,82.21
Kenya,2022,0-100,3_pillars_10_dims,40.35660716,40.36149755,28.75953101,51.9487929,0.0,55.52829532,61.64308,44.27461488,12.85325621,39.76892091,33.65641591,46.644,43.3983893,65.8
Belarus,2022,0-100,3_pillars_10_dims,40.27136657,32.35757046,32.30340899,56.15312027,0.0,42.83127815,49.27362128,37.32538239,21.98372631,32.06515528,42.86134539,35.16492308,59.77616724,73.52
Pakistan,2022,0-100,3_pillars_10_dims,40.22052841,44.31974041,34.6735833,41.66826151,50.0,39.8043399,47.50109667,39.97352507,15.6106018,40.28891321,48.1212349,22.122,49.15143839,53.73
Rwanda,2022,0-100,3_pillars_10_dims,40.20366886,53.28252051,28.13515048,39.1933356,50.0,54.55391033,65.91996,42.65621172,8.549937003,41.9655972,33.88991724,21.274,40.37865199,55.93
Seychelles,2022,0-100,3_pillars_10_dims,39.87192314,37.21411347,27.29929483,55.10236111,0.0,36.63409671,48.0125,64.20985718,27.57538878,25.75242729,28.57006843,60.66,49.54472222,
Tonga,2022,0-100,3_pillars_10_dims,39.80367582,36.68004992,32.45978961,50.27118795,0.0,38.66388363,49.07758333,58.9787327,24.73438949,41.64877677,30.99620257,31.63333333,48.64189916,70.54
Barbados,2022,0-100,3_pillars_10_dims,39.53011484,32.77135565,31.41927334,54.39971553,0.0,36.43185251,41.39822556,53.25534455,27.46091633,28.02886575,38.76803793,33.718,54.72500873,74.76
Nigeria,2022,0-100,3_pillars_10_dims,39.10120996,44.90852086,23.08072301,49.31438601,50.0,49.50642619,43.12425667,37.00340056,10.78364717,30.59977979,27.85874209,42.666,30.15144086,75.13
Botswana,2022,0-100,3_pillars_10_dims,38.36432707,33.42458882,26.61474718,55.05364523,0.0,50.02492163,37.46354667,46.20988697,17.85897011,26.89108044,35.09419098,45.594,44.16983333,75.4
Bhutan,2022,0-100,3_pillars_10_dims,37.91424365,37.32929176,26.68834787,49.72509132,0.0,43.29768296,59.45963133,46.55985276,15.08402986,29.04173308,35.93928067,25.7756,62.30319454,61.1
Antigua and Barbuda,2022,0-100,3_pillars_10_dims,37.91159431,32.61527015,25.17542971,55.94408307,0.0,44.60539638,40.20222556,45.65345865,26.19974196,24.84200856,24.48453861,31.044,57.40183333,79.39
Ecuador,2022,0-100,3_pillars_10_dims,37.3586778,36.07303852,26.54753224,49.45546264,0.0,42.66373305,61.71278,39.91564102,19.67357448,25.9172344,34.05178785,25.53766667,54.94316751,67.89
Mongolia,2022,0-100,3_pillars_10_dims,37.21364782,35.20881506,26.6769265,49.7552019,0.0,43.06389144,58.58308333,39.18828546,18.25730489,24.84911083,36.92436378,26.914,62.05666667,60.29
Jamaica,2022,0-100,3_pillars_10_dims,37.09045226,34.29816198,29.98754095,46.98565384,0.0,46.03579032,42.8036,48.35325761,23.73765552,29.81995371,36.40501363,27.456,41.45601675,72.04
