pais_original,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet
Croatia,0.0,100.0,92.53,60.0,0.0,62.2,81.08,83.4,18.17,61.6,19.94789838,54.0,0.0,11.4619567,58.51707005,58.65472383,3.538377306,85.0,9.0,43.675954,25.25,54.91086046,37.22220125,67.98587676,77.82618,0.0,57.18424865,77.11,0.0,52.01052632,100.0,49.87,0.0,50.0,85.53846154,85.52,68.38416667,74.7,96.47368421
Cuba,50.0,0.0,58.76,22.4,0.0,23.2,27.89,28.8,23.52,43.0,30.49984941,57.57142857,0.0,0.0,41.53377323,49.37159585,16.78900559,87.93333333,5.285714286,22.5855466,30.92307692,31.61067617,16.03523614,0.0,79.77736,0.0,24.45673647,36.63,0.0,23.1,0.0,44.22230769,51.5,0.0,52.15384615,33.31,63.64176471,57.47705882,85.6
Cyprus,100.0,100.0,88.82,65.4,0.0,67.0,77.92,68.8,30.3,64.6,43.20347308,55.15789474,0.0,0.0,87.29845497,60.64823873,14.39769664,94.5,51.0,32.06588645,31.25,48.26765151,14.58929332,73.70623564,76.52548,0.0,46.27946793,92.53,0.0,52.01052632,100.0,44.07,48.10526316,0.0,100.0,94.0,80.78125,85.48,96.47368421
Czechia,100.0,100.0,74.37,77.8,0.0,70.8,66.93,84.2,49.16,71.8,40.08230368,61.0,0.0,0.0,63.88741706,83.031313,30.76660339,86.8,8.0,59.15813193,55.0,58.13114596,33.27221753,68.46770509,71.13654,48.38709678,49.75635454,84.56,21.59393584,52.01052632,100.0,72.11,80.0,50.0,98.76923077,85.37,85.06083333,65.01,96.47368421
Democratic People's Republic of Korea,0.0,,1.35,2.2,0.0,9.6,15.79,0.3,,20.8,,,0.0,0.0,,,,,,,,19.52087269,54.609649,0.0,38.53834,0.0,,5.08,0.0,,0.0,,,0.0,17.76923077,,,,
Democratic Republic of the Congo,0.0,100.0,5.3,20.4,0.0,26.4,23.41,35.1,7.96,15.0,24.72188075,22.88888889,0.0,0.0,1.105073142,8.626637078,2.608268813,95.3,12.28571429,18.44178668,17.5,13.01391512,20.1993712,2.382810068,50.19076,0.0,4.161727907,14.77,0.0,18.4,0.0,13.47,16.11111111,0.0,38.69230769,18.66049947,33.75333333,27.39,89.0
Denmark,100.0,100.0,92.6,86.8,100.0,81.8,97.97,77.5,45.60758621,89.8,60.66300868,61.0,0.0,18.16677155,73.34297615,73.4638738,50.82280392,94.2,42.0,74.54425622,76.75,58.41477948,31.34605735,83.30307337,68.49852,77.52570011,77.28170684,97.95,0.0,64.6,100.0,84.22,0.0,100.0,97.30769231,95.16,86.11708333,75.78,100.0
Djibouti,0.0,0.0,1.73,32.0,0.0,24.2,22.08,34.9,40.43428571,34.2,44.49001607,22.25,0.0,0.0,42.32079198,41.5405563,23.18630335,94.7,10.16666667,30.0943621,37.03571429,0.0,38.52717307,17.31211297,90.782356,0.0,16.83129198,27.6,0.0,36.24285714,0.0,42.54,35.75,0.0,35.61538462,52.6459,36.60625,44.27857143,94.42857143
Dominica,0.0,50.0,4.2,56.8,0.0,65.8,29.54,40.4,23.52,48.0,30.49984941,57.57142857,0.0,0.0,41.53377323,48.47966215,16.78900559,87.93333333,5.285714286,17.2229321,30.92307692,0.0,24.40596591,0.0,71.73345667,0.0,23.41465824,76.04,0.0,35.36666667,0.0,44.22230769,51.5,0.0,66.07692308,73.7495,63.64176471,57.47705882,90.13333333
Dominican Republic,100.0,100.0,75.07,51.4,0.0,56.2,61.83,84.4,31.46,48.6,38.95649115,82.0,0.0,0.0,26.11896316,46.46919392,1.378488519,92.9,5.285714286,17.2229321,29.0,0.0,17.64261874,42.49754434,79.97674,0.0,21.65152114,55.67,0.0,34.9,100.0,48.0,54.0,50.0,69.53846154,46.11,63.93958333,54.49,89.0
Ecuador,0.0,100.0,26.3,40.8,0.0,50.6,76.51,87.0,21.7,43.8,31.92989032,42.0,0.0,11.4619567,25.55270454,41.92382902,19.93483738,84.4,1.0,19.81914388,23.25,45.97874249,23.90535329,46.10409868,58.45324,0.0,15.4747794,52.69,0.0,35.36666667,100.0,38.94,76.0,0.0,74.76923077,60.43,72.95,56.82,90.13333333
Egypt,100.0,100.0,95.48,35.8,100.0,21.0,57.3,78.3,47.77,41.0,58.60004425,24.0,0.0,11.4619567,29.40291582,36.24460861,18.9367412,99.6,12.0,36.33852944,37.0,64.43433463,22.05033739,36.1065326,73.79782,72.59836938,51.71868827,55.79,0.0,35.5,0.0,54.92,0.0,0.0,71.69230769,73.22,74.07083333,57.55,95.0
El Salvador,0.0,50.0,13.3,40.8,0.0,42.6,46.7,73.8,5.9,43.6,16.40449563,10.0,0.0,0.0,42.5308,47.63326836,3.632310702,88.8,5.285714286,8.272382393,19.0,34.62956026,30.60681525,44.51584928,46.2768,0.0,23.41465824,56.18,0.0,33.9,0.0,36.6,0.0,50.0,100.0,27.619,68.80333333,54.09,83.0
