pais_original,iso3,entity_type,aparece_2019,aparece_2020,aparece_2021,aparece_2022,aparece_2023,aparece_2024,aparece_2025,total_apariciones
Slovenia,SVN,pais,True,True,True,True,True,True,True,7
Solomon Islands,SLB,pais,True,True,False,True,True,True,True,6
Somalia,SOM,pais,True,False,False,False,True,True,True,4
South Africa,ZAF,pais,True,True,True,True,True,True,True,7
South Sudan,SSD,pais,True,False,False,True,True,True,True,5
Spain,ESP,pais,True,True,True,True,True,True,True,7
Sri Lanka,LKA,pais,True,True,True,True,True,True,True,7
State of Palestine,PSE,pais,False,False,False,False,True,True,True,3
Sudan,SDN,pais,False,True,True,True,True,True,True,6
Sudan (the),SDN,pais,True,False,False,False,False,False,False,1
Suriname,SUR,pais,True,True,True,True,True,True,True,7
Swaziland,SWZ,pais,True,False,False,False,False,False,False,1
Sweden,SWE,pais,True,True,True,True,True,True,True,7
Switzerland,CHE,pais,True,True,True,True,True,True,True,7
Syrian Arab Republic,SYR,pais,False,True,False,True,True,True,True,5
Syrian Arab Republic (the),SYR,pais,True,False,False,False,False,False,False,1
Taiwan,TWN,pais,True,False,True,True,True,True,True,6
Tajikistan,TJK,pais,True,True,True,True,True,True,True,7
Tanzania,TZA,pais,True,False,False,False,False,False,False,1
Thailand,THA,pais,True,True,True,True,True,True,True,7
The former Yugoslav Republic of Macedonia,MKD,pais,True,False,False,False,False,False,False,1
Timor-Leste,TLS,pais,True,True,False,True,True,True,True,6
Togo,TGO,pais,True,True,True,True,True,True,True,7
Tonga,TON,pais,True,True,False,True,True,True,True,6
Trinidad and Tobago,TTO,pais,True,True,True,True,True,True,True,7
Tunisia,TUN,pais,True,True,True,True,True,True,True,7
Turkey,TUR,pais,True,True,True,True,False,False,False,4
Turkmenistan,TKM,pais,True,False,False,True,True,True,True,5
Tuvalu,TUV,pais,True,False,False,False,True,False,True,3
Türkiye,TUR,pais,False,False,False,False,True,True,True,3
Uganda,UGA,pais,True,True,True,True,True,True,True,7
Ukraine,UKR,pais,True,True,True,True,True,True,True,7
United Arab Emirates,ARE,pais,False,True,True,True,True,True,True,6
United Arab Emirates (the),ARE,pais,True,False,False,False,False,False,False,1
United Kingdom,GBR,pais,False,True,True,True,False,False,False,3
United Kingdom of Great Britain and Northern Ireland,GBR,pais,False,False,False,False,True,True,True,3
United Kingdom of Great Britain and Northern Ireland (the),GBR,pais,True,False,False,False,False,False,False,1
United Republic of Tanzania,TZA,pais,False,True,True,True,True,True,True,6
United States of America,USA,pais,False,True,True,True,True,True,True,6
United States of America (the),USA,pais,True,False,False,False,False,False,False,1
Uruguay,URY,pais,True,True,True,True,True,True,True,7
Uzbekistan,UZB,pais,True,True,True,True,True,True,True,7
Vanuatu,VUT,pais,True,True,False,True,True,True,True,6
Venezuela,VEN,pais,False,True,True,True,False,False,False,3
Venezuela (Bolivarian Republic of),VEN,pais,True,False,False,False,False,False,False,1
"Venezuela, Bolivarian Republic of",VEN,pais,False,False,False,False,True,True,True,3
Viet Nam,VNM,pais,True,True,True,True,True,True,True,7
Yemen,YEM,pais,True,True,True,True,True,True,True,7
Zambia,ZMB,pais,True,True,True,True,True,True,True,7
Zimbabwe,ZWE,pais,True,True,True,True,True,True,True,7
