raw_entity_name,iso3_resuelto,country_name_canonical,entity_type_final,confidence_score,action,review_status
Lithuania,LTU,Lithuania,country_iso3,100.0,approved,auto_match_requires_human_audit
Jamaica,JAM,Jamaica,country_iso3,100.0,approved,auto_match_requires_human_audit
Colombia,COL,Colombia,country_iso3,100.0,approved,auto_match_requires_human_audit
Panama,PAN,Panama,country_iso3,100.0,approved,auto_match_requires_human_audit
Serbia,SRB,Serbia,country_iso3,100.0,approved,auto_match_requires_human_audit
South Africa,ZAF,South Africa,country_iso3,100.0,approved,auto_match_requires_human_audit
Chile,CHL,Chile,country_iso3,100.0,approved,auto_match_requires_human_audit
Malaysia,MYS,Malaysia,country_iso3,100.0,approved,auto_match_requires_human_audit
Argentina,ARG,Argentina,country_iso3,100.0,approved,auto_match_requires_human_audit
Bosnia And Herzegovina,BIH,Bosnia And Herzegovina,country_iso3,100.0,approved,auto_match_requires_human_audit
Kuwait,KWT,Kuwait,country_iso3,100.0,approved,auto_match_requires_human_audit
Greece,GRC,Greece,country_iso3,100.0,approved,auto_match_requires_human_audit
Japan,JPN,Japan,country_iso3,100.0,approved,auto_match_requires_human_audit
Philippines,PHL,Philippines,country_iso3,100.0,approved,auto_match_requires_human_audit
Georgia,GEO,Georgia,country_iso3,100.0,approved,auto_match_requires_human_audit
Mexico,MEX,Mexico,country_iso3,100.0,approved,auto_match_requires_human_audit
Ecuador,ECU,Ecuador,country_iso3,100.0,approved,auto_match_requires_human_audit
Brazil,BRA,Brazil,country_iso3,100.0,approved,auto_match_requires_human_audit
Moldova,MDA,Moldova,country_iso3,100.0,approved,auto_match_requires_human_audit
Albania,ALB,Albania,country_iso3,100.0,approved,auto_match_requires_human_audit
China,CHN,China,country_iso3,100.0,approved,auto_match_requires_human_audit
Romania,ROU,Romania,country_iso3,100.0,approved,auto_match_requires_human_audit
El Salvador,SLV,El Salvador,country_iso3,100.0,approved,auto_match_requires_human_audit
India,IND,India,country_iso3,100.0,approved,auto_match_requires_human_audit
Azerbaijan,AZE,Azerbaijan,country_iso3,100.0,approved,auto_match_requires_human_audit
Guatemala,GTM,Guatemala,country_iso3,100.0,approved,auto_match_requires_human_audit
Peru,PER,Peru,country_iso3,100.0,approved,auto_match_requires_human_audit
Türkiye,TUR,Türkiye,country_iso3,100.0,approved,auto_match_requires_human_audit
Mongolia,MNG,Mongolia,country_iso3,100.0,approved,auto_match_requires_human_audit
Namibia,NAM,Namibia,country_iso3,100.0,approved,auto_match_requires_human_audit
Libya,LBY,Libya,country_iso3,100.0,approved,auto_match_requires_human_audit
Kazakhstan,KAZ,Kazakhstan,country_iso3,100.0,approved,auto_match_requires_human_audit
Botswana,BWA,Botswana,country_iso3,100.0,approved,auto_match_requires_human_audit
Gabon,GAB,Gabon,country_iso3,100.0,approved,auto_match_requires_human_audit
Egypt,EGY,Egypt,country_iso3,100.0,approved,auto_match_requires_human_audit
Honduras,HND,Honduras,country_iso3,100.0,approved,auto_match_requires_human_audit
Nepal,NPL,Nepal,country_iso3,100.0,approved,auto_match_requires_human_audit
Senegal,SEN,Senegal,country_iso3,100.0,approved,auto_match_requires_human_audit
