iso3,country_name,region,income_group,value_used_for_ranking,question_id,question_label,outcome,outcome_label,value_type,rank_desc,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,interpretation_label,missingness_flag,why_high_or_low_short
DEU,Germany,Europe & Central Asia,High income,26.94303373,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,5.0,37.0,0.8837209302325582,43,True,False,high_performer,False,desempeño alto relativo
POL,Poland,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
TWN,Taiwan,,,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
CZE,Czech Republic,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
ITA,Italy,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
BGR,Bulgaria,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
FIN,Finland,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
CRI,Costa Rica,Latin America & Caribbean ,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
CHL,Chile,Latin America & Caribbean ,High income,16.99916163,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,8.0,32.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
USA,United States,North America,High income,100.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,1.0,43.0,1.0,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
CHN,China,East Asia & Pacific,Upper middle income,72.21120639,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,2.0,42.0,0.9767441860465116,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
IND,India,South Asia,Lower middle income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
JPN,Japan,East Asia & Pacific,High income,16.99916163,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,8.0,32.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
EST,Estonia,Europe & Central Asia,High income,16.99916163,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,8.0,32.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
ARG,Argentina,Latin America & Caribbean ,Upper middle income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
BRA,Brazil,Latin America & Caribbean ,Upper middle income,16.99916163,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,8.0,32.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
COL,Colombia,Latin America & Caribbean ,Upper middle income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
MEX,Mexico,Latin America & Caribbean ,Upper middle income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
PER,Peru,Latin America & Caribbean ,Upper middle income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
URY,Uruguay,Latin America & Caribbean ,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
GRC,Greece,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
ROU,Romania,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
HRV,Croatia,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,25.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,21.0,22.0,0.5232558139534884,43,False,False,middle_performer,False,desempeño intermedio relativo
