ECONOMY_NAME,ISO3,ISO2,POP,NGDPD,PPPPC,INCOME,REGION_WB,REG_UN,REG_UN_CODE,SubReg,EU27,YEAR,PPPGDP
Uganda,UGA,UG,45741,106.568,2585.22,LI,Sub-Saharan Africa,Sub-Saharan Africa,SSF,Sub-Saharan Africa,,2021,
Ukraine,UKR,UA,43733.76,527.933,12710.37,LM,Europe & Central Asia,Europe,EUR,Eastern Europe,,2021,
Uruguay,URY,UY,3473.73,75.343,21338.18,HI,Latin America & Caribbean,Latin America and the Caribbean,LCN,Latin America and the Caribbean,,2021,
United States of America,USA,US,331002.65,20807.269,63051.4,HI,North America,Northern America,NAC,Northern America,,2021,
Uzbekistan,UZB,UZ,33469.2,250.157,7378.01,LM,Europe & Central Asia,Central and Southern Asia,CSA,Central Asia,,2021,
Viet Nam,VNM,VN,97338.58,1047.318,10754.53,LM,East Asia & Pacific,"South East Asia, East Asia, and Oceania",SEAO,South-eastern Asia,,2021,
Yemen,YEM,YE,29825.97,62.706,1931.13,LI,Middle East & North Africa,Northern Africa and Western Asia,NAWA,Western Asia,,2021,
South Africa,ZAF,ZA,59308.69,710.773,11911.45,UM,Sub-Saharan Africa,Sub-Saharan Africa,SSF,Sub-Saharan Africa,,2021,
Zambia,ZMB,ZM,18383.96,62.354,3302.3,LM,Sub-Saharan Africa,Sub-Saharan Africa,SSF,Sub-Saharan Africa,,2021,
Zimbabwe,ZWE,ZW,14862.93,39.234,2583.01,LM,Sub-Saharan Africa,Sub-Saharan Africa,SSF,Sub-Saharan Africa,,2021,
Albania,ALB,,2873,,15487,UM,,Europe,EUR,,,2022,44.5
Algeria,DZA,,44617,,11829,LM,,Northern Africa and Western Asia,NAWA,,,2022,532.6
Angola,AGO,,33934,,6820,LM,,Sub-Saharan Africa,SSA,,,2022,218
Argentina,ARG,,45606,,22892,UM,,Latin America and the Caribbean,LCN,,,2022,1049.4
Armenia,ARM,,2968,,14701,UM,,Northern Africa and Western Asia,NAWA,,,2022,43.5
Australia,AUS,,25788,,55492,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,1427.3
Austria,AUT,,9043,,59406,HI,,Europe,EUR,,,2022,531.4
Azerbaijan,AZE,,10223,,15299,UM,,Northern Africa and Western Asia,NAWA,,,2022,155.9
Bahrain,BHR,,1748,,53128,HI,,Northern Africa and Western Asia,NAWA,,,2022,79
Bangladesh,BGD,,166303,,5733,LM,,Central and Southern Asia,CSA,,,2022,953.4
Belarus,BLR,,9443,,21467,UM,,Europe,EUR,,,2022,200.7
