question,tier,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q6,primary,oxford_government_digital_policy,OLS_full,n_binding,9.316832722151469,21.453048205386306,0.6689701126326771,-173.63109977924594,142.67185003858123,0.931,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,0.6689701126326771,False
Q6,primary,oxford_government_digital_policy,OLS_full,n_non_binding,1.8071770358717032,13.6757379159468,0.8962591667832194,-86.13072494721794,115.47088001552788,0.903,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,n_hybrid,-12.150096181112339,13.422717852946047,0.3767009862666637,-105.60065922845303,117.07269998174651,0.687,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,regulatory_intensity,2.3255085946053384,170.46260701571757,0.9892575601019202,-1227.2345128229824,1591.171439563887,0.949,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,n_regulatory_mechanisms,-1.0260864230891888,6.289201112444794,0.8721227480707558,-62.55159451923403,43.69569510170303,0.882,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_gdp_per_capita_ppp_z,-0.36572623271791116,4.297755877076953,0.9330745564686656,-23.28075563872956,13.966758382374419,0.666,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_internet_penetration_z,-2.1136886764107237,4.01912903917661,0.605037446771457,-18.152971952808954,15.68925363633615,0.885,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_tertiary_education_enrollment_z,0.4287477138518726,2.4086161729386895,0.8606025449310859,-10.435431478016694,13.217800957186691,0.696,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_rd_expenditure_pct_gdp_z,-10.521992854732229,10.644060163458791,0.33531481642545347,-50.24266913808728,26.858798589050906,0.522,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_government_digital_policy,OLS_full,wb_researchers_rd_per_million_z,6.316286444712324,9.207084665814657,0.5009839897125588,-39.107644115053446,43.350059071981526,0.751,36,0.41424532824017535,bootstrap_2000,2000.0,42,,,,,,,,,,
