iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
NGA,Nigeria,country_iso3,Sub-Saharan Africa ,Lower middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NZL,NZL,country_iso3,East Asia & Pacific,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
PER,Peru,country_iso3,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SAU,SAU,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SGP,SGP,country_iso3,East Asia & Pacific,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
TUR,Turkey,country_iso3,Europe & Central Asia,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
USA,United States of America,country_iso3,North America,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
VNM,Viet Nam,country_iso3,East Asia & Pacific,Lower middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
AGO,Angola,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ALB,Albania,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ARM,ARM,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
AUT,AUT,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
AZE,AZE,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BDI,Burundi,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BEL,Belgium,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BEN,Benin,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BFA,BFA,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BGR,BGR,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BIH,BIH,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BLR,Belarus,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BOL,Bolivia,country_iso3,Latin America & Caribbean ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BWA,Botswana,country_iso3,Sub-Saharan Africa ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CHE,Switzerland,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CIV,Cote d'Ivoire,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CMR,Cameroon,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
COG,COG,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CRI,CRI,country_iso3,Latin America & Caribbean ,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CZE,Czech Republic,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
DEU,Germany,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
DNK,DNK,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
DOM,DOM,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
DZA,Algeria,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ECU,Ecuador,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ESP,Spain,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ETH,ETH,country_iso3,Sub-Saharan Africa ,Not classified,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
FIN,Finland,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
FRA,FRA,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
GEO,GEO,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
GHA,Ghana,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
GIN,GIN,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
GRC,Greece,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
