variable_matriz,source_id,bloque_tematico,unit,direction,is_primary,n_total,n_non_null,n_missing,pct_complete,pct_missing
wipo_in_4_3_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_3_3_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_2_5_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_3_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_4_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_3_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_3_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_1_4_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_1_5_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_1_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_3_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_2_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_2_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_gii_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_3_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_2_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_3_1_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_1_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_7_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_7_1_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_7_2_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_3_4_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_1_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_6_2_2_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_2_3_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_5_3_4_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_out_6_1_1_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_3_3_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_5_1_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_4_3_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_5_2_4_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_5_2_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_3_1_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_in_3_1_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,140,59,70.35,29.65
wipo_out_7_2_4_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_out_7_3_3_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_in_5_3_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_out_6_2_1_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_out_6_2_3_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_out_6_3_3_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_out_6_3_5_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_out_7_1_2_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,139,60,69.85,30.15
wipo_in_1_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,138,61,69.35,30.65
stanford_fig_3_7_2_fig_3_7_2_gender_equality,stanford,regulatory_treatment,count,unknown,True,199,138,61,69.35,30.65
stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,stanford,regulatory_treatment,count,unknown,True,199,138,61,69.35,30.65
stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,stanford,regulatory_treatment,count,unknown,True,199,138,61,69.35,30.65
stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,stanford,regulatory_treatment,count,unknown,True,199,138,61,69.35,30.65
wipo_in_4_1_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,137,62,68.84,31.16
wipo_out_6_2_4_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,137,62,68.84,31.16
wipo_in_2_1_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,137,62,68.84,31.16
wipo_in_2_1_5_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,137,62,68.84,31.16
wipo_in_2_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,136,63,68.34,31.66
wipo_in_1_3_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,136,63,68.34,31.66
wipo_in_5_2_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,136,63,68.34,31.66
wipo_out_7_1_4_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,135,64,67.84,32.16
wipo_in_5_1_5_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,135,64,67.84,32.16
wipo_in_2_2_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,135,64,67.84,32.16
wipo_in_5_1_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,135,64,67.84,32.16
wipo_in_3_1_4_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,135,64,67.84,32.16
