variable_matriz,bloque_tematico,n,pct_complete,mean,median,std,mad,min,p05,p25,p75,p95,max,iqr,skewness,kurtosis,suggest_log_transform
oxford_ind_time_govt_regulations,ecosystem_outcome,180,90.45,91.071793,91.55,5.788423,3.616667,71.2,80.8,87.933333,95.625,98.62,99.9,7.691667,-0.8443,0.555,False
oxford_ind_vc_availability,ecosystem_outcome,180,90.45,17.173343,10.0,20.031566,4.777778,0.0,2.0,5.285714,21.0,51.15,100.0,15.714286,2.5799,7.1643,True
oxford_infrastructure,ecosystem_outcome,193,96.98,40.490094,35.708667,19.213698,11.475793,1.693333,15.296065,26.590201,57.401477,74.896237,88.378778,30.811276,0.5525,-0.663,False
oxford_innovation_capacity,ecosystem_outcome,193,96.98,44.818773,40.550897,13.974223,6.987065,11.003264,28.114203,35.357677,52.727467,71.211643,92.476371,17.36979,0.7886,0.4973,False
oxford_maturity,ecosystem_outcome,193,96.98,21.930117,20.171085,13.596802,9.143578,0.0,4.046257,11.933563,29.559043,47.632201,83.796707,17.62548,0.9545,1.5166,False
oxford_policy_capacity,ecosystem_outcome,195,97.99,42.387744,34.5,33.299705,30.5,0.0,0.0,12.0,76.5,92.5,100.0,64.5,0.2524,-1.4845,False
oxford_policy_commitment,ecosystem_outcome,195,97.99,41.913641,25.0,36.684491,25.0,0.0,0.0,12.5,75.0,100.0,100.0,62.5,0.2782,-1.4928,False
oxford_policy_vision,ecosystem_outcome,195,97.99,43.098872,40.0,31.165241,30.0,0.0,0.0,20.0,70.0,100.0,100.0,50.0,0.2885,-1.1542,False
oxford_public_sector_adoption,ecosystem_outcome,195,97.99,47.827897,48.35,27.493256,24.32,0.0,5.385,23.17,71.03,85.44,99.63,47.86,-0.0491,-1.3034,False
oxford_regulatory_compliance,ecosystem_outcome,195,97.99,50.915897,53.72,26.934714,20.39,0.0,1.306,30.0,70.925,88.05,92.25,40.925,-0.4106,-1.0169,False
oxford_resilience,ecosystem_outcome,195,97.99,43.213077,38.98,17.930392,11.69,7.46,19.568,29.67,56.74,77.388,90.01,27.07,0.5567,-0.4455,False
oxford_safety_security,ecosystem_outcome,195,97.99,40.02641,33.33,27.199514,16.67,0.0,0.0,23.0,63.83,100.0,100.0,40.83,0.5493,-0.4259,False
oxford_size,ecosystem_outcome,176,88.44,21.628788,18.850493,13.330441,8.360427,1.691379,5.142258,11.271387,29.024425,46.92883,87.03541,17.753038,1.2205,2.604,False
oxford_societal_transition,ecosystem_outcome,195,97.99,46.398462,44.25,15.284014,10.85,14.92,26.234,35.25,56.6,72.94,90.67,21.35,0.629,0.0797,False
oxford_technology_sector,ecosystem_outcome,193,96.98,35.220131,32.64685,13.022603,8.410124,14.26929,18.939565,25.58034,42.266749,61.40575,80.943829,16.686408,0.8469,0.1694,False
oxford_total_score,ecosystem_outcome,195,97.99,42.515333,40.19,19.135749,16.73,12.12,16.917,25.255,59.435,74.777,88.36,34.18,0.2854,-1.12,False
oxford_vision,ecosystem_outcome,193,96.98,41.450777,0.0,48.594505,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.3469,-1.8456,False
