record_type,iso3,variable_matriz,component,value,explained_variance_ratio
loading,,oxford_ind_ict_skills,PC7,-0.04788,0.024564
loading,,oxford_ind_ict_skills,PC8,-0.012324,0.017946
loading,,oxford_ind_ict_skills,PC9,0.004521,0.010927
loading,,oxford_ind_ict_skills,PC10,-0.009012,0.007181
loading,,oxford_ind_ict_trade_goods_log,PC1,0.031698,0.37287
loading,,oxford_ind_ict_trade_goods_log,PC2,-0.004564,0.22296
loading,,oxford_ind_ict_trade_goods_log,PC3,-0.002488,0.148778
loading,,oxford_ind_ict_trade_goods_log,PC4,0.04696,0.060602
loading,,oxford_ind_ict_trade_goods_log,PC5,0.053994,0.037459
loading,,oxford_ind_ict_trade_goods_log,PC6,0.002967,0.032488
loading,,oxford_ind_ict_trade_goods_log,PC7,-0.031347,0.024564
loading,,oxford_ind_ict_trade_goods_log,PC8,-0.030888,0.017946
loading,,oxford_ind_ict_trade_goods_log,PC9,-0.022469,0.010927
loading,,oxford_ind_ict_trade_goods_log,PC10,0.028794,0.007181
loading,,oxford_ind_ict_trade_services_log,PC1,0.031761,0.37287
loading,,oxford_ind_ict_trade_services_log,PC2,-0.005028,0.22296
loading,,oxford_ind_ict_trade_services_log,PC3,0.00034,0.148778
loading,,oxford_ind_ict_trade_services_log,PC4,0.029936,0.060602
loading,,oxford_ind_ict_trade_services_log,PC5,0.033315,0.037459
loading,,oxford_ind_ict_trade_services_log,PC6,-0.023735,0.032488
loading,,oxford_ind_ict_trade_services_log,PC7,-0.050999,0.024564
loading,,oxford_ind_ict_trade_services_log,PC8,-0.011481,0.017946
loading,,oxford_ind_ict_trade_services_log,PC9,-0.013115,0.010927
loading,,oxford_ind_ict_trade_services_log,PC10,0.030708,0.007181
loading,,oxford_ind_mobile_subscriptions,PC1,0.028748,0.37287
loading,,oxford_ind_mobile_subscriptions,PC2,-0.024368,0.22296
loading,,oxford_ind_mobile_subscriptions,PC3,-0.00691,0.148778
loading,,oxford_ind_mobile_subscriptions,PC4,0.107795,0.060602
loading,,oxford_ind_mobile_subscriptions,PC5,0.090857,0.037459
loading,,oxford_ind_mobile_subscriptions,PC6,0.005884,0.032488
loading,,oxford_ind_mobile_subscriptions,PC7,-0.115665,0.024564
loading,,oxford_ind_mobile_subscriptions,PC8,-0.09576,0.017946
loading,,oxford_ind_mobile_subscriptions,PC9,0.027871,0.010927
loading,,oxford_ind_mobile_subscriptions,PC10,-0.056817,0.007181
loading,,oxford_ind_online_services,PC1,0.02994,0.37287
loading,,oxford_ind_online_services,PC2,0.009651,0.22296
loading,,oxford_ind_online_services,PC3,0.004058,0.148778
loading,,oxford_ind_online_services,PC4,0.050068,0.060602
loading,,oxford_ind_online_services,PC5,0.023657,0.037459
loading,,oxford_ind_online_services,PC6,-0.002796,0.032488
loading,,oxford_ind_online_services,PC7,-0.064598,0.024564
loading,,oxford_ind_online_services,PC8,-0.02065,0.017946
loading,,oxford_ind_online_services,PC9,-0.025412,0.010927
loading,,oxford_ind_online_services,PC10,-0.038801,0.007181
loading,,oxford_ind_open_data,PC1,0.007927,0.37287
loading,,oxford_ind_open_data,PC2,0.013102,0.22296
loading,,oxford_ind_open_data,PC3,0.003016,0.148778
loading,,oxford_ind_open_data,PC4,0.03161,0.060602
loading,,oxford_ind_open_data,PC5,0.025576,0.037459
loading,,oxford_ind_open_data,PC6,-0.004263,0.032488
loading,,oxford_ind_open_data,PC7,-0.01663,0.024564
loading,,oxford_ind_open_data,PC8,-0.040034,0.017946
loading,,oxford_ind_open_data,PC9,-0.018019,0.010927
loading,,oxford_ind_open_data,PC10,0.024742,0.007181
loading,,oxford_ind_procurement_data,PC1,0.01138,0.37287
loading,,oxford_ind_procurement_data,PC2,0.003329,0.22296
loading,,oxford_ind_procurement_data,PC3,0.001045,0.148778
loading,,oxford_ind_procurement_data,PC4,0.026532,0.060602
loading,,oxford_ind_procurement_data,PC5,0.028661,0.037459
loading,,oxford_ind_procurement_data,PC6,0.009486,0.032488
loading,,oxford_ind_procurement_data,PC7,-0.029738,0.024564
loading,,oxford_ind_procurement_data,PC8,-0.053114,0.017946
loading,,oxford_ind_procurement_data,PC9,-0.009484,0.010927
loading,,oxford_ind_procurement_data,PC10,0.097407,0.007181
loading,,oxford_ind_rd_spending_log,PC1,0.052599,0.37287
loading,,oxford_ind_rd_spending_log,PC2,-0.001079,0.22296
loading,,oxford_ind_rd_spending_log,PC3,0.005659,0.148778
loading,,oxford_ind_rd_spending_log,PC4,0.039319,0.060602
loading,,oxford_ind_rd_spending_log,PC5,0.015013,0.037459
loading,,oxford_ind_rd_spending_log,PC6,-0.038884,0.032488
loading,,oxford_ind_rd_spending_log,PC7,-0.008316,0.024564
loading,,oxford_ind_rd_spending_log,PC8,0.066251,0.017946
loading,,oxford_ind_rd_spending_log,PC9,-0.07818,0.010927
loading,,oxford_ind_rd_spending_log,PC10,0.001858,0.007181
loading,,oxford_ind_regulatory_quality,PC1,0.039394,0.37287
loading,,oxford_ind_regulatory_quality,PC2,-0.005403,0.22296
loading,,oxford_ind_regulatory_quality,PC3,-0.011687,0.148778
loading,,oxford_ind_regulatory_quality,PC4,0.031067,0.060602
loading,,oxford_ind_regulatory_quality,PC5,0.022447,0.037459
loading,,oxford_ind_regulatory_quality,PC6,-0.014146,0.032488
loading,,oxford_ind_regulatory_quality,PC7,-0.039265,0.024564
loading,,oxford_ind_regulatory_quality,PC8,-0.000458,0.017946
loading,,oxford_ind_regulatory_quality,PC9,-0.028707,0.010927
loading,,oxford_ind_regulatory_quality,PC10,-0.009182,0.007181
loading,,oxford_ind_software_spending,PC1,0.029458,0.37287
loading,,oxford_ind_software_spending,PC2,0.00527,0.22296
loading,,oxford_ind_software_spending,PC3,0.006125,0.148778
loading,,oxford_ind_software_spending,PC4,0.033227,0.060602
loading,,oxford_ind_software_spending,PC5,-0.001757,0.037459
loading,,oxford_ind_software_spending,PC6,-0.02808,0.032488
loading,,oxford_ind_software_spending,PC7,-0.003049,0.024564
loading,,oxford_ind_software_spending,PC8,-0.01337,0.017946
loading,,oxford_ind_software_spending,PC9,-0.055985,0.010927
loading,,oxford_ind_software_spending,PC10,0.01273,0.007181
loading,,oxford_ind_statistical_capacity,PC1,0.024998,0.37287
loading,,oxford_ind_statistical_capacity,PC2,0.001145,0.22296
loading,,oxford_ind_statistical_capacity,PC3,-0.000911,0.148778
loading,,oxford_ind_statistical_capacity,PC4,0.026853,0.060602
loading,,oxford_ind_statistical_capacity,PC5,0.017077,0.037459
loading,,oxford_ind_statistical_capacity,PC6,0.000185,0.032488
loading,,oxford_ind_statistical_capacity,PC7,-0.02206,0.024564
loading,,oxford_ind_statistical_capacity,PC8,-0.022075,0.017946
loading,,oxford_ind_statistical_capacity,PC9,-0.039211,0.010927
loading,,oxford_ind_statistical_capacity,PC10,0.066802,0.007181
loading,,oxford_ind_stem_graduates,PC1,0.012798,0.37287
loading,,oxford_ind_stem_graduates,PC2,0.005964,0.22296
loading,,oxford_ind_stem_graduates,PC3,-0.007146,0.148778
loading,,oxford_ind_stem_graduates,PC4,0.032153,0.060602
loading,,oxford_ind_stem_graduates,PC5,0.035562,0.037459
loading,,oxford_ind_stem_graduates,PC6,0.005486,0.032488
loading,,oxford_ind_stem_graduates,PC7,-0.018888,0.024564
loading,,oxford_ind_stem_graduates,PC8,0.017729,0.017946
loading,,oxford_ind_stem_graduates,PC9,0.008614,0.010927
loading,,oxford_ind_stem_graduates,PC10,-0.057847,0.007181
loading,,oxford_ind_telecom_infrastructure,PC1,0.034785,0.37287
loading,,oxford_ind_telecom_infrastructure,PC2,-0.0089,0.22296
loading,,oxford_ind_telecom_infrastructure,PC3,0.001605,0.148778
loading,,oxford_ind_telecom_infrastructure,PC4,0.061192,0.060602
loading,,oxford_ind_telecom_infrastructure,PC5,0.03636,0.037459
loading,,oxford_ind_telecom_infrastructure,PC6,-0.019554,0.032488
loading,,oxford_ind_telecom_infrastructure,PC7,-0.073987,0.024564
loading,,oxford_ind_telecom_infrastructure,PC8,-0.04854,0.017946
loading,,oxford_ind_telecom_infrastructure,PC9,-0.010694,0.010927
loading,,oxford_ind_telecom_infrastructure,PC10,0.013038,0.007181
loading,,oxford_ind_time_govt_regulations,PC1,-0.001899,0.37287
loading,,oxford_ind_time_govt_regulations,PC2,0.007805,0.22296
loading,,oxford_ind_time_govt_regulations,PC3,-0.011593,0.148778
loading,,oxford_ind_time_govt_regulations,PC4,-0.01764,0.060602
loading,,oxford_ind_time_govt_regulations,PC5,0.022426,0.037459
loading,,oxford_ind_time_govt_regulations,PC6,-0.013165,0.032488
loading,,oxford_ind_time_govt_regulations,PC7,-0.006573,0.024564
loading,,oxford_ind_time_govt_regulations,PC8,0.044257,0.017946
loading,,oxford_ind_time_govt_regulations,PC9,0.062614,0.010927
loading,,oxford_ind_time_govt_regulations,PC10,-0.117846,0.007181
loading,,oxford_ind_vc_availability,PC1,0.099636,0.37287
loading,,oxford_ind_vc_availability,PC2,0.018514,0.22296
loading,,oxford_ind_vc_availability,PC3,0.002958,0.148778
loading,,oxford_ind_vc_availability,PC4,0.018277,0.060602
loading,,oxford_ind_vc_availability,PC5,0.011147,0.037459
loading,,oxford_ind_vc_availability,PC6,-0.146044,0.032488
loading,,oxford_ind_vc_availability,PC7,0.137628,0.024564
loading,,oxford_ind_vc_availability,PC8,0.278296,0.017946
loading,,oxford_ind_vc_availability,PC9,0.000261,0.010927
loading,,oxford_ind_vc_availability,PC10,-0.273409,0.007181
loading,,oxford_infrastructure,PC1,0.032589,0.37287
loading,,oxford_infrastructure,PC2,0.001522,0.22296
loading,,oxford_infrastructure,PC3,-0.002334,0.148778
loading,,oxford_infrastructure,PC4,0.043772,0.060602
loading,,oxford_infrastructure,PC5,0.024138,0.037459
loading,,oxford_infrastructure,PC6,-0.008415,0.032488
loading,,oxford_infrastructure,PC7,-0.036844,0.024564
loading,,oxford_infrastructure,PC8,-0.019021,0.017946
loading,,oxford_infrastructure,PC9,-0.012296,0.010927
loading,,oxford_infrastructure,PC10,-0.019905,0.007181
loading,,oxford_innovation_capacity,PC1,0.035949,0.37287
loading,,oxford_innovation_capacity,PC2,0.013894,0.22296
loading,,oxford_innovation_capacity,PC3,0.001701,0.148778
loading,,oxford_innovation_capacity,PC4,0.044452,0.060602
loading,,oxford_innovation_capacity,PC5,0.018572,0.037459
loading,,oxford_innovation_capacity,PC6,-0.029068,0.032488
loading,,oxford_innovation_capacity,PC7,-0.00852,0.024564
loading,,oxford_innovation_capacity,PC8,0.024595,0.017946
loading,,oxford_innovation_capacity,PC9,-0.038218,0.010927
loading,,oxford_innovation_capacity,PC10,-0.050181,0.007181
loading,,oxford_maturity,PC1,0.040982,0.37287
loading,,oxford_maturity,PC2,0.010254,0.22296
loading,,oxford_maturity,PC3,0.002395,0.148778
loading,,oxford_maturity,PC4,0.051029,0.060602
loading,,oxford_maturity,PC5,0.022774,0.037459
loading,,oxford_maturity,PC6,-0.025453,0.032488
loading,,oxford_maturity,PC7,-0.019919,0.024564
loading,,oxford_maturity,PC8,-0.011119,0.017946
loading,,oxford_maturity,PC9,-0.021165,0.010927
loading,,oxford_maturity,PC10,0.01916,0.007181
loading,,oxford_policy_capacity,PC1,0.025521,0.37287
loading,,oxford_policy_capacity,PC2,0.016627,0.22296
loading,,oxford_policy_capacity,PC3,0.002244,0.148778
loading,,oxford_policy_capacity,PC4,0.046927,0.060602
loading,,oxford_policy_capacity,PC5,0.027576,0.037459
loading,,oxford_policy_capacity,PC6,-0.001085,0.032488
loading,,oxford_policy_capacity,PC7,-0.04897,0.024564
loading,,oxford_policy_capacity,PC8,-0.019517,0.017946
loading,,oxford_policy_capacity,PC9,-0.052247,0.010927
loading,,oxford_policy_capacity,PC10,-0.131315,0.007181
loading,,oxford_policy_commitment,PC1,0.018993,0.37287
loading,,oxford_policy_commitment,PC2,0.01294,0.22296
loading,,oxford_policy_commitment,PC3,0.000213,0.148778
loading,,oxford_policy_commitment,PC4,0.038195,0.060602
loading,,oxford_policy_commitment,PC5,0.023673,0.037459
loading,,oxford_policy_commitment,PC6,0.003388,0.032488
loading,,oxford_policy_commitment,PC7,-0.046615,0.024564
loading,,oxford_policy_commitment,PC8,-0.01258,0.017946
loading,,oxford_policy_commitment,PC9,-0.042093,0.010927
loading,,oxford_policy_commitment,PC10,-0.116018,0.007181
loading,,oxford_policy_vision,PC1,0.025001,0.37287
loading,,oxford_policy_vision,PC2,0.015226,0.22296
loading,,oxford_policy_vision,PC3,0.00493,0.148778
loading,,oxford_policy_vision,PC4,0.039837,0.060602
loading,,oxford_policy_vision,PC5,0.021105,0.037459
loading,,oxford_policy_vision,PC6,-0.00893,0.032488
loading,,oxford_policy_vision,PC7,-0.028901,0.024564
loading,,oxford_policy_vision,PC8,-0.022764,0.017946
loading,,oxford_policy_vision,PC9,-0.045164,0.010927
loading,,oxford_policy_vision,PC10,-0.09434,0.007181
loading,,oxford_public_sector_adoption,PC1,0.030687,0.37287
loading,,oxford_public_sector_adoption,PC2,0.011713,0.22296
loading,,oxford_public_sector_adoption,PC3,-0.00164,0.148778
loading,,oxford_public_sector_adoption,PC4,0.053595,0.060602
loading,,oxford_public_sector_adoption,PC5,0.030817,0.037459
loading,,oxford_public_sector_adoption,PC6,-0.002988,0.032488
loading,,oxford_public_sector_adoption,PC7,-0.069451,0.024564
loading,,oxford_public_sector_adoption,PC8,-0.050174,0.017946
loading,,oxford_public_sector_adoption,PC9,-0.029645,0.010927
loading,,oxford_public_sector_adoption,PC10,-0.070799,0.007181
loading,,oxford_regulatory_compliance,PC1,0.029211,0.37287
loading,,oxford_regulatory_compliance,PC2,0.002852,0.22296
loading,,oxford_regulatory_compliance,PC3,0.002645,0.148778
loading,,oxford_regulatory_compliance,PC4,0.037818,0.060602
loading,,oxford_regulatory_compliance,PC5,0.025801,0.037459
loading,,oxford_regulatory_compliance,PC6,-0.000931,0.032488
loading,,oxford_regulatory_compliance,PC7,-0.035732,0.024564
loading,,oxford_regulatory_compliance,PC8,-0.013151,0.017946
loading,,oxford_regulatory_compliance,PC9,-0.028217,0.010927
loading,,oxford_regulatory_compliance,PC10,-0.099688,0.007181
loading,,oxford_resilience,PC1,0.030573,0.37287
loading,,oxford_resilience,PC2,0.009856,0.22296
loading,,oxford_resilience,PC3,0.008332,0.148778
loading,,oxford_resilience,PC4,0.032816,0.060602
loading,,oxford_resilience,PC5,-0.00895,0.037459
loading,,oxford_resilience,PC6,-0.004372,0.032488
loading,,oxford_resilience,PC7,-0.026831,0.024564
loading,,oxford_resilience,PC8,-0.009918,0.017946
loading,,oxford_resilience,PC9,-0.072446,0.010927
loading,,oxford_resilience,PC10,-0.028641,0.007181
loading,,oxford_safety_security,PC1,0.019357,0.37287
loading,,oxford_safety_security,PC2,0.019877,0.22296
loading,,oxford_safety_security,PC3,0.011741,0.148778
loading,,oxford_safety_security,PC4,0.032195,0.060602
loading,,oxford_safety_security,PC5,-0.02051,0.037459
loading,,oxford_safety_security,PC6,0.003675,0.032488
loading,,oxford_safety_security,PC7,-0.011911,0.024564
loading,,oxford_safety_security,PC8,-0.025586,0.017946
loading,,oxford_safety_security,PC9,-0.062662,0.010927
loading,,oxford_safety_security,PC10,-0.064039,0.007181
loading,,oxford_size,PC1,0.043716,0.37287
loading,,oxford_size,PC2,0.010426,0.22296
loading,,oxford_size,PC3,0.002073,0.148778
loading,,oxford_size,PC4,0.050108,0.060602
loading,,oxford_size,PC5,0.027239,0.037459
loading,,oxford_size,PC6,-0.030396,0.032488
loading,,oxford_size,PC7,-0.018299,0.024564
loading,,oxford_size,PC8,-0.008053,0.017946
loading,,oxford_size,PC9,-0.023898,0.010927
loading,,oxford_size,PC10,0.008738,0.007181
loading,,oxford_societal_transition,PC1,0.043757,0.37287
loading,,oxford_societal_transition,PC2,-0.009261,0.22296
loading,,oxford_societal_transition,PC3,0.00085,0.148778
loading,,oxford_societal_transition,PC4,0.027407,0.060602
loading,,oxford_societal_transition,PC5,0.01263,0.037459
loading,,oxford_societal_transition,PC6,-0.017284,0.032488
loading,,oxford_societal_transition,PC7,-0.047111,0.024564
loading,,oxford_societal_transition,PC8,0.018853,0.017946
loading,,oxford_societal_transition,PC9,-0.074945,0.010927
loading,,oxford_societal_transition,PC10,0.037632,0.007181
loading,,oxford_technology_sector,PC1,0.036651,0.37287
loading,,oxford_technology_sector,PC2,0.011156,0.22296
loading,,oxford_technology_sector,PC3,0.002952,0.148778
loading,,oxford_technology_sector,PC4,0.048262,0.060602
loading,,oxford_technology_sector,PC5,0.020596,0.037459
loading,,oxford_technology_sector,PC6,-0.022867,0.032488
loading,,oxford_technology_sector,PC7,-0.02203,0.024564
loading,,oxford_technology_sector,PC8,0.005437,0.017946
loading,,oxford_technology_sector,PC9,-0.025292,0.010927
loading,,oxford_technology_sector,PC10,-0.031167,0.007181
loading,,oxford_total_score,PC1,0.02971,0.37287
loading,,oxford_total_score,PC2,0.011048,0.22296
loading,,oxford_total_score,PC3,0.002122,0.148778
loading,,oxford_total_score,PC4,0.044449,0.060602
loading,,oxford_total_score,PC5,0.019726,0.037459
loading,,oxford_total_score,PC6,-0.009615,0.032488
loading,,oxford_total_score,PC7,-0.034566,0.024564
loading,,oxford_total_score,PC8,-0.021042,0.017946
loading,,oxford_total_score,PC9,-0.038207,0.010927
loading,,oxford_total_score,PC10,-0.067166,0.007181
loading,,wb_control_of_corruption,PC1,0.044418,0.37287
loading,,wb_control_of_corruption,PC2,-0.008455,0.22296
loading,,wb_control_of_corruption,PC3,-0.003982,0.148778
loading,,wb_control_of_corruption,PC4,0.026514,0.060602
loading,,wb_control_of_corruption,PC5,0.006744,0.037459
loading,,wb_control_of_corruption,PC6,-0.027633,0.032488
loading,,wb_control_of_corruption,PC7,-0.045232,0.024564
loading,,wb_control_of_corruption,PC8,0.014783,0.017946
loading,,wb_control_of_corruption,PC9,-0.040097,0.010927
loading,,wb_control_of_corruption,PC10,-0.050644,0.007181
loading,,wb_control_of_corruption_se,PC1,0.00402,0.37287
loading,,wb_control_of_corruption_se,PC2,-0.011888,0.22296
loading,,wb_control_of_corruption_se,PC3,-0.009079,0.148778
loading,,wb_control_of_corruption_se,PC4,0.031354,0.060602
loading,,wb_control_of_corruption_se,PC5,0.03355,0.037459
loading,,wb_control_of_corruption_se,PC6,-0.157972,0.032488
loading,,wb_control_of_corruption_se,PC7,-0.027569,0.024564
loading,,wb_control_of_corruption_se,PC8,0.010415,0.017946
loading,,wb_control_of_corruption_se,PC9,0.369253,0.010927
loading,,wb_control_of_corruption_se,PC10,0.033777,0.007181
loading,,wb_education_expenditure_pct_gdp,PC1,0.017104,0.37287
loading,,wb_education_expenditure_pct_gdp,PC2,-0.00448,0.22296
loading,,wb_education_expenditure_pct_gdp,PC3,-0.006307,0.148778
loading,,wb_education_expenditure_pct_gdp,PC4,0.014623,0.060602
loading,,wb_education_expenditure_pct_gdp,PC5,-0.016434,0.037459
loading,,wb_education_expenditure_pct_gdp,PC6,-0.016781,0.032488
loading,,wb_education_expenditure_pct_gdp,PC7,-0.026615,0.024564
loading,,wb_education_expenditure_pct_gdp,PC8,0.03205,0.017946
loading,,wb_education_expenditure_pct_gdp,PC9,-0.047798,0.010927
loading,,wb_education_expenditure_pct_gdp,PC10,0.032782,0.007181
loading,,wb_electric_consumption_kwh_pc,PC1,0.034245,0.37287
loading,,wb_electric_consumption_kwh_pc,PC2,-0.010969,0.22296
loading,,wb_electric_consumption_kwh_pc,PC3,-0.003994,0.148778
loading,,wb_electric_consumption_kwh_pc,PC4,0.064196,0.060602
loading,,wb_electric_consumption_kwh_pc,PC5,0.029054,0.037459
loading,,wb_electric_consumption_kwh_pc,PC6,-0.053781,0.032488
loading,,wb_electric_consumption_kwh_pc,PC7,-0.113824,0.024564
loading,,wb_electric_consumption_kwh_pc,PC8,0.024158,0.017946
loading,,wb_electric_consumption_kwh_pc,PC9,0.004486,0.010927
loading,,wb_electric_consumption_kwh_pc,PC10,-0.059928,0.007181
loading,,wb_exports_pct_gdp,PC1,0.031201,0.37287
loading,,wb_exports_pct_gdp,PC2,-0.022609,0.22296
loading,,wb_exports_pct_gdp,PC3,-0.014433,0.148778
loading,,wb_exports_pct_gdp,PC4,0.006941,0.060602
loading,,wb_exports_pct_gdp,PC5,0.075199,0.037459
loading,,wb_exports_pct_gdp,PC6,0.015039,0.032488
loading,,wb_exports_pct_gdp,PC7,-0.055324,0.024564
loading,,wb_exports_pct_gdp,PC8,-0.040692,0.017946
loading,,wb_exports_pct_gdp,PC9,0.000658,0.010927
loading,,wb_exports_pct_gdp,PC10,0.010398,0.007181
loading,,wb_fdi_net_inflows,PC1,-0.018929,0.37287
loading,,wb_fdi_net_inflows,PC2,0.146578,0.22296
loading,,wb_fdi_net_inflows,PC3,-0.010928,0.148778
loading,,wb_fdi_net_inflows,PC4,0.433467,0.060602
loading,,wb_fdi_net_inflows,PC5,-0.285689,0.037459
loading,,wb_fdi_net_inflows,PC6,0.550995,0.032488
loading,,wb_fdi_net_inflows,PC7,-0.267387,0.024564
loading,,wb_fdi_net_inflows,PC8,0.341822,0.017946
loading,,wb_fdi_net_inflows,PC9,0.115774,0.010927
loading,,wb_fdi_net_inflows,PC10,-0.080024,0.007181
loading,,wb_fdi_pct_gdp,PC1,-0.027993,0.37287
loading,,wb_fdi_pct_gdp,PC2,-0.000708,0.22296
loading,,wb_fdi_pct_gdp,PC3,-0.016432,0.148778
loading,,wb_fdi_pct_gdp,PC4,0.064103,0.060602
loading,,wb_fdi_pct_gdp,PC5,-0.083005,0.037459
loading,,wb_fdi_pct_gdp,PC6,0.170949,0.032488
loading,,wb_fdi_pct_gdp,PC7,-0.14297,0.024564
loading,,wb_fdi_pct_gdp,PC8,0.241815,0.017946
loading,,wb_fdi_pct_gdp,PC9,0.11565,0.010927
loading,,wb_fdi_pct_gdp,PC10,0.161103,0.007181
loading,,wb_fixed_broadband_per100,PC1,0.027285,0.37287
loading,,wb_fixed_broadband_per100,PC2,-0.005763,0.22296
loading,,wb_fixed_broadband_per100,PC3,0.003886,0.148778
loading,,wb_fixed_broadband_per100,PC4,0.03483,0.060602
loading,,wb_fixed_broadband_per100,PC5,0.006591,0.037459
loading,,wb_fixed_broadband_per100,PC6,-0.017792,0.032488
loading,,wb_fixed_broadband_per100,PC7,-0.034967,0.024564
loading,,wb_fixed_broadband_per100,PC8,-0.032266,0.017946
loading,,wb_fixed_broadband_per100,PC9,-0.023714,0.010927
loading,,wb_fixed_broadband_per100,PC10,0.053785,0.007181
loading,,wb_gdp_current_usd,PC1,0.146652,0.37287
loading,,wb_gdp_current_usd,PC2,0.259622,0.22296
loading,,wb_gdp_current_usd,PC3,0.031093,0.148778
loading,,wb_gdp_current_usd,PC4,0.248307,0.060602
loading,,wb_gdp_current_usd,PC5,-0.267195,0.037459
loading,,wb_gdp_current_usd,PC6,-0.018194,0.032488
loading,,wb_gdp_current_usd,PC7,0.270621,0.024564
loading,,wb_gdp_current_usd,PC8,-0.243001,0.017946
loading,,wb_gdp_current_usd,PC9,0.097095,0.010927
loading,,wb_gdp_current_usd,PC10,0.049026,0.007181
loading,,wb_gdp_growth_annual_pct,PC1,-0.017853,0.37287
loading,,wb_gdp_growth_annual_pct,PC2,0.006752,0.22296
loading,,wb_gdp_growth_annual_pct,PC3,-0.021812,0.148778
loading,,wb_gdp_growth_annual_pct,PC4,-0.031212,0.060602
loading,,wb_gdp_growth_annual_pct,PC5,0.00239,0.037459
loading,,wb_gdp_growth_annual_pct,PC6,0.030475,0.032488
loading,,wb_gdp_growth_annual_pct,PC7,0.020828,0.024564
loading,,wb_gdp_growth_annual_pct,PC8,0.024123,0.017946
loading,,wb_gdp_growth_annual_pct,PC9,0.027291,0.010927
loading,,wb_gdp_growth_annual_pct,PC10,-0.0497,0.007181
loading,,wb_gdp_per_capita_ppp,PC1,0.038707,0.37287
loading,,wb_gdp_per_capita_ppp,PC2,-0.008666,0.22296
loading,,wb_gdp_per_capita_ppp,PC3,0.002434,0.148778
loading,,wb_gdp_per_capita_ppp,PC4,0.03741,0.060602
loading,,wb_gdp_per_capita_ppp,PC5,0.02299,0.037459
loading,,wb_gdp_per_capita_ppp,PC6,-0.029551,0.032488
loading,,wb_gdp_per_capita_ppp,PC7,-0.051384,0.024564
loading,,wb_gdp_per_capita_ppp,PC8,-0.025544,0.017946
loading,,wb_gdp_per_capita_ppp,PC9,0.001355,0.010927
loading,,wb_gdp_per_capita_ppp,PC10,-0.01882,0.007181
loading,,wb_government_effectiveness,PC1,0.043405,0.37287
loading,,wb_government_effectiveness,PC2,-0.002013,0.22296
loading,,wb_government_effectiveness,PC3,-0.002996,0.148778
loading,,wb_government_effectiveness,PC4,0.036062,0.060602
loading,,wb_government_effectiveness,PC5,0.030673,0.037459
loading,,wb_government_effectiveness,PC6,-0.019278,0.032488
loading,,wb_government_effectiveness,PC7,-0.052761,0.024564
loading,,wb_government_effectiveness,PC8,0.006019,0.017946
loading,,wb_government_effectiveness,PC9,-0.039078,0.010927
loading,,wb_government_effectiveness,PC10,-0.045822,0.007181
loading,,wb_government_effectiveness_se,PC1,0.013771,0.37287
loading,,wb_government_effectiveness_se,PC2,-0.000615,0.22296
loading,,wb_government_effectiveness_se,PC3,-0.004001,0.148778
loading,,wb_government_effectiveness_se,PC4,0.049339,0.060602
loading,,wb_government_effectiveness_se,PC5,0.040961,0.037459
loading,,wb_government_effectiveness_se,PC6,-0.046898,0.032488
loading,,wb_government_effectiveness_se,PC7,-0.06505,0.024564
loading,,wb_government_effectiveness_se,PC8,-0.051556,0.017946
loading,,wb_government_effectiveness_se,PC9,0.14287,0.010927
loading,,wb_government_effectiveness_se,PC10,0.148967,0.007181
loading,,wb_gross_capital_formation_pct_gdp,PC1,-0.000581,0.37287
loading,,wb_gross_capital_formation_pct_gdp,PC2,0.008493,0.22296
loading,,wb_gross_capital_formation_pct_gdp,PC3,-0.027982,0.148778
loading,,wb_gross_capital_formation_pct_gdp,PC4,-0.00244,0.060602
loading,,wb_gross_capital_formation_pct_gdp,PC5,0.015813,0.037459
loading,,wb_gross_capital_formation_pct_gdp,PC6,-0.012629,0.032488
loading,,wb_gross_capital_formation_pct_gdp,PC7,-0.020861,0.024564
loading,,wb_gross_capital_formation_pct_gdp,PC8,0.001061,0.017946
loading,,wb_gross_capital_formation_pct_gdp,PC9,0.029676,0.010927
loading,,wb_gross_capital_formation_pct_gdp,PC10,-0.032171,0.007181
loading,,wb_high_tech_exports_pct_manufactured,PC1,0.031118,0.37287
loading,,wb_high_tech_exports_pct_manufactured,PC2,0.007569,0.22296
loading,,wb_high_tech_exports_pct_manufactured,PC3,-0.010459,0.148778
loading,,wb_high_tech_exports_pct_manufactured,PC4,0.04225,0.060602
loading,,wb_high_tech_exports_pct_manufactured,PC5,0.125801,0.037459
loading,,wb_high_tech_exports_pct_manufactured,PC6,0.023223,0.032488
loading,,wb_high_tech_exports_pct_manufactured,PC7,0.090703,0.024564
loading,,wb_high_tech_exports_pct_manufactured,PC8,0.013038,0.017946
loading,,wb_high_tech_exports_pct_manufactured,PC9,-0.009708,0.010927
loading,,wb_high_tech_exports_pct_manufactured,PC10,-0.010048,0.007181
loading,,wb_ict_goods_exports_pct,PC1,0.043223,0.37287
loading,,wb_ict_goods_exports_pct,PC2,0.019424,0.22296
loading,,wb_ict_goods_exports_pct,PC3,-0.056974,0.148778
loading,,wb_ict_goods_exports_pct,PC4,0.237515,0.060602
loading,,wb_ict_goods_exports_pct,PC5,0.702827,0.037459
loading,,wb_ict_goods_exports_pct,PC6,0.372553,0.032488
loading,,wb_ict_goods_exports_pct,PC7,0.475626,0.024564
loading,,wb_ict_goods_exports_pct,PC8,0.089755,0.017946
