variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
oxford_ai_sector_maturity,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,17.828564,13.3,15.985663,8.96,0.58,0.6782,1.556,2.842,5.1,24.975,42.142,47.288,62.0354,100.0,19.875,0.6737,1.4947,3.1148,0,0,5,1,15,shapiro,0.8612,0.0,False,ok
oxford_ai_technology_diffusion,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,40.360872,38.98,19.405567,14.87,1.21,7.481,12.178,14.024,24.37,54.08,66.266,71.552,82.2376,86.51,29.71,0.3815,0.0943,-0.8368,0,0,0,0,0,shapiro,0.972,0.000617,False,ok
oxford_compute_capacity,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,9.86959,5.37,14.18027,3.76,0.0,0.0,0.0,0.0,2.08,10.19,28.16,40.81,58.4008,90.92,8.11,0.7002,2.7343,8.9389,43,0,22,15,30,shapiro,0.6631,0.0,True,ok
oxford_data_availability,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,59.438719,58.716726,22.308903,19.303467,8.884615,15.460939,22.937669,30.693534,41.340383,80.163672,87.175233,90.827762,95.211695,98.320401,38.823289,0.3288,-0.1698,-1.0961,0,0,0,0,0,shapiro,0.9575,1.5e-05,False,ok
oxford_data_infrastructure,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,59.320797,56.987688,18.028223,13.368532,5.288974,15.097233,32.162127,36.818812,46.096991,75.003863,83.423702,86.477581,91.042705,93.135341,28.906872,0.2346,-0.1646,-0.5198,0,0,0,0,1,shapiro,0.975,0.001587,False,ok
oxford_data_quality,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,64.354154,66.53,19.653143,17.11,13.3,19.5632,32.946,39.018,47.705,82.26,88.57,91.989,95.0214,96.55,34.555,0.2572,-0.2982,-0.8207,0,0,0,0,0,shapiro,0.9627,4.9e-05,False,ok
oxford_data_representativeness,ecosystem_outcome,oxford,score_0_100,higher_better,True,192,7,96.48,78.412457,79.040166,16.793977,12.153875,4.995139,21.392968,50.732714,59.230491,69.771943,93.117429,97.97894,98.6125,99.5135,100.0,23.345486,0.1538,-1.2655,2.9677,0,0,4,0,4,shapiro,0.9052,0.0,False,ok
oxford_development_diffusion,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,31.370615,28.21,17.00209,11.64,9.19,9.7574,10.898,11.934,17.695,43.415,57.406,63.352,69.3684,88.16,25.72,0.4126,0.7348,-0.2074,0,0,1,0,3,shapiro,0.9309,0.0,False,ok
oxford_digital_capacity,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,44.630901,44.104613,18.618394,14.979378,7.849032,11.184056,17.385487,21.933693,29.702544,59.450445,69.288449,75.34532,86.317698,91.30133,29.747902,0.3396,0.2584,-0.7283,0,0,0,0,0,shapiro,0.9799,0.007021,False,ok
oxford_e_government_delivery,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,58.005026,61.74,29.625056,25.12,0.0,1.9426,6.466,11.008,34.865,85.345,94.542,96.971,99.645,99.98,50.48,0.4069,-0.3427,-1.1144,1,0,0,0,0,shapiro,0.933,0.0,False,ok
oxford_enabling_technical_infrastructure,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,58.401026,58.75,14.873996,10.39,17.72,25.64,31.694,37.51,49.155,69.415,76.536,79.706,86.4116,89.61,20.26,0.1769,-0.3173,-0.4212,0,0,2,0,2,shapiro,0.985,0.035896,False,ok
