variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
wipo_in_3_2_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,42.982909,38.604651,25.971906,20.422833,0.0,0.139535,9.090909,11.627907,21.860465,63.636364,81.818182,86.363636,94.090909,100.0,41.775899,0.529,0.3312,-1.006,2,0,0,0,0,shapiro,0.9513,0.000134,False,ok
wipo_in_3_2_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,134,65,67.34,38.836784,36.684398,20.290112,11.509445,0.0,0.966132,9.487581,14.131912,26.96771,48.859775,65.774544,80.487895,92.783241,100.0,21.892065,0.3137,0.6938,0.5342,2,0,6,0,10,shapiro,0.9588,0.000458,False,ok
wipo_in_3_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,33.282383,32.973075,15.989816,11.69888,3.133304,4.113446,8.910441,13.489403,20.860914,43.725653,53.179148,64.296402,71.229711,73.670883,22.864739,0.3548,0.3598,-0.335,0,0,0,0,0,shapiro,0.9808,0.044833,False,ok
wipo_in_3_3_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,134,65,67.34,26.136913,22.764503,17.288196,9.567357,0.0,3.402933,6.192262,8.90425,14.713018,33.530393,45.49567,56.077865,87.811662,100.0,18.817374,0.4203,1.64,3.7742,1,0,6,1,7,shapiro,0.8757,0.0,False,ok
wipo_in_3_3_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,26.62547,22.37711,22.687088,14.585433,0.0,0.021082,0.547255,2.29841,8.207782,38.632111,56.521379,73.712052,93.688243,100.0,30.424329,0.6518,1.0605,0.7698,1,0,4,0,8,shapiro,0.907,0.0,False,ok
wipo_in_3_3_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,16.813607,7.457556,21.297885,6.41436,0.0,0.179082,0.466806,0.933404,2.208012,20.939988,49.593007,65.906045,88.814596,100.0,18.731975,0.8601,1.8163,2.8734,1,0,15,4,26,shapiro,0.7537,0.0,False,ok
wipo_in_3_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,22.924346,19.943377,13.02708,9.19071,1.064434,2.35367,6.106481,7.324242,13.154622,34.09035,42.685674,45.152581,53.018982,57.367066,20.935728,0.4608,0.5112,-0.6441,0,0,0,0,3,shapiro,0.9545,0.000132,False,ok
wipo_in_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,41.838958,41.565471,13.395003,11.207665,11.055644,12.557411,21.628592,25.31507,30.957269,52.970332,58.118484,62.868322,67.633896,68.827346,22.013063,0.2696,-0.0688,-0.8161,0,0,0,0,0,shapiro,0.9809,0.045781,False,ok
wipo_in_4_1_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,93,106,46.73,50.842953,50.947707,21.82645,15.297079,0.0,4.528309,17.40978,25.169549,34.664894,63.968861,80.468396,89.123132,94.203458,100.0,29.303967,0.3003,0.0896,-0.5175,1,0,0,0,0,shapiro,0.9906,0.756788,False,ok
wipo_in_4_1_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,137,62,68.84,21.380571,16.689047,18.919876,9.702542,0.0,0.016485,1.17985,2.651177,8.200355,30.327798,49.093846,58.185006,77.789729,100.0,22.127444,0.5814,1.4936,2.3788,2,0,6,1,10,shapiro,0.8638,0.0,False,ok
wipo_in_4_1_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,68,131,34.17,19.076738,10.776165,23.538256,8.278699,0.0,0.0,0.03395,0.401966,4.393269,28.01155,45.337067,63.2307,100.0,100.0,23.618281,0.7682,2.0246,4.0024,2,0,4,3,9,shapiro,0.7412,0.0,True,ok
wipo_in_4_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,29.93867,27.961553,19.744418,14.22304,0.0,1.128163,2.799215,6.179893,14.179649,43.552713,57.904024,66.47,75.307322,92.559341,29.373065,0.5087,0.6082,-0.2141,1,0,1,0,1,shapiro,0.9568,0.000207,False,ok
wipo_in_4_2_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,88,111,44.22,21.539824,12.275406,23.489168,8.984481,0.0,0.110984,1.27349,2.953004,6.324722,28.610268,44.567259,80.136381,100.0,100.0,22.285546,0.7319,2.0004,3.9151,1,0,6,4,10,shapiro,0.7556,0.0,True,ok
wipo_in_4_2_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,129,70,64.82,16.005101,5.840467,22.814075,4.396785,0.0,0.013741,0.500215,1.163766,2.477312,20.540149,44.984077,65.958948,100.0,100.0,18.062836,0.7528,2.2142,4.5971,2,0,13,5,31,shapiro,0.6797,0.0,True,ok
wipo_in_4_2_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,121,78,60.8,6.607471,1.214038,14.572895,1.158155,0.0,0.000984,0.006064,0.034285,0.205574,6.028243,15.965965,31.175194,74.11447,100.0,5.822669,0.954,3.9945,18.5791,2,0,13,10,33,shapiro,0.489,0.0,True,ok
wipo_in_4_2_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,125,74,62.81,7.904123,3.414042,12.751656,2.869647,0.0,0.019057,0.122573,0.360475,1.068918,9.22942,20.247196,31.608294,46.636377,100.0,8.160502,0.8405,3.9013,21.4385,1,0,12,6,20,shapiro,0.5936,0.0,True,ok
wipo_in_4_2_5_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,116,83,58.29,18.303416,5.97159,25.916114,4.893907,0.0,0.161553,0.640089,0.872738,1.993945,23.374697,55.20516,88.999287,100.0,100.0,21.380752,0.8195,1.9062,2.8739,1,0,12,7,30,shapiro,0.6954,0.0,False,ok
wipo_in_4_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,12.761808,5.598931,15.221915,4.384641,0.117656,0.318214,0.562442,0.925347,2.322774,19.07371,37.146552,46.759697,60.081777,65.270232,16.750935,0.7831,1.5859,1.7724,0,0,8,0,32,shapiro,0.7727,0.0,False,ok
wipo_in_4_3_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,69.513814,81.503881,26.544242,11.084169,0.0,0.379488,9.569232,26.050597,54.321168,89.551469,92.264722,94.660705,99.815398,100.0,35.230301,0.136,-1.0777,0.0908,2,0,3,0,24,shapiro,0.8466,0.0,False,ok
wipo_in_4_3_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,120,79,60.3,76.133819,83.620901,22.163374,11.600374,0.0,0.0,31.214641,52.519177,65.175237,91.966193,95.626283,97.661944,98.906931,100.0,26.790957,0.1387,-1.6666,2.9016,3,0,6,0,8,shapiro,0.8234,0.0,False,ok
wipo_in_4_3_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,52.37982,52.334365,18.053272,12.487144,0.0,4.461275,26.955984,34.369205,39.613645,64.092852,74.96662,80.278746,95.441815,100.0,24.479207,0.2386,-0.1514,0.4502,1,0,2,0,4,shapiro,0.9831,0.080449,False,ok
wipo_in_4_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,64.391843,68.275669,18.132167,11.766808,10.055189,18.239041,30.794409,35.049475,52.376989,78.532388,83.532418,87.247636,91.825577,94.552737,26.1554,0.1723,-0.7375,-0.1384,0,0,2,0,4,shapiro,0.9444,2.1e-05,False,ok
wipo_in_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,36.253927,35.386266,13.873337,8.290895,6.009651,10.599889,14.567556,18.071677,27.317572,44.800616,56.822834,59.487752,69.235124,75.034915,17.483044,0.2343,0.2927,-0.2723,0,0,1,0,4,shapiro,0.9878,0.252986,False,ok
wipo_in_5_1_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,134,65,67.34,37.479816,32.726712,23.96187,19.104946,0.0,1.274777,3.736936,7.433286,17.146974,58.897137,71.164784,75.845594,87.485028,100.0,41.750163,0.5838,0.3452,-0.8894,1,0,0,0,1,shapiro,0.9575,0.000356,False,ok
wipo_in_5_1_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,135,64,67.84,42.681301,40.789929,30.299316,26.849076,0.0,0.182661,1.996084,5.482265,14.213436,66.56056,89.000416,94.038941,99.832573,100.0,52.347123,0.6582,0.297,-1.1065,2,0,0,0,0,shapiro,0.9386,1.2e-05,False,ok
wipo_in_5_1_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,43.104732,36.105024,27.575696,19.78234,0.0,1.818281,11.524536,13.763969,18.894297,61.874165,87.978691,90.748859,97.594046,100.0,42.979868,0.5479,0.5191,-0.9864,1,0,0,0,0,shapiro,0.919,0.0,False,ok
wipo_in_5_1_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,106,93,53.27,17.376556,7.8157,21.980083,7.574482,0.0,0.0,0.05851,0.222702,1.245603,25.64209,52.101435,61.421954,98.466818,100.0,24.396487,0.9691,1.6746,2.6307,4,0,6,2,19,shapiro,0.777,0.0,False,ok
wipo_in_5_1_5_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,135,64,67.84,36.030729,35.53591,27.945685,25.498526,0.0,0.0,0.891496,1.994107,8.507258,57.659335,72.797416,80.241647,97.512072,100.0,49.152078,0.7175,0.3284,-1.0065,4,0,0,0,0,shapiro,0.9306,3e-06,False,ok
wipo_in_5_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,37.81532,35.347622,13.854239,8.989175,9.182798,12.63025,19.686275,21.906082,27.413377,45.213935,58.743962,62.088475,71.637681,85.044032,17.800558,0.2543,0.6741,0.2214,0,0,2,0,4,shapiro,0.965,0.001135,False,ok
wipo_in_5_2_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,20.205742,12.660751,20.829345,8.09702,0.0,0.22361,1.684741,3.289619,5.991896,23.512959,53.267076,60.470459,92.445611,100.0,17.521063,0.6395,1.7693,2.859,1,0,16,5,21,shapiro,0.7896,0.0,False,ok
wipo_in_5_2_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,136,63,68.34,37.374453,35.028878,18.790563,12.998642,0.0,0.294971,9.865362,16.426422,24.004354,52.652358,64.498068,66.851118,75.258875,100.0,28.648004,0.3711,0.3551,-0.1439,2,0,1,0,1,shapiro,0.979,0.033995,False,ok
wipo_in_5_2_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,134,65,67.34,38.364632,31.705866,27.993623,17.501321,0.0,0.0,3.894984,7.982493,14.938448,54.762888,85.752841,95.028409,99.338068,100.0,39.82444,0.552,0.7092,-0.5795,3,0,0,0,8,shapiro,0.917,0.0,False,ok
wipo_in_5_2_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,48.462565,44.422508,24.036925,16.708826,0.0,1.723858,9.050035,20.069793,30.996622,69.68799,82.710043,89.043223,95.333451,100.0,38.691368,0.3761,0.1438,-0.7485,1,0,0,0,0,shapiro,0.9772,0.019044,False,ok
wipo_in_5_2_5_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,8.021455,0.715611,15.312131,0.715611,0.0,0.0,0.0,0.0,0.0,7.222081,28.671031,39.153933,59.791197,100.0,7.222081,1.0,2.8232,10.0151,41,0,25,14,45,shapiro,0.5928,0.0,True,ok
wipo_in_5_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,29.459936,24.3257,18.389688,9.201963,0.255436,0.682024,6.494686,11.1095,16.047655,37.667342,60.766286,67.449973,74.095399,80.647081,21.619686,0.3783,0.8952,-0.0094,0,0,2,0,18,shapiro,0.9138,0.0,False,ok
wipo_in_5_3_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,16.188925,13.26094,16.000513,8.923014,0.0,0.0,0.0,0.235711,4.337925,21.989457,32.758256,43.899882,69.34627,100.0,17.651531,0.6729,1.9552,5.676,9,0,7,1,7,shapiro,0.8308,0.0,False,ok
wipo_in_5_3_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,139,60,69.85,27.743716,23.790409,18.475655,7.743955,0.0,1.834486,6.704124,9.91978,16.502849,32.501679,50.507944,68.029115,99.534638,100.0,15.99883,0.3255,1.8087,4.0152,1,0,12,3,14,shapiro,0.8389,0.0,False,ok
wipo_in_5_3_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,20.6524,17.518614,17.177829,8.946105,0.0,1.631964,2.958969,4.602154,8.126173,26.03849,39.953298,50.001053,89.579502,100.0,17.912317,0.5107,1.9826,5.5827,1,0,6,2,8,shapiro,0.8304,0.0,False,ok
wipo_in_5_3_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,47.261065,44.694265,15.18075,4.415609,0.0,3.617091,28.208283,37.849997,41.18917,49.992743,61.780097,73.520515,100.0,100.0,8.803572,0.0988,0.9913,4.4113,2,0,21,9,25,shapiro,0.831,0.0,False,ok
wipo_in_5_3_5_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,90,109,45.23,37.775988,37.677236,29.879989,28.801321,0.0,0.023392,0.612805,2.10184,7.549957,62.701423,76.598185,89.577556,97.355306,100.0,55.151466,0.7644,0.3068,-1.1724,1,0,0,0,0,shapiro,0.9203,3.7e-05,False,ok
wipo_in_5_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,28.860248,26.354462,11.091328,7.223335,10.71776,12.612806,15.040733,17.048126,20.53866,35.977163,43.311272,49.625323,58.82372,63.680442,15.438502,0.2741,0.7854,0.0254,0,0,2,0,4,shapiro,0.9418,1.3e-05,False,ok
wipo_in_5_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,32.045168,27.959024,12.381105,6.125919,10.20493,15.509177,17.77593,20.143663,22.815481,38.156051,53.342211,55.958587,64.354032,65.902816,15.34057,0.2191,0.9482,0.0385,0,0,4,0,19,shapiro,0.9059,0.0,False,ok
wipo_in_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,38.400752,36.514777,13.149764,8.92692,17.226613,17.656741,20.801782,23.150146,27.684836,47.061906,58.290066,62.674552,66.91122,68.745495,19.377069,0.2445,0.5384,-0.6691,0,0,0,0,1,shapiro,0.9477,3.7e-05,False,ok
wipo_industdes_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,121,78,60.8,15.740449,6.223413,22.775741,5.383157,0.0,0.0,0.186929,0.515173,1.856126,16.393277,41.204038,74.015116,100.0,100.0,14.537151,0.865,2.1598,4.1811,3,0,16,10,23,shapiro,0.6813,0.0,True,ok
wipo_intelproppay_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,125,74,62.81,19.886887,13.863099,21.783114,10.844517,0.0,0.000239,0.092652,1.134385,4.238995,26.150655,47.235696,63.527598,100.0,100.0,21.911661,0.7823,1.8397,3.5594,1,0,8,3,11,shapiro,0.7964,0.0,False,ok
wipo_intelproprec_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,114,85,57.29,15.748548,3.150365,28.00426,3.053763,0.0,0.002622,0.032344,0.077137,0.604529,9.412005,62.548314,93.100197,100.0,100.0,8.807476,0.9693,2.072,3.0206,1,0,24,18,27,shapiro,0.5975,0.0,True,ok
wipo_isoenv_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,13.493276,6.239629,18.442982,5.226907,0.0,0.193043,0.407331,0.819437,1.556234,15.262504,40.097089,59.226303,71.447661,100.0,13.70627,0.8377,2.1087,4.4692,1,0,16,9,22,shapiro,0.7098,0.0,True,ok
wipo_isoqual_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,17.169876,9.341076,20.532912,7.11329,0.0,0.090548,0.710683,1.05651,3.434057,20.768808,50.505866,56.883381,92.993025,100.0,17.334751,0.7615,1.9187,3.5932,1,0,15,3,22,shapiro,0.7589,0.0,False,ok
wipo_jvstratall_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,127,72,63.82,15.883212,7.319788,21.056705,4.634596,0.0,0.678593,1.47754,2.069092,3.623817,15.88405,50.983449,64.895592,94.654611,100.0,12.260233,0.6332,2.1347,4.0669,1,0,19,12,25,shapiro,0.6802,0.0,True,ok
wipo_knowintsemp_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,124,75,62.31,40.782467,36.561372,24.967107,19.434329,0.0,0.537497,2.805811,9.85688,20.240132,59.661651,76.535631,82.237826,94.168789,100.0,39.421519,0.5316,0.2954,-0.8689,1,0,0,0,0,shapiro,0.9671,0.004065,False,ok
wipo_logperf_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,125,74,62.81,44.751672,37.422551,25.182703,15.144533,0.0,1.662565,12.060617,17.209131,24.704378,61.706521,85.775939,90.433891,92.954251,100.0,37.002143,0.4047,0.5093,-0.8033,1,0,0,0,7,shapiro,0.9399,3e-05,False,ok
wipo_markcap_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,75,124,37.69,20.300988,13.77097,20.284552,8.080953,0.0,0.85989,1.567313,3.603578,7.436995,26.95727,40.663149,56.469241,100.0,100.0,19.520275,0.5868,2.1672,5.3312,1,0,4,2,7,shapiro,0.7706,0.0,True,ok
wipo_microloan_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,83,116,41.71,19.212453,5.512024,29.719795,5.427647,0.0,0.0049,0.015483,0.037595,1.257473,25.610441,75.500717,100.0,100.0,100.0,24.352968,0.9847,1.8907,2.2991,1,0,10,7,23,shapiro,0.6524,0.0,False,ok
wipo_natfeatfilm_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,108,91,54.27,18.342089,11.131413,20.872303,9.032102,0.0,0.041454,0.547095,1.547037,3.56575,24.312678,44.315101,60.939901,99.164738,100.0,20.746928,0.8114,1.9521,4.134,1,0,6,3,12,shapiro,0.7791,0.0,False,ok
wipo_newbus_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,121,78,60.8,13.884934,5.741107,18.537676,4.779811,0.0,0.036625,0.341234,0.876539,2.133693,16.815154,35.611001,60.086632,80.036518,100.0,14.681461,0.8326,2.22,5.2035,1,0,10,6,24,shapiro,0.7128,0.0,True,ok
wipo_out_6_1_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,140,59,70.35,17.162028,11.52954,19.148663,8.751798,0.0,0.066867,0.376889,0.999033,3.899761,22.067924,41.380607,57.643676,90.122439,100.0,18.168163,0.7591,1.9529,4.2774,2,0,10,3,14,shapiro,0.7878,0.0,False,ok
wipo_out_6_1_2_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,125,74,62.81,14.362963,3.070959,22.670061,3.070959,0.0,0.0,0.0,0.0,0.512273,19.396733,46.949481,68.454326,94.340297,100.0,18.884461,1.0,2.0071,3.4461,17,0,11,4,36,shapiro,0.6789,0.0,True,ok
wipo_out_6_1_3_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,88,111,44.22,15.586077,4.779145,22.566982,4.779145,0.0,0.0,0.0,0.0,0.808085,24.422489,41.897598,57.22182,100.0,100.0,23.614405,1.0,2.1618,4.86,12,0,5,3,25,shapiro,0.7041,0.0,True,ok
wipo_out_6_1_4_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,27.168472,19.920063,23.137543,12.234399,0.0,0.702225,2.340848,3.840169,10.22514,38.168371,62.14832,79.792475,86.400295,100.0,27.943231,0.6142,1.136,0.5114,1,0,6,0,14,shapiro,0.8788,0.0,False,ok
wipo_out_6_1_5_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,20.070108,11.378446,21.988694,7.318296,0.0,0.360902,1.60401,2.896801,4.711779,28.320802,51.528822,70.275689,94.967419,100.0,23.609023,0.6432,1.7059,2.4153,1,0,11,2,26,shapiro,0.7795,0.0,False,ok
wipo_out_6_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,19.442848,12.938514,17.321039,8.230546,0.342343,0.901502,1.631553,2.565273,6.599816,27.197355,47.04039,56.876466,68.814925,70.299782,20.597539,0.6361,1.1639,0.4749,0,0,5,0,19,shapiro,0.8623,0.0,False,ok
wipo_out_6_2_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,139,60,69.85,49.234777,50.012568,17.505113,9.387343,0.0,3.369738,16.449928,28.864499,39.93937,59.100412,70.599429,79.515048,90.00132,100.0,19.161042,0.1877,-0.1541,0.7772,2,0,7,0,15,shapiro,0.9803,0.042552,False,ok
wipo_out_6_2_2_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,140,59,70.35,14.072718,0.0,26.565676,0.0,0.0,0.0,0.0,0.0,0.0,16.29005,47.355836,81.130764,100.0,100.0,16.29005,,2.1078,3.4866,87,0,18,12,0,shapiro,0.5973,0.0,True,ok
wipo_out_6_2_3_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,139,60,69.85,18.429813,15.79878,16.741735,10.575688,0.0,0.343686,0.952982,1.850124,4.266726,25.648669,46.606916,48.901183,55.331542,100.0,21.381943,0.6694,1.4092,2.9429,1,0,1,1,4,shapiro,0.8663,0.0,False,ok
wipo_out_6_2_4_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,137,62,68.84,26.506548,20.975272,22.547907,15.86759,0.0,0.312871,1.176128,2.778717,6.92564,41.870876,57.330562,70.089379,87.587007,100.0,34.945235,0.7565,0.8858,0.1556,1,0,1,0,4,shapiro,0.9118,0.0,False,ok
wipo_out_6_2_5_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,110,89,55.28,34.238889,29.93278,23.781523,18.031277,0.0,1.26118,3.539909,4.73084,14.072596,50.888262,66.237827,76.976227,89.2203,100.0,36.815666,0.6024,0.5299,-0.5967,1,0,0,0,1,shapiro,0.9498,0.000404,False,ok
wipo_out_6_2_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,27.305973,24.343589,13.555361,8.370499,0.974279,4.017087,9.478393,13.501332,18.193978,34.991131,44.738991,51.392868,65.427364,78.708675,16.797153,0.3438,0.87,1.0596,0,0,3,0,7,shapiro,0.9559,0.000176,False,ok
wipo_out_6_3_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,13.758831,3.277356,22.932766,3.240991,0.0,0.0,0.0,0.000402,0.723925,14.741434,47.696462,69.405708,94.655618,100.0,14.017509,0.9889,2.1776,3.9703,13,0,18,12,36,shapiro,0.6398,0.0,True,ok
wipo_out_6_3_2_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,130,69,65.33,50.566136,47.661475,21.680534,16.028303,0.0,4.146178,18.265975,26.130169,34.47511,66.854896,81.865574,86.640449,96.113749,100.0,32.379786,0.3363,0.225,-0.5579,1,0,0,0,0,shapiro,0.9808,0.062685,False,ok
wipo_out_6_3_3_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,139,60,69.85,14.708809,5.052594,21.531362,4.645373,0.0,0.019393,0.187461,0.340604,1.081402,21.802366,39.656585,57.080148,100.0,100.0,20.720964,0.9194,2.2179,5.0544,1,0,8,4,36,shapiro,0.6939,0.0,True,ok
wipo_out_6_3_4_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,19.493527,12.308173,21.578337,9.892152,0.0,0.633585,1.140178,1.531378,3.891208,27.098981,45.204771,59.14166,100.0,100.0,23.207774,0.8037,1.8836,3.8152,1,0,7,4,14,shapiro,0.7853,0.0,False,ok
wipo_out_6_3_5_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,139,60,69.85,18.164529,10.703475,20.095667,8.438313,0.0,0.262402,1.012767,1.487368,4.00026,24.67432,51.784761,56.1727,92.670747,100.0,20.67406,0.7884,1.7839,3.2532,1,0,8,3,20,shapiro,0.7912,0.0,False,ok
wipo_out_6_3_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,22.644192,18.120833,15.799145,10.001002,0.502933,0.662407,3.894682,7.097659,10.152546,32.565414,49.636256,51.856423,59.062258,62.757332,22.412868,0.5519,0.7373,-0.5671,0,0,0,0,5,shapiro,0.914,0.0,False,ok
wipo_out_6_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,23.131004,20.495274,13.785064,9.148042,5.45628,5.797862,7.796023,8.481235,11.892012,30.455139,41.802487,52.650074,60.06813,60.70452,18.563127,0.4463,0.9702,0.2313,0,0,3,0,8,shapiro,0.9067,0.0,False,ok
wipo_out_7_1_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,83,116,41.71,68.561976,76.098387,24.402206,9.875991,0.0,0.0,17.546978,27.147078,63.274916,83.125829,91.469895,95.984821,98.852936,100.0,19.850913,0.1298,-1.3849,1.3095,4,0,10,4,13,shapiro,0.8468,0.0,False,ok
wipo_out_7_1_2_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,139,60,69.85,18.358887,14.323866,16.899805,8.211604,0.0,0.136926,1.643958,2.344832,7.287867,23.374829,38.742022,48.040598,86.208771,100.0,16.086962,0.5733,2.1243,6.4305,2,0,7,2,9,shapiro,0.8127,0.0,True,ok
wipo_out_7_1_3_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,124,75,62.31,17.378412,3.665267,25.959462,3.665267,0.0,0.0,0.0,0.0,0.0,27.099377,54.002512,82.662234,97.658977,100.0,27.099377,1.0,1.6371,1.709,43,0,10,0,37,shapiro,0.7124,0.0,False,ok
wipo_out_7_1_4_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,135,64,67.84,24.846877,18.803967,23.049065,13.36198,0.0,0.0,0.644838,1.44794,6.630779,37.002546,54.539441,70.277313,90.72333,100.0,30.371768,0.7106,1.1968,0.9427,4,0,5,0,12,shapiro,0.8779,0.0,False,ok
wipo_out_7_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,25.904151,23.885386,18.948241,14.9366,0.0,0.297909,2.198028,3.891143,9.241473,39.07024,51.564005,58.030838,73.582679,81.208703,29.828766,0.6253,0.5508,-0.4826,1,0,0,0,1,shapiro,0.9431,1.7e-05,False,ok
wipo_out_7_2_1_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,124,75,62.31,17.464072,9.6602,23.028056,7.77369,0.0,0.000428,0.158051,0.371459,2.585789,21.076547,47.488443,74.230195,100.0,100.0,18.490758,0.8047,2.1598,4.3415,2,0,12,5,17,shapiro,0.7097,0.0,True,ok
wipo_out_7_2_2_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,93,106,46.73,21.671674,12.439509,22.632937,10.144493,0.0,0.515542,1.440699,2.153613,5.177607,33.494012,44.573594,72.021187,100.0,100.0,28.316404,0.8155,1.7516,3.1743,1,0,5,0,7,shapiro,0.8004,0.0,False,ok
wipo_out_7_2_3_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,65,134,32.66,24.437952,11.22774,25.000162,10.066704,0.0,0.0,1.170256,1.289385,3.546395,45.141519,60.892727,67.202047,90.095314,100.0,41.595124,0.8966,0.9562,-0.0454,2,0,0,0,15,shapiro,0.8512,2e-06,False,ok
wipo_out_7_2_4_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,139,60,69.85,16.116225,5.051169,25.367319,4.748245,0.0,0.012463,0.11222,0.249727,0.952668,18.993037,42.57499,86.02078,100.0,100.0,18.040369,0.94,2.1795,4.01,1,0,13,10,30,shapiro,0.652,0.0,True,ok
