bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
tech_infrastructure_control,wipo_in_5_3_5_score,numeric,wipo,score_0_100,True,90,45.23,90,37.677236,55.151466,0.0,100.0
tech_infrastructure_control,wipo_in_5_3_score,numeric,wipo,score_0_100,True,141,70.85,141,26.354462,15.438502,10.71776,63.680442
tech_infrastructure_control,wipo_in_5_score,numeric,wipo,score_0_100,True,141,70.85,141,27.959024,15.34057,10.20493,65.902816
tech_infrastructure_control,wipo_in_score,numeric,wipo,score_0_100,True,141,70.85,141,36.514777,19.377069,17.226613,68.745495
tech_infrastructure_control,wipo_intelproppay_score,numeric,wipo,score_0_100,True,125,62.81,123,13.863099,21.911661,0.0,100.0
tech_infrastructure_control,wipo_intelproprec_score,numeric,wipo,score_0_100,True,114,57.29,110,3.150365,8.807476,0.0,100.0
tech_infrastructure_control,wipo_isoenv_score,numeric,wipo,score_0_100,True,132,66.33,132,6.239629,13.70627,0.0,100.0
tech_infrastructure_control,wipo_isoqual_score,numeric,wipo,score_0_100,True,132,66.33,132,9.341076,17.334751,0.0,100.0
tech_infrastructure_control,wipo_jvstratall_score,numeric,wipo,score_0_100,True,127,63.82,126,7.319788,12.260233,0.0,100.0
tech_infrastructure_control,wipo_knowintsemp_score,numeric,wipo,score_0_100,True,124,62.31,124,36.561372,39.421519,0.0,100.0
tech_infrastructure_control,wipo_logperf_score,numeric,wipo,score_0_100,True,125,62.81,125,37.422551,37.002143,0.0,100.0
tech_infrastructure_control,wipo_markcap_score,numeric,wipo,score_0_100,True,75,37.69,74,13.77097,19.520275,0.0,100.0
tech_infrastructure_control,wipo_microloan_score,numeric,wipo,score_0_100,True,83,41.71,77,5.512024,24.352968,0.0,100.0
tech_infrastructure_control,wipo_natfeatfilm_score,numeric,wipo,score_0_100,True,108,54.27,107,11.131413,20.746928,0.0,100.0
tech_infrastructure_control,wipo_newbus_score,numeric,wipo,score_0_100,True,121,60.8,121,5.741107,14.681461,0.0,100.0
tech_infrastructure_control,wipo_printmedia_score,numeric,wipo,score_0_100,True,102,51.26,101,18.701651,16.78989,0.0,100.0
tech_infrastructure_control,wipo_pupteachr_score,numeric,wipo,score_0_100,True,124,62.31,123,80.623315,23.280001,0.0,100.0
tech_infrastructure_control,wipo_qsrank_score,numeric,wipo,score_0_100,True,132,66.33,73,8.833333,35.116667,0.0,98.766667
tech_infrastructure_control,wipo_r_growppp20_score,numeric,wipo,score_0_100,True,120,60.3,120,59.02127,16.599837,0.0,100.0
tech_infrastructure_control,wipo_r_vencapdeal_score,numeric,wipo,score_0_100,True,89,44.72,84,8.736357,26.38077,0.0,100.0
tech_infrastructure_control,wipo_rdcompexp_score,numeric,wipo,score_0_100,True,132,66.33,41,0.0,45.849729,0.0,100.0
tech_infrastructure_control,wipo_resppop_score,numeric,wipo,score_0_100,True,108,54.27,108,9.412115,42.89781,0.0,100.0
tech_infrastructure_control,wipo_restalbus_score,numeric,wipo,score_0_100,True,87,43.72,87,33.309746,52.748534,0.0,100.0
tech_infrastructure_control,wipo_schlifeexp_score,numeric,wipo,score_0_100,True,119,59.8,119,58.501809,28.402259,0.0,100.0
tech_infrastructure_control,wipo_sp11_score,numeric,wipo,score_0_100,True,132,66.33,132,57.578289,27.37563,0.0,100.0
tech_infrastructure_control,wipo_sp12_score,numeric,wipo,score_0_100,True,132,66.33,132,64.604021,24.718098,17.352893,99.054229
