bloque_tematico,variable_matriz,component,loading,explained_variance_ratio,status
ecosystem_outcome,oxford_ind_govt_effectiveness,PC3,-0.057116,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_effectiveness,PC4,0.04721,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_effectiveness,PC5,0.046711,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_promotion_emerging_tech,PC1,0.080306,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_promotion_emerging_tech,PC2,-0.114467,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_promotion_emerging_tech,PC3,0.024146,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_promotion_emerging_tech,PC4,0.047586,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_promotion_emerging_tech,PC5,0.032714,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_responsiveness,PC1,0.05243,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_responsiveness,PC2,-0.03178,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_responsiveness,PC3,0.030483,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_responsiveness,PC4,0.081086,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_responsiveness,PC5,0.020455,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_households_internet,PC1,0.094705,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_households_internet,PC2,-0.135595,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_households_internet,PC3,-0.191339,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_households_internet,PC4,-0.094192,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_households_internet,PC5,0.168162,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_skills,PC1,0.0708,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_ict_skills,PC2,-0.036402,0.097602,exploratory_not_feature
