Publication date,Training compute (petaFLOP),Label
2022-11-28,215700.00001000002,Industry-academia collaboration
2022-11-20,510000.0,Industry-academia collaboration
2022-11-10,2408000.0,Industry-academia collaboration
2022-10-11,1420000.0,Industry-academia collaboration
2022-08-10,430000000.0,Industry-academia collaboration
2022-07-21,73500000.0001,Industry-academia collaboration
2022-06-27,13500000.000000002,Industry-academia collaboration
2022-06-06,3317.76,Industry-academia collaboration
2022-05-27,7240000.0,Industry-academia collaboration
2022-04-13,49999999.99999999,Industry-academia collaboration
2022-03-21,26500.0,Industry-academia collaboration
2022-03-10,3400000.0,Industry-academia collaboration
2022-02-22,345047.04,Industry-academia collaboration
2022-02-10,65000.0,Industry-academia collaboration
2022-01-07,23439.9744,Industry-academia collaboration
2021-12-23,1042100000.0,Industry-academia collaboration
2021-12-16,157000.0,Industry-academia collaboration
2021-11-24,7245987.84,Industry-academia collaboration
2021-11-01,1560000.0,Industry-academia collaboration
2021-10-17,52587.456,Industry-academia collaboration
2021-07-29,18000000.0,Industry-academia collaboration
2021-06-28,85800.0,Industry-academia collaboration
2021-06-24,140.0,Industry-academia collaboration
2021-06-21,1702080.0,Industry-academia collaboration
2021-06-21,2427840.0,Industry-academia collaboration
2021-06-09,1910000.0,Industry-academia collaboration
2021-05-26,26800000.0,Industry-academia collaboration
2021-05-04,18704498.688,Industry-academia collaboration
2021-05-04,39000000.0,Industry-academia collaboration
2021-02-13,5489999.999999999,Industry-academia collaboration
2021-02-09,5684.5152,Industry-academia collaboration
2021-01-15,78840.0,Industry-academia collaboration
2020-12-25,540.0,Industry-academia collaboration
2020-12-15,5100000.0,Industry-academia collaboration
2020-08-03,3801.6,Industry-academia collaboration
2020-04-29,623700.0,Industry-academia collaboration
2020-03-23,3100000.0,Industry-academia collaboration
2020-03-11,26289.761,Industry-academia collaboration
2020-02-21,7690.547,Industry-academia collaboration
2020-02-09,2390000.0,Industry-academia collaboration
2019-12-19,780000.0,Industry-academia collaboration
2019-11-11,26119999.999999996,Industry-academia collaboration
2019-11-10,830000.0,Industry-academia collaboration
2019-11-01,30529.2,Industry-academia collaboration
2019-10-02,889.344,Industry-academia collaboration
2019-07-01,8506700.0,Industry-academia collaboration
2019-06-01,6190000.000000001,Industry-academia collaboration
2019-02-01,4300.0,Industry-academia collaboration
2019-01-09,378327.71,Industry-academia collaboration
2018-10-15,2780.0,Industry-academia collaboration
2018-09-24,0.9828,Industry-academia collaboration
