Country,Gender,ai_talent_representation_perc,Year
Poland,Male,0.66272,2023
Poland,Female,0.33666,2024
Poland,Male,0.66334,2024
Poland,Female,0.34004,2025
Poland,Male,0.65996,2025
Portugal,Female,0.29961,2016
Portugal,Male,0.70039,2016
Portugal,Female,0.29672,2017
Portugal,Male,0.70328,2017
Portugal,Female,0.29672,2018
Portugal,Male,0.70328,2018
Portugal,Female,0.29892,2019
Portugal,Male,0.70108,2019
Portugal,Female,0.29578,2020
Portugal,Male,0.70422,2020
Portugal,Female,0.29972,2021
Portugal,Male,0.70028,2021
Portugal,Female,0.30047,2022
Portugal,Male,0.69953,2022
Portugal,Female,0.30133,2023
Portugal,Male,0.69867,2023
Portugal,Female,0.30127,2024
Portugal,Male,0.69873,2024
Portugal,Female,0.30397,2025
Portugal,Male,0.69603,2025
Romania,Female,0.41736,2016
Romania,Male,0.58264,2016
Romania,Female,0.42379,2017
Romania,Male,0.57621,2017
Romania,Female,0.43124,2018
Romania,Male,0.56876,2018
Romania,Female,0.43117,2019
Romania,Male,0.56883,2019
Romania,Female,0.43044,2020
Romania,Male,0.56956,2020
Romania,Female,0.43095,2021
Romania,Male,0.56905,2021
Romania,Female,0.43434,2022
Romania,Male,0.56566,2022
Romania,Female,0.43096,2023
Romania,Male,0.56904,2023
Romania,Female,0.43,2024
Romania,Male,0.57,2024
Romania,Female,0.42037,2025
Romania,Male,0.57963,2025
Saudi Arabia,Female,0.14048,2016
Saudi Arabia,Male,0.85952,2016
Saudi Arabia,Female,0.14968,2017
Saudi Arabia,Male,0.85032,2017
Saudi Arabia,Female,0.17101,2018
Saudi Arabia,Male,0.82899,2018
Saudi Arabia,Female,0.20549,2019
Saudi Arabia,Male,0.79451,2019
Saudi Arabia,Female,0.23715,2020
Saudi Arabia,Male,0.76285,2020
Saudi Arabia,Female,0.2712,2021
Saudi Arabia,Male,0.7288,2021
Saudi Arabia,Female,0.29409,2022
Saudi Arabia,Male,0.70591,2022
Saudi Arabia,Female,0.31005,2023
Saudi Arabia,Male,0.68995,2023
Saudi Arabia,Female,0.31984,2024
Saudi Arabia,Male,0.68016,2024
Saudi Arabia,Female,0.33222,2025
Saudi Arabia,Male,0.66778,2025
Singapore,Female,0.33662,2016
Singapore,Male,0.66338,2016
Singapore,Female,0.34537,2017
Singapore,Male,0.65463,2017
Singapore,Female,0.35002,2018
Singapore,Male,0.64998,2018
Singapore,Female,0.35798,2019
Singapore,Male,0.64202,2019
Singapore,Female,0.3652,2020
Singapore,Male,0.6348,2020
Singapore,Female,0.37442,2021
Singapore,Male,0.62558,2021
Singapore,Female,0.37903,2022
Singapore,Male,0.62097,2022
Singapore,Female,0.38115,2023
Singapore,Male,0.61885,2023
Singapore,Female,0.38118,2024
Singapore,Male,0.61882,2024
Singapore,Female,0.38009,2025
Singapore,Male,0.61991,2025
South Africa,Female,0.36164,2016
South Africa,Male,0.63836,2016
South Africa,Female,0.3588,2017
South Africa,Male,0.6412,2017
South Africa,Female,0.35801,2018
South Africa,Male,0.64199,2018
South Africa,Female,0.35751,2019
South Africa,Male,0.64249,2019
South Africa,Female,0.3578,2020
South Africa,Male,0.6422,2020
South Africa,Female,0.35832,2021
South Africa,Male,0.64168,2021
South Africa,Female,0.36119,2022
South Africa,Male,0.63881,2022
South Africa,Female,0.36216,2023
South Africa,Male,0.63784,2023
South Africa,Female,0.36683,2024
South Africa,Male,0.63317,2024
South Africa,Female,0.37312,2025
South Africa,Male,0.62688,2025
Spain,Female,0.27743,2016
Spain,Male,0.72257,2016
Spain,Female,0.27437,2017
Spain,Male,0.72563,2017
Spain,Female,0.27484,2018
Spain,Male,0.72516,2018
Spain,Female,0.27572,2019
Spain,Male,0.72428,2019
